* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 1M 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-6 14:15:22
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: 
* 测量: Aeroflot Aviation IEM L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 -49.362 107.8480
20.600000 -49.782 109.5923
20.900000 -50.626 113.1679
21.200001 -51.207 117.2425
21.400000 -51.219 118.9808
21.799999 -50.495 119.0992
22.000000 -49.935 117.6545
22.400000 -48.967 113.9791
22.700001 -48.638 112.3628
23.000000 -48.753 112.0857
23.299999 -49.262 111.7785
23.600000 -50.001 109.8414
24.000000 -50.880 103.3605
24.299999 -51.126 96.8672
24.700001 -50.949 90.5413
25.000000 -50.756 90.6625
25.400000 -50.671 98.2164
25.799999 -50.692 109.5556
26.200001 -50.730 116.2681
26.500000 -50.770 114.3496
26.900000 -50.738 102.6318
27.200001 -50.556 91.0600
27.600000 -50.185 79.5887
28.000000 -49.890 78.7700
28.500000 -49.504 90.7104
29.000000 -48.869 103.5634
29.500000 -48.401 107.4997
30.000000 -48.318 105.8247
30.400000 -48.213 106.6229
30.700001 -47.898 109.8084
31.100000 -47.166 115.4276
31.500000 -46.355 119.1588
32.000000 -45.647 118.3160
32.500000 -45.395 113.6875
33.000000 -45.494 109.8727
33.500000 -45.865 108.3011
34.000000 -46.505 107.3175
34.500000 -47.400 106.2501
35.000000 -48.400 107.0763
35.500000 -49.058 110.4718
36.000000 -48.812 112.5404
36.500000 -47.656 109.6078
37.000000 -46.280 103.8324
37.500000 -45.330 100.4514
38.200001 -45.104 102.9862
38.700001 -45.422 106.2462
39.500000 -45.351 106.4389
40.000000 -44.802 105.3185
40.599998 -44.232 105.8146
41.200001 -44.015 106.6050
41.799999 -43.906 104.8878
42.500000 -43.726 102.0849
43.099998 -43.780 104.0233
43.700001 -44.066 110.0860
44.400002 -44.189 115.9917
45.000000 -43.815 115.7921
45.500000 -43.362 112.8517
46.200001 -42.928 108.4059
46.799999 -42.866 106.7876
47.500000 -43.032 108.4447
48.200001 -43.283 111.9507
48.700001 -43.399 113.0759
49.400002 -43.270 111.0329
50.000000 -42.947 108.5596
50.799999 -42.729 109.3757
51.500000 -42.850 112.8666
52.200001 -42.796 115.3893
53.000000 -42.267 116.7621
53.799999 -41.823 117.2076
54.500000 -41.776 116.1883
55.200001 -41.804 115.5836
56.000000 -41.566 117.6845
57.000000 -41.191 119.3287
58.000000 -41.473 115.1129
59.000000 -41.941 111.8801
60.000000 -41.530 112.6511
60.799999 -40.950 112.5502
61.500000 -40.694 111.4624
62.200001 -40.605 110.7136
63.000000 -40.437 110.5187
64.000000 -40.233 110.6106
65.000000 -40.181 112.8114
66.000000 -39.933 116.8888
67.000000 -39.715 118.9945
68.000000 -39.696 117.6091
69.000000 -39.738 115.0900
70.000000 -39.733 114.1991
71.000000 -39.423 114.8306
72.000000 -39.049 115.7859
73.000000 -38.908 117.6717
74.000000 -38.888 119.0428
75.000000 -38.886 118.6670
76.199997 -38.611 119.2743
77.500000 -38.294 120.4721
78.800003 -38.335 121.5200
80.000000 -38.043 121.2795
81.199997 -37.736 119.4718
82.500000 -37.619 118.3117
83.800003 -37.581 118.6203
85.000000 -37.417 119.7379
86.199997 -37.299 121.8165
87.500000 -37.215 122.7174
88.500000 -37.104 121.6289
90.000000 -36.709 120.5350
91.199997 -36.325 120.8500
92.500000 -36.001 121.7044
93.800003 -35.815 122.8460
95.000000 -35.612 124.1176
96.199997 -35.432 125.1280
97.500000 -35.454 124.9504
98.800003 -35.424 124.1481
100.000000 -35.283 123.4569
101.500000 -35.196 123.1066
103.000000 -35.243 123.3651
104.400002 -35.137 124.3921
106.000000 -34.827 125.7301
107.500000 -34.656 126.8636
109.000000 -34.519 127.8894
110.599998 -34.304 128.2143
112.000000 -34.059 127.8553
113.800003 -33.862 127.8391
115.000000 -33.785 128.5842
117.199997 -33.726 130.4244
118.000000 -33.851 130.9161
120.599998 -33.935 131.8452
122.000000 -33.194 131.0719
124.099998 -32.625 129.5605
125.000000 -32.567 129.2984
126.500000 -32.525 129.6234
128.000000 -32.454 130.5196
131.500000 -31.884 131.8816
132.000000 -31.803 131.9218
134.000000 -31.649 132.0191
136.000000 -31.565 132.5213
138.000000 -31.325 132.5269
140.000000 -31.042 131.9478
143.000000 -30.656 132.9116
145.000000 -30.468 133.3147
147.500000 -30.195 133.6924
150.000000 -29.846 134.1826
152.500000 -29.522 133.7001
155.000000 -29.275 132.8333
157.500000 -29.055 131.3058
160.000000 -29.117 128.9546
162.500000 -29.416 127.3114
165.000000 -29.765 127.2520
167.500000 -29.973 128.9259
170.000000 -29.961 131.8486
172.500000 -29.765 134.4166
175.000000 -29.514 136.1424
177.500000 -29.242 137.4633
180.000000 -28.949 138.5841
182.500000 -28.681 139.6614
185.000000 -28.436 140.5986
187.500000 -28.201 141.3191
190.000000 -27.924 142.0339
192.500000 -27.615 142.5923
195.000000 -27.341 142.9576
197.500000 -27.116 143.5683
200.000000 -26.891 144.2835
203.000000 -26.584 145.0479
206.000000 -26.270 145.6132
209.000000 -25.967 145.8098
212.000000 -25.715 146.0977
214.000000 -25.570 146.3483
218.000000 -25.214 147.0232
220.000000 -25.015 147.3585
224.000000 -24.661 147.5343
227.000000 -24.429 147.6685
230.000000 -24.205 148.0880
233.000000 -23.960 148.6060
236.000000 -23.695 148.9313
