* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 1M 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-6 14:16:25
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: 
* 测量: Aeroflot Aviation IEM R
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 -48.476 126.1929
20.600000 -48.763 124.8926
20.900000 -49.346 122.0770
21.200001 -49.795 118.2749
21.400000 -49.879 115.7880
21.799999 -49.547 112.2338
22.000000 -49.198 111.5584
22.400000 -48.400 112.1575
22.700001 -47.867 113.0252
23.000000 -47.458 113.0222
23.299999 -47.179 111.8352
23.600000 -47.032 109.8498
24.000000 -47.053 107.1689
24.299999 -47.244 106.0929
24.700001 -47.723 106.2736
25.000000 -48.188 107.0164
25.400000 -48.770 107.4652
25.799999 -49.000 106.4370
26.200001 -48.677 104.7707
26.500000 -48.151 104.0896
26.900000 -47.326 104.4552
27.200001 -46.786 105.1925
27.600000 -46.291 105.5361
28.000000 -46.059 104.1364
28.500000 -45.985 100.7460
29.000000 -45.934 99.0640
29.500000 -45.819 101.7617
30.000000 -45.685 107.5325
30.400000 -45.625 111.6455
30.700001 -45.630 113.3051
31.100000 -45.691 113.3236
31.500000 -45.779 111.6691
32.000000 -45.878 109.4253
32.500000 -45.948 108.5923
33.000000 -45.926 108.5793
33.500000 -45.715 107.4976
34.000000 -45.324 104.3774
34.500000 -44.933 100.5122
35.000000 -44.738 98.2120
35.500000 -44.810 98.6209
36.000000 -45.050 100.1280
36.500000 -45.255 99.9061
37.000000 -45.201 97.4257
37.500000 -44.803 95.8616
38.200001 -43.954 101.0100
38.700001 -43.515 108.3083
39.500000 -43.722 116.1035
40.000000 -44.296 117.0445
40.599998 -44.685 116.6454
41.200001 -44.206 115.7290
41.799999 -43.424 112.6842
42.500000 -42.941 106.1226
43.099998 -42.962 101.2805
43.700001 -43.082 100.5711
44.400002 -43.010 104.7935
45.000000 -42.911 108.6539
45.500000 -43.024 109.2091
46.200001 -43.315 106.5777
46.799999 -43.206 105.3323
47.500000 -42.761 107.5254
48.200001 -42.631 109.6151
48.700001 -42.678 109.1724
49.400002 -42.391 106.9239
50.000000 -41.865 104.9544
50.799999 -41.492 103.1631
51.500000 -41.543 104.2098
52.200001 -41.547 108.2357
53.000000 -41.379 112.2139
53.799999 -41.299 112.4327
54.500000 -41.420 111.5841
55.200001 -41.559 111.9844
56.000000 -41.323 113.8656
57.000000 -40.855 115.1170
58.000000 -41.039 114.6293
59.000000 -40.787 114.7828
60.000000 -39.958 114.6834
60.799999 -39.812 115.0305
61.500000 -39.978 115.8449
62.200001 -39.965 116.3899
63.000000 -39.708 116.5192
64.000000 -39.570 116.0732
65.000000 -39.450 115.4664
66.000000 -39.281 116.3962
67.000000 -39.292 117.3838
68.000000 -39.130 116.8215
69.000000 -38.821 115.7993
70.000000 -38.719 115.4973
71.000000 -38.861 115.3261
72.000000 -38.935 114.5235
73.000000 -38.587 114.2898
74.000000 -38.027 115.5501
75.000000 -37.785 117.4795
76.199997 -37.782 118.8535
77.500000 -37.724 119.0850
78.800003 -37.536 118.4032
80.000000 -37.415 118.0650
81.199997 -37.396 117.9911
82.500000 -37.278 118.6442
83.800003 -37.122 119.7287
85.000000 -36.883 120.3059
86.199997 -36.520 121.2248
87.500000 -36.145 122.0911
88.500000 -36.090 121.8658
90.000000 -35.962 121.6661
91.199997 -35.719 121.9489
92.500000 -35.447 122.0671
93.800003 -35.449 120.7536
95.000000 -35.709 118.7448
96.199997 -35.635 118.6908
97.500000 -35.260 120.8838
98.800003 -35.084 123.1544
100.000000 -34.999 124.5811
101.500000 -34.764 125.3109
103.000000 -34.470 125.1878
104.400002 -34.305 125.1415
106.000000 -34.249 125.5978
107.500000 -34.049 125.8996
109.000000 -33.817 125.9792
110.599998 -33.687 126.0094
112.000000 -33.529 126.5104
113.800003 -33.271 127.1183
115.000000 -33.164 126.7592
117.199997 -33.214 125.9815
118.000000 -33.396 126.1145
120.599998 -33.616 126.1943
122.000000 -32.910 127.0952
124.099998 -32.365 128.5665
125.000000 -32.242 129.0433
126.500000 -32.051 129.5330
128.000000 -31.898 129.8876
131.500000 -31.517 130.1486
132.000000 -31.468 130.1675
134.000000 -31.327 130.4981
136.000000 -31.151 131.1124
138.000000 -30.925 131.6466
140.000000 -30.722 132.0657
143.000000 -30.463 133.6520
145.000000 -30.301 133.6883
147.500000 -30.091 133.7999
150.000000 -29.835 134.2474
152.500000 -29.500 134.9465
155.000000 -29.226 135.2695
157.500000 -29.011 135.5759
160.000000 -28.811 135.9941
162.500000 -28.629 136.4517
165.000000 -28.447 136.7825
167.500000 -28.221 137.1863
170.000000 -28.035 137.5988
172.500000 -27.861 138.1179
175.000000 -27.617 138.6637
177.500000 -27.357 139.0045
180.000000 -27.121 139.2525
182.500000 -26.891 139.4349
185.000000 -26.664 139.7516
187.500000 -26.491 140.1559
190.000000 -26.319 140.5504
192.500000 -26.102 140.7874
195.000000 -25.888 141.0289
197.500000 -25.681 141.4047
200.000000 -25.457 141.7792
203.000000 -25.207 142.0638
206.000000 -24.983 142.3257
209.000000 -24.772 142.6864
212.000000 -24.538 143.1718
214.000000 -24.360 143.3501
218.000000 -24.021 143.6998
220.000000 -23.861 143.9649
224.000000 -23.517 144.4336
227.000000 -23.265 144.8084
230.000000 -23.029 145.1660
233.000000 -22.815 145.4501
236.000000 -22.608 145.6832
