* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-11 20:06:46
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Haifsun WL6 Narrow Tips L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 -19.293 -122.0410
20.600000 -19.252 -122.3095
20.900000 -19.170 -122.7754
21.200001 -19.091 -123.1827
21.400000 -19.040 -123.4268
21.799999 -18.939 -123.8939
22.000000 -18.889 -124.1315
22.400000 -18.792 -124.6147
22.700001 -18.725 -124.9719
23.000000 -18.664 -125.3129
23.299999 -18.605 -125.6385
23.600000 -18.547 -125.9619
24.000000 -18.473 -126.4150
24.299999 -18.421 -126.7820
24.700001 -18.358 -127.3023
25.000000 -18.316 -127.7036
25.400000 -18.264 -128.2341
25.799999 -18.210 -128.7452
26.200001 -18.149 -129.2444
26.500000 -18.099 -129.6249
26.900000 -18.026 -130.1507
27.200001 -17.970 -130.5532
27.600000 -17.897 -131.0799
28.000000 -17.823 -131.5719
28.500000 -17.730 -132.1421
29.000000 -17.636 -132.7148
29.500000 -17.550 -133.3217
30.000000 -17.479 -133.9333
30.400000 -17.429 -134.3983
30.700001 -17.392 -134.7327
31.100000 -17.344 -135.1753
31.500000 -17.298 -135.6246
32.000000 -17.243 -136.1808
32.500000 -17.193 -136.6881
33.000000 -17.140 -137.1348
33.500000 -17.080 -137.5668
34.000000 -17.019 -138.0303
34.500000 -16.963 -138.5168
35.000000 -16.909 -138.9988
35.500000 -16.854 -139.4903
36.000000 -16.797 -140.0321
36.500000 -16.748 -140.6186
37.000000 -16.713 -141.1780
37.500000 -16.683 -141.6497
38.200001 -16.632 -142.2112
38.700001 -16.589 -142.6337
39.500000 -16.527 -143.3676
40.000000 -16.491 -143.7909
40.599998 -16.442 -144.2475
41.200001 -16.386 -144.7043
41.799999 -16.335 -145.1831
42.500000 -16.287 -145.7430
43.099998 -16.253 -146.2292
43.700001 -16.221 -146.7355
44.400002 -16.184 -147.3066
45.000000 -16.145 -147.7479
45.500000 -16.107 -148.1060
46.200001 -16.065 -148.6063
46.799999 -16.048 -148.9778
47.500000 -16.032 -149.3750
48.200001 -16.008 -149.9859
48.700001 -16.002 -150.6037
49.400002 -16.018 -151.4432
50.000000 -16.025 -151.8645
50.799999 -15.966 -152.0916
51.500000 -15.879 -152.3215
52.200001 -15.815 -152.6457
53.000000 -15.784 -153.0153
53.799999 -15.772 -153.4237
54.500000 -15.762 -153.8597
55.200001 -15.747 -154.3315
56.000000 -15.720 -154.8596
57.000000 -15.681 -155.4621
58.000000 -15.646 -156.0350
59.000000 -15.624 -156.6139
60.000000 -15.612 -157.1214
60.799999 -15.601 -157.4579
61.500000 -15.586 -157.7695
62.200001 -15.573 -158.1319
63.000000 -15.564 -158.5541
64.000000 -15.552 -159.0226
65.000000 -15.532 -159.4425
66.000000 -15.509 -159.8458
67.000000 -15.490 -160.3136
68.000000 -15.485 -160.7891
69.000000 -15.476 -161.2365
70.000000 -15.464 -161.7278
71.000000 -15.457 -162.1877
72.000000 -15.451 -162.5625
73.000000 -15.447 -162.8824
74.000000 -15.446 -163.1829
75.000000 -15.444 -163.5118
76.199997 -15.431 -163.9631
77.500000 -15.411 -164.4852
78.800003 -15.403 -164.9920
80.000000 -15.406 -165.4327
81.199997 -15.401 -165.8306
82.500000 -15.388 -166.2392
83.800003 -15.384 -166.5919
85.000000 -15.380 -166.9251
86.199997 -15.379 -167.2734
87.500000 -15.376 -167.6349
88.500000 -15.376 -167.9312
90.000000 -15.381 -168.4010
91.199997 -15.383 -168.7873
92.500000 -15.381 -169.2184
93.800003 -15.377 -169.6135
95.000000 -15.375 -169.8935
96.199997 -15.376 -170.1243
97.500000 -15.381 -170.3976
98.800003 -15.386 -170.7358
100.000000 -15.390 -171.0526
101.500000 -15.390 -171.4003
103.000000 -15.392 -171.7234
104.400002 -15.399 -172.0056
106.000000 -15.409 -172.3580
107.500000 -15.417 -172.6824
109.000000 -15.419 -172.9351
110.599998 -15.425 -173.1720
112.000000 -15.435 -173.4301
113.800003 -15.445 -173.7952
115.000000 -15.452 -174.0162
117.199997 -15.451 -174.2811
118.000000 -15.442 -174.3109
120.599998 -15.431 -174.5518
122.000000 -15.460 -174.9410
124.099998 -15.492 -175.4185
125.000000 -15.495 -175.5610
126.500000 -15.498 -175.7894
128.000000 -15.503 -176.0002
131.500000 -15.513 -176.4534
132.000000 -15.517 -176.5188
134.000000 -15.533 -176.7455
136.000000 -15.545 -176.9757
138.000000 -15.557 -177.2152
140.000000 -15.563 -177.4353
143.000000 -15.569 -177.7588
145.000000 -15.579 -177.9702
147.500000 -15.581 -178.1567
150.000000 -15.568 -178.3302
152.500000 -15.593 -178.7181
155.000000 -15.623 -179.0109
157.500000 -15.640 -179.1624
160.000000 -15.646 -179.3278
162.500000 -15.643 -179.5136
165.000000 -15.639 -179.6895
167.500000 -15.645 -179.8857
170.000000 -15.656 179.8503
172.500000 -15.668 179.6107
175.000000 -15.684 179.4358
177.500000 -15.695 179.2578
180.000000 -15.701 179.0498
182.500000 -15.704 178.8173
185.000000 -15.705 178.5650
187.500000 -15.706 178.3743
190.000000 -15.708 178.2325
192.500000 -15.713 178.0526
195.000000 -15.720 177.8536
197.500000 -15.723 177.6509
200.000000 -15.719 177.4708
203.000000 -15.721 177.2529
206.000000 -15.732 177.0057
