* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-11 20:08:06
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Haifsun WL6 Narrow Tips R
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 -23.586 61.6052
20.600000 -23.531 61.3565
20.900000 -23.423 60.9140
21.200001 -23.325 60.5045
21.400000 -23.266 60.2633
21.799999 -23.151 59.8416
22.000000 -23.094 59.6516
22.400000 -22.981 59.2920
22.700001 -22.902 59.0232
23.000000 -22.832 58.7478
23.299999 -22.770 58.4677
23.600000 -22.717 58.1824
24.000000 -22.654 57.7912
24.299999 -22.609 57.4870
24.700001 -22.549 57.0598
25.000000 -22.500 56.7155
25.400000 -22.426 56.2187
25.799999 -22.343 55.6824
26.200001 -22.252 55.1102
26.500000 -22.184 54.6586
26.900000 -22.097 54.0376
27.200001 -22.040 53.5793
27.600000 -21.977 53.0197
28.000000 -21.925 52.5615
28.500000 -21.859 52.1290
29.000000 -21.774 51.7379
29.500000 -21.672 51.2488
30.000000 -21.568 50.6112
30.400000 -21.495 50.0400
30.700001 -21.449 49.6152
31.100000 -21.398 49.1002
31.500000 -21.354 48.6710
32.000000 -21.301 48.2517
32.500000 -21.240 47.8982
33.000000 -21.168 47.5045
33.500000 -21.092 47.0006
34.000000 -21.025 46.4021
34.500000 -20.972 45.8015
35.000000 -20.926 45.2809
35.500000 -20.877 44.8511
36.000000 -20.822 44.4594
36.500000 -20.762 44.0598
37.000000 -20.701 43.6452
37.500000 -20.638 43.2230
38.200001 -20.544 42.5923
38.700001 -20.481 42.0985
39.500000 -20.409 41.3360
40.000000 -20.378 40.9365
40.599998 -20.342 40.4965
41.200001 -20.302 40.0104
41.799999 -20.258 39.4679
42.500000 -20.197 38.8382
43.099998 -20.137 38.3598
43.700001 -20.080 37.9740
44.400002 -20.021 37.6139
45.000000 -19.977 37.2599
45.500000 -19.950 36.8620
46.200001 -19.919 36.1917
46.799999 -19.884 35.6043
47.500000 -19.832 35.0262
48.200001 -19.782 34.8273
48.700001 -19.733 34.9909
49.400002 -19.622 35.2433
50.000000 -19.532 34.9491
50.799999 -19.527 33.8788
51.500000 -19.599 33.0553
52.200001 -19.624 32.5145
53.000000 -19.575 31.8302
53.799999 -19.530 31.1761
54.500000 -19.502 30.8345
55.200001 -19.472 30.5234
56.000000 -19.445 30.0281
57.000000 -19.411 29.3340
58.000000 -19.369 28.6789
59.000000 -19.340 28.2105
60.000000 -19.311 27.8342
60.799999 -19.287 27.4040
61.500000 -19.274 26.9544
62.200001 -19.266 26.5386
63.000000 -19.253 26.1685
64.000000 -19.224 25.7841
65.000000 -19.195 25.3346
66.000000 -19.178 24.8341
67.000000 -19.166 24.3887
68.000000 -19.147 23.9990
69.000000 -19.124 23.5958
70.000000 -19.105 23.1453
71.000000 -19.091 22.7004
72.000000 -19.075 22.3006
73.000000 -19.066 21.9365
74.000000 -19.065 21.5949
75.000000 -19.063 21.2140
76.199997 -19.051 20.7049
77.500000 -19.027 20.2252
78.800003 -19.015 19.7919
80.000000 -19.018 19.3847
81.199997 -19.007 18.9966
82.500000 -18.980 18.6624
83.800003 -18.958 18.4058
85.000000 -18.949 18.0532
86.199997 -18.949 17.6418
87.500000 -18.936 17.2912
88.500000 -18.922 17.0224
90.000000 -18.922 16.5444
91.199997 -18.932 16.1263
92.500000 -18.939 15.6867
93.800003 -18.941 15.3097
95.000000 -18.939 15.0192
96.199997 -18.930 14.7880
97.500000 -18.915 14.5446
98.800003 -18.909 14.2788
100.000000 -18.911 14.0186
101.500000 -18.914 13.6450
103.000000 -18.915 13.2527
104.400002 -18.918 12.9510
106.000000 -18.927 12.6734
107.500000 -18.932 12.4058
109.000000 -18.926 12.1290
110.599998 -18.922 11.8415
112.000000 -18.925 11.6219
113.800003 -18.930 11.3446
115.000000 -18.930 11.1448
117.199997 -18.953 10.8668
118.000000 -18.981 10.8100
120.599998 -19.050 10.6170
122.000000 -19.019 10.3085
124.099998 -18.987 9.8583
125.000000 -18.985 9.7009
126.500000 -18.987 9.4610
128.000000 -18.990 9.2531
131.500000 -19.012 8.8351
132.000000 -19.012 8.7947
134.000000 -19.006 8.6259
136.000000 -18.998 8.4205
138.000000 -19.003 8.2188
140.000000 -19.011 8.0086
143.000000 -19.031 7.6570
145.000000 -19.042 7.5051
147.500000 -19.028 7.2046
150.000000 -19.011 6.7159
152.500000 -19.035 6.7575
155.000000 -19.053 6.8381
157.500000 -19.066 6.7010
160.000000 -19.072 6.5644
162.500000 -19.078 6.4537
165.000000 -19.094 6.3663
167.500000 -19.115 6.2597
170.000000 -19.095 6.0261
172.500000 -19.085 5.8077
175.000000 -19.101 5.6272
177.500000 -19.114 5.4588
180.000000 -19.111 5.2974
182.500000 -19.100 5.1609
185.000000 -19.097 5.0321
187.500000 -19.100 4.9122
190.000000 -19.098 4.8098
192.500000 -19.086 4.6905
195.000000 -19.077 4.5595
197.500000 -19.077 4.4256
200.000000 -19.079 4.2679
203.000000 -19.083 4.0655
206.000000 -19.092 3.9012
209.000000 -19.100 3.7806
212.000000 -19.098 3.6738
214.000000 -19.094 3.6001
218.000000 -19.092 3.4845
220.000000 -19.094 3.4113
224.000000 -19.096 3.1875
227.000000 -19.095 3.0032
230.000000 -19.092 2.8393
233.000000 -19.093 2.6971
236.000000 -19.093 2.5665
