* REW测量的测量数据V5.20.13
* 来源: C:\Users\Rio Sakurada\Downloads\Moondrop Blessing 3 L.txt
* 格式: Comma/Tab/Space delimited data
* 日期: 2024-10-9 0:05:10
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Measurement imported from C:\Users\Rio Sakurada\Downloads\Moondrop Blessing 3 L.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced
* 测量: Moondrop Blessing 3 L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.000 Hz
*
* 频率(Hz) SPL(dB)
20.000000 96.381
20.299999 96.381
20.600000 96.380
20.900000 96.380
21.200001 96.380
21.400000 96.379
21.799999 96.379
22.000000 96.379
22.400000 96.378
22.700001 96.377
23.000000 96.376
23.299999 96.374
23.600000 96.372
24.000000 96.369
24.299999 96.367
24.700001 96.362
25.000000 96.358
25.400000 96.352
25.799999 96.346
26.200001 96.338
26.500000 96.332
26.900000 96.323
27.200001 96.316
27.600000 96.306
28.000000 96.295
28.500000 96.281
29.000000 96.266
29.500000 96.250
30.000000 96.233
30.400000 96.220
30.700001 96.209
31.100000 96.195
31.500000 96.180
32.000000 96.162
32.500000 96.142
33.000000 96.122
33.500000 96.102
34.000000 96.082
34.500000 96.060
35.000000 96.039
35.500000 96.017
36.000000 95.995
36.500000 95.972
37.000000 95.949
37.500000 95.925
38.200001 95.891
38.700001 95.867
39.500000 95.827
40.000000 95.801
40.599998 95.770
41.200001 95.739
41.799999 95.707
42.500000 95.669
43.099998 95.636
43.700001 95.603
44.400002 95.564
45.000000 95.530
45.500000 95.501
46.200001 95.461
46.799999 95.426
47.500000 95.385
48.200001 95.344
48.700001 95.314
49.400002 95.273
50.000000 95.238
50.799999 95.190
51.500000 95.149
52.200001 95.107
53.000000 95.060
53.799999 95.014
54.500000 94.973
55.200001 94.933
56.000000 94.887
57.000000 94.831
58.000000 94.775
59.000000 94.720
60.000000 94.665
60.799999 94.623
61.500000 94.586
62.200001 94.549
63.000000 94.507
64.000000 94.455
65.000000 94.403
66.000000 94.351
67.000000 94.298
68.000000 94.246
69.000000 94.193
70.000000 94.139
71.000000 94.086
72.000000 94.033
73.000000 93.979
74.000000 93.926
75.000000 93.872
76.199997 93.808
77.500000 93.739
78.800003 93.670
80.000000 93.606
81.199997 93.543
82.500000 93.475
83.800003 93.408
85.000000 93.346
86.199997 93.284
87.500000 93.218
88.500000 93.168
90.000000 93.092
91.199997 93.033
92.500000 92.969
93.800003 92.906
95.000000 92.849
96.199997 92.792
97.500000 92.731
98.800003 92.670
100.000000 92.615
101.500000 92.547
103.000000 92.480
104.400002 92.418
106.000000 92.348
107.500000 92.283
109.000000 92.219
110.599998 92.152
112.000000 92.095
113.800003 92.021
115.000000 91.973
117.199997 91.887
118.000000 91.856
120.599998 91.758
122.000000 91.706
124.099998 91.630
125.000000 91.599
126.500000 91.547
128.000000 91.496
131.500000 91.381
132.000000 91.366
134.000000 91.304
136.000000 91.244
138.000000 91.186
140.000000 91.129
143.000000 91.049
145.000000 90.997
147.500000 90.935
150.000000 90.875
152.500000 90.818
155.000000 90.763
157.500000 90.711
160.000000 90.661
162.500000 90.612
165.000000 90.566
167.500000 90.521
170.000000 90.478
172.500000 90.437
175.000000 90.397
177.500000 90.358
180.000000 90.321
182.500000 90.285
185.000000 90.250
187.500000 90.216
190.000000 90.183
192.500000 90.152
195.000000 90.122
197.500000 90.094
200.000000 90.067
203.000000 90.036
206.000000 90.006
209.000000 89.979
212.000000 89.953
214.000000 89.937
218.000000 89.907
220.000000 89.893
224.000000 89.867
227.000000 89.849
230.000000 89.832
233.000000 89.817
236.000000 89.803
240.000000 89.787
243.000000 89.777
247.000000 89.765
250.000000 89.757
254.000000 89.748
258.000000 89.741
262.000000 89.734
265.000000 89.730
269.000000 89.725
272.000000 89.722
276.000000 89.719
280.000000 89.716
285.000000 89.713
290.000000 89.710
295.000000 89.709
300.000000 89.708
304.000000 89.708
307.000000 89.708
311.000000 89.709
315.000000 89.710
320.000000 89.712
325.000000 89.714
330.000000 89.717
335.000000 89.720
340.000000 89.724
345.000000 89.727
350.000000 89.731
355.000000 89.736
360.000000 89.741
365.000000 89.746
370.000000 89.752
375.000000 89.758
382.000000 89.766
387.000000 89.771
395.000000 89.779
400.000000 89.784
406.000000 89.789
412.000000 89.793
418.000000 89.797
425.000000 89.800
431.000000 89.801
437.000000 89.803
444.000000 89.803
450.000000 89.803
455.000000 89.803
462.000000 89.803
468.000000 89.802
475.000000 89.801
482.000000 89.799
487.000000 89.798
494.000000 89.796
500.000000 89.794
508.000000 89.792
515.000000 89.790
522.000000 89.787
530.000000 89.784
538.000000 89.781
545.000000 89.778
552.000000 89.774
560.000000 89.771
570.000000 89.766
580.000000 89.761
590.000000 89.756
600.000000 89.751
608.000000 89.748
615.000000 89.744
622.000000 89.741
630.000000 89.738
640.000000 89.733
650.000000 89.730
660.000000 89.726
670.000000 89.723
680.000000 89.721
690.000000 89.720
700.000000 89.719
710.000000 89.719
720.000000 89.719
730.000000 89.721
740.000000 89.723
750.000000 89.727
762.000000 89.733
775.000000 89.742
788.000000 89.753
800.000000 89.766
812.000000 89.782
825.000000 89.802
838.000000 89.826
850.000000 89.851
862.000000 89.880
875.000000 89.914
885.000000 89.944
900.000000 89.992
912.000000 90.035
925.000000 90.086
938.000000 90.141
950.000000 90.195
962.000000 90.252
975.000000 90.318
988.000000 90.388
1000.000000 90.455
1015.000000 90.542
1030.000000 90.633
1044.000000 90.720
1060.000000 90.822
1075.000000 90.920
1090.000000 91.018
1106.000000 91.123
1120.000000 91.214
1138.000000 91.330
1150.000000 91.405
1172.000000 91.540
