* REW测量的测量数据V5.20.13
* 来源: E:\GitHub\Kara2003.github.io\data\Moondrop DUSK Spring Tips L.txt
* 格式: Comma/Tab/Space delimited data
* 日期: 2024-10-6 12:12:01
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Measurement imported from E:\GitHub\Kara2003.github.io\data\Moondrop DUSK Spring Tips L.txt Format: Comma/Tab/Space delimited data 54559 values loaded, 20 Hz to 20,000 Hz
* 测量: Moondrop DUSK Spring Tips L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 3.298 9.3093
20.600000 3.298 9.1522
20.900000 3.297 8.8427
21.200001 3.293 8.4802
21.400000 3.289 8.2268
21.799999 3.275 7.7120
22.000000 3.266 7.4574
22.400000 3.246 6.9563
22.700001 3.228 6.5843
23.000000 3.208 6.2118
23.299999 3.187 5.8345
23.600000 3.165 5.4499
24.000000 3.134 4.9235
24.299999 3.110 4.5195
24.700001 3.079 3.9725
25.000000 3.056 3.5595
25.400000 3.027 3.0105
25.799999 3.000 2.4704
26.200001 2.975 1.9465
26.500000 2.958 1.5670
26.900000 2.937 1.0793
27.200001 2.923 0.7249
27.600000 2.906 0.2630
28.000000 2.888 -0.1916
28.500000 2.865 -0.7517
29.000000 2.839 -1.2973
29.500000 2.810 -1.8210
30.000000 2.782 -2.3194
30.400000 2.759 -2.7014
30.700001 2.742 -2.9792
31.100000 2.720 -3.3395
31.500000 2.698 -3.6891
32.000000 2.670 -4.1150
32.500000 2.641 -4.5352
33.000000 2.612 -4.9550
33.500000 2.582 -5.3735
34.000000 2.552 -5.7859
34.500000 2.522 -6.1920
35.000000 2.493 -6.5997
35.500000 2.464 -7.0184
36.000000 2.435 -7.4484
36.500000 2.405 -7.8775
37.000000 2.375 -8.2887
37.500000 2.347 -8.6722
38.200001 2.310 -9.1667
38.700001 2.284 -9.5025
39.500000 2.240 -10.0357
40.000000 2.208 -10.3731
40.599998 2.167 -10.7809
41.200001 2.125 -11.1857
41.799999 2.086 -11.5822
42.500000 2.045 -12.0300
43.099998 2.012 -12.3954
43.700001 1.977 -12.7328
44.400002 1.932 -13.0822
45.000000 1.892 -13.3507
45.500000 1.860 -13.5678
46.200001 1.821 -13.8859
46.799999 1.791 -14.1807
47.500000 1.757 -14.5333
48.200001 1.721 -14.8637
48.700001 1.694 -15.0781
49.400002 1.656 -15.3617
50.000000 1.625 -15.6110
50.799999 1.584 -15.9731
51.500000 1.548 -16.3174
52.200001 1.512 -16.6787
53.000000 1.468 -17.0992
53.799999 1.423 -17.5121
54.500000 1.381 -17.8590
55.200001 1.338 -18.1905
56.000000 1.288 -18.5468
57.000000 1.227 -18.9525
58.000000 1.167 -19.3248
59.000000 1.107 -19.6876
60.000000 1.047 -20.0529
60.799999 0.999 -20.3442
61.500000 0.958 -20.5938
62.200001 0.919 -20.8352
63.000000 0.876 -21.1004
64.000000 0.821 -21.4182
65.000000 0.766 -21.7220
66.000000 0.710 -22.0099
67.000000 0.654 -22.2793
68.000000 0.598 -22.5336
69.000000 0.544 -22.7887
70.000000 0.490 -23.0637
71.000000 0.437 -23.3570
72.000000 0.386 -23.6449
73.000000 0.339 -23.9094
74.000000 0.294 -24.1507
75.000000 0.249 -24.3767
76.199997 0.192 -24.6407
77.500000 0.126 -24.9280
78.800003 0.058 -25.2111
80.000000 -0.002 -25.4634
81.199997 -0.062 -25.7126
82.500000 -0.127 -25.9834
83.800003 -0.192 -26.2454
85.000000 -0.253 -26.4658
86.199997 -0.314 -26.6605
87.500000 -0.380 -26.8542
88.500000 -0.432 -27.0051
90.000000 -0.513 -27.2484
91.199997 -0.577 -27.4536
92.500000 -0.645 -27.6762
93.800003 -0.711 -27.8894
95.000000 -0.770 -28.0645
96.199997 -0.830 -28.2051
97.500000 -0.893 -28.3174
98.800003 -0.955 -28.4019
100.000000 -1.010 -28.4689
101.500000 -1.077 -28.5509
103.000000 -1.143 -28.6430
104.400002 -1.204 -28.7429
106.000000 -1.273 -28.8647
107.500000 -1.334 -28.9754
109.000000 -1.395 -29.0758
110.599998 -1.461 -29.1639
112.000000 -1.523 -29.2273
113.800003 -1.620 -29.3187
115.000000 -1.702 -29.4066
117.199997 -1.899 -29.6452
118.000000 -1.976 -29.7451
120.599998 -2.138 -29.9674
122.000000 -2.147 -29.9793
124.099998 -2.125 -29.9201
125.000000 -2.125 -29.8915
126.500000 -2.145 -29.8527
128.000000 -2.183 -29.8210
131.500000 -2.294 -29.7266
132.000000 -2.309 -29.7053
134.000000 -2.373 -29.5890
136.000000 -2.438 -29.4137
138.000000 -2.505 -29.1528
140.000000 -2.571 -28.7884
143.000000 -2.668 -28.1901
145.000000 -2.734 -27.9110
147.500000 -2.812 -27.6899
150.000000 -2.875 -27.4334
152.500000 -2.915 -27.0499
155.000000 -2.932 -26.6125
157.500000 -2.938 -26.2387
160.000000 -2.948 -25.9706
162.500000 -2.974 -25.7812
165.000000 -3.018 -25.6494
167.500000 -3.074 -25.5937
170.000000 -3.131 -25.6179
172.500000 -3.185 -25.6746
175.000000 -3.235 -25.7100
177.500000 -3.281 -25.6993
180.000000 -3.326 -25.6430
182.500000 -3.371 -25.5587
185.000000 -3.415 -25.4641
187.500000 -3.456 -25.3646
190.000000 -3.496 -25.2615
192.500000 -3.537 -25.1612
195.000000 -3.579 -25.0689
197.500000 -3.620 -24.9806
200.000000 -3.658 -24.8862
203.000000 -3.701 -24.7502
206.000000 -3.741 -24.5804
209.000000 -3.780 -24.3887
212.000000 -3.819 -24.1975
