* REW测量的测量数据V5.20.13
* 来源: E:\GitHub\Kara2003.github.io\data\Moondrop Dusk T-APB Treble L.txt
* 格式: Comma/Tab/Space delimited data
* 日期: 2024-10-6 12:12:01
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Measurement imported from E:\GitHub\Kara2003.github.io\data\Moondrop Dusk T-APB Treble L.txt Format: Comma/Tab/Space delimited data 54559 values loaded, 20 Hz to 20,000 Hz
* 测量: Moondrop Dusk T-APB Treble
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 88.657 28.4790
20.600000 88.658 28.2123
20.900000 88.659 27.6909
21.200001 88.659 27.0907
21.400000 88.658 26.6786
21.799999 88.653 25.8564
22.000000 88.648 25.4567
22.400000 88.632 24.6818
22.700001 88.615 24.1185
23.000000 88.595 23.5676
23.299999 88.574 23.0247
23.600000 88.553 22.4838
24.000000 88.527 21.7564
24.299999 88.508 21.2017
24.700001 88.484 20.4515
25.000000 88.466 19.8873
25.400000 88.442 19.1440
25.799999 88.417 18.4206
26.200001 88.394 17.7182
26.500000 88.377 17.2005
26.900000 88.357 16.5151
27.200001 88.343 16.0015
27.600000 88.325 15.3195
28.000000 88.307 14.6498
28.500000 88.282 13.8486
29.000000 88.255 13.1002
29.500000 88.227 12.4030
30.000000 88.198 11.7449
30.400000 88.176 11.2386
30.700001 88.160 10.8679
31.100000 88.139 10.3841
31.500000 88.119 9.9106
32.000000 88.092 9.3304
32.500000 88.064 8.7602
33.000000 88.033 8.1977
33.500000 88.002 7.6417
34.000000 87.971 7.0914
34.500000 87.940 6.5476
35.000000 87.910 6.0140
35.500000 87.883 5.4958
36.000000 87.857 4.9949
36.500000 87.833 4.5081
37.000000 87.808 4.0298
37.500000 87.782 3.5578
38.200001 87.742 2.9114
38.700001 87.712 2.4621
39.500000 87.663 1.7598
40.000000 87.633 1.3286
40.599998 87.598 0.8230
41.200001 87.563 0.3357
41.799999 87.528 -0.1333
42.500000 87.486 -0.6631
43.099998 87.450 -1.1045
43.700001 87.414 -1.5315
44.400002 87.373 -2.0115
45.000000 87.338 -2.4123
45.500000 87.308 -2.7410
46.200001 87.266 -3.1906
46.799999 87.231 -3.5623
47.500000 87.190 -3.9812
48.200001 87.149 -4.3922
48.700001 87.119 -4.6845
49.400002 87.077 -5.0931
50.000000 87.041 -5.4419
50.799999 86.995 -5.9016
51.500000 86.955 -6.2940
52.200001 86.914 -6.6724
53.000000 86.867 -7.0868
53.799999 86.821 -7.4881
54.500000 86.781 -7.8345
55.200001 86.740 -8.1778
56.000000 86.691 -8.5629
57.000000 86.630 -9.0259
58.000000 86.569 -9.4657
59.000000 86.510 -9.8875
60.000000 86.453 -10.2970
60.799999 86.407 -10.6143
61.500000 86.368 -10.8802
62.200001 86.329 -11.1330
63.000000 86.284 -11.4072
64.000000 86.227 -11.7378
65.000000 86.168 -12.0661
66.000000 86.110 -12.3971
67.000000 86.054 -12.7303
68.000000 86.000 -13.0603
69.000000 85.945 -13.3765
70.000000 85.891 -13.6694
71.000000 85.835 -13.9387
72.000000 85.780 -14.1895
73.000000 85.725 -14.4225
74.000000 85.671 -14.6370
75.000000 85.618 -14.8398
76.199997 85.555 -15.0847
77.500000 85.487 -15.3605
78.800003 85.420 -15.6333
80.000000 85.358 -15.8680
81.199997 85.298 -16.0877
82.500000 85.232 -16.3194
83.800003 85.167 -16.5477
85.000000 85.107 -16.7521
86.199997 85.046 -16.9486
87.500000 84.980 -17.1500
88.500000 84.930 -17.2926
90.000000 84.855 -17.4793
91.199997 84.796 -17.6068
92.500000 84.733 -17.7305
93.800003 84.669 -17.8473
95.000000 84.610 -17.9584
96.199997 84.551 -18.0789
97.500000 84.487 -18.2161
98.800003 84.424 -18.3478
100.000000 84.367 -18.4571
101.500000 84.296 -18.5745
103.000000 84.225 -18.6703
104.400002 84.159 -18.7404
106.000000 84.085 -18.8014
107.500000 84.017 -18.8464
109.000000 83.951 -18.8839
110.599998 83.882 -18.9158
112.000000 83.824 -18.9369
113.800003 83.753 -18.9641
115.000000 83.710 -18.9914
117.199997 83.639 -19.0706
118.000000 83.613 -19.1031
120.599998 83.513 -19.1463
122.000000 83.447 -19.0989
124.099998 83.341 -18.9606
125.000000 83.298 -18.8953
126.500000 83.231 -18.7965
128.000000 83.172 -18.7149
131.500000 83.049 -18.5516
132.000000 83.031 -18.5259
134.000000 82.959 -18.4072
136.000000 82.883 -18.2618
138.000000 82.807 -18.0956
140.000000 82.735 -17.9150
143.000000 82.635 -17.6282
145.000000 82.576 -17.4368
147.500000 82.507 -17.2060
150.000000 82.439 -16.9821
152.500000 82.372 -16.7572
155.000000 82.307 -16.5222
157.500000 82.244 -16.2665
160.000000 82.181 -15.9820
162.500000 82.116 -15.6730
165.000000 82.051 -15.3615
167.500000 81.990 -15.0780
170.000000 81.939 -14.8382
172.500000 81.892 -14.6284
175.000000 81.842 -14.4206
177.500000 81.791 -14.1942
180.000000 81.739 -13.9401
182.500000 81.688 -13.6575
185.000000 81.637 -13.3508
187.500000 81.585 -13.0288
190.000000 81.537 -12.6990
192.500000 81.496 -12.3626
195.000000 81.464 -12.0201
197.500000 81.440 -11.6783
200.000000 81.420 -11.3485
203.000000 81.397 -10.9805
206.000000 81.375 -10.6438
209.000000 81.352 -10.3285
212.000000 81.330 -10.0254
214.000000 81.314 -9.8278
218.000000 81.280 -9.4378
220.000000 81.260 -9.2417
224.000000 81.217 -8.8389
227.000000 81.186 -8.5261
230.000000 81.157 -8.2124
233.000000 81.131 -7.9109
