* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-11 18:11:01
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: KXXS AET07 Tips
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 73.616 -137.8056
20.600000 73.629 -138.2510
20.900000 73.652 -139.0415
21.200001 73.666 -139.7765
21.400000 73.671 -140.2306
21.799999 73.677 -141.0924
22.000000 73.680 -141.5132
22.400000 73.689 -142.3380
22.700001 73.696 -142.9500
23.000000 73.703 -143.5657
23.299999 73.709 -144.1894
23.600000 73.712 -144.8239
24.000000 73.711 -145.6826
24.299999 73.706 -146.3259
24.700001 73.696 -147.1727
25.000000 73.689 -147.8032
25.400000 73.684 -148.6492
25.799999 73.682 -149.5061
26.200001 73.684 -150.3647
26.500000 73.686 -150.9994
26.900000 73.690 -151.8197
27.200001 73.693 -152.4081
27.600000 73.698 -153.1521
28.000000 73.702 -153.8531
28.500000 73.707 -154.6864
29.000000 73.709 -155.4987
29.500000 73.706 -156.3021
30.000000 73.701 -157.0896
30.400000 73.698 -157.7055
30.700001 73.697 -158.1630
31.100000 73.696 -158.7742
31.500000 73.696 -159.3880
32.000000 73.693 -160.1434
32.500000 73.685 -160.8548
33.000000 73.676 -161.5071
33.500000 73.671 -162.1234
34.000000 73.667 -162.7463
34.500000 73.662 -163.3955
35.000000 73.651 -164.0541
35.500000 73.635 -164.6882
36.000000 73.617 -165.2800
36.500000 73.604 -165.8397
37.000000 73.595 -166.3974
37.500000 73.588 -166.9779
38.200001 73.575 -167.8272
38.700001 73.559 -168.4249
39.500000 73.530 -169.2947
40.000000 73.516 -169.7914
40.599998 73.502 -170.3750
41.200001 73.487 -170.9580
41.799999 73.468 -171.5268
42.500000 73.444 -172.1664
43.099998 73.424 -172.7115
43.700001 73.404 -173.2630
44.400002 73.379 -173.8977
45.000000 73.356 -174.4130
45.500000 73.338 -174.8224
46.200001 73.313 -175.3963
46.799999 73.290 -175.9121
47.500000 73.263 -176.5208
48.200001 73.244 -177.1239
48.700001 73.237 -177.5786
49.400002 73.224 -178.2552
50.000000 73.197 -178.7809
50.799999 73.147 -179.2697
51.500000 73.111 -179.5823
52.200001 73.079 -179.9459
53.000000 73.041 179.5479
53.799999 73.005 179.0076
54.500000 72.980 178.5200
55.200001 72.955 178.0338
56.000000 72.923 177.5114
57.000000 72.878 176.9020
58.000000 72.828 176.3122
59.000000 72.778 175.7686
60.000000 72.735 175.2551
60.799999 72.703 174.8092
61.500000 72.671 174.4041
62.200001 72.637 174.0233
63.000000 72.602 173.6192
64.000000 72.563 173.1066
65.000000 72.515 172.5993
66.000000 72.463 172.1312
67.000000 72.414 171.6655
68.000000 72.366 171.2070
69.000000 72.318 170.7861
70.000000 72.273 170.3933
71.000000 72.230 169.9976
72.000000 72.189 169.5951
73.000000 72.148 169.1989
74.000000 72.103 168.8186
75.000000 72.054 168.4677
76.199997 71.998 168.0369
77.500000 71.940 167.5437
78.800003 71.884 167.0743
80.000000 71.828 166.6786
81.199997 71.773 166.3303
82.500000 71.719 165.9589
83.800003 71.665 165.5707
85.000000 71.610 165.2014
86.199997 71.553 164.8512
87.500000 71.493 164.4772
88.500000 71.445 164.1898
90.000000 71.370 163.7888
91.199997 71.312 163.4972
92.500000 71.252 163.1884
93.800003 71.199 162.9121
95.000000 71.155 162.6567
96.199997 71.100 162.3867
97.500000 71.030 162.1442
98.800003 70.967 161.9032
100.000000 70.912 161.6524
101.500000 70.843 161.3528
103.000000 70.774 161.0781
104.400002 70.709 160.8318
106.000000 70.640 160.5991
107.500000 70.582 160.3935
109.000000 70.523 160.1650
110.599998 70.461 159.8871
112.000000 70.409 159.6852
113.800003 70.337 159.4887
115.000000 70.284 159.3486
117.199997 70.165 159.1918
118.000000 70.101 159.1888
120.599998 69.940 159.1022
122.000000 69.934 158.8087
124.099998 69.899 158.5034
125.000000 69.868 158.4215
126.500000 69.808 158.2942
128.000000 69.748 158.1936
131.500000 69.617 157.9280
132.000000 69.600 157.8965
134.000000 69.524 157.7964
136.000000 69.443 157.7538
138.000000 69.364 157.7409
140.000000 69.284 157.6877
143.000000 69.158 157.6637
145.000000 69.088 157.6372
147.500000 68.999 157.5615
150.000000 68.902 157.4839
152.500000 68.835 157.5256
155.000000 68.767 157.5824
157.500000 68.681 157.5999
160.000000 68.595 157.6709
162.500000 68.515 157.7437
165.000000 68.423 157.8071
167.500000 68.332 157.8773
170.000000 68.279 157.9747
172.500000 68.224 158.1037
175.000000 68.156 158.1864
177.500000 68.086 158.3324
180.000000 68.028 158.5301
182.500000 67.992 158.6322
185.000000 67.958 158.6710
187.500000 67.911 158.6338
190.000000 67.863 158.5658
192.500000 67.812 158.6999
195.000000 67.756 158.8767
197.500000 67.704 158.9579
200.000000 67.652 158.9922
203.000000 67.584 159.0852
206.000000 67.514 159.1866
209.000000 67.449 159.2538
212.000000 67.391 159.3200
214.000000 67.353 159.3766
218.000000 67.265 159.6541
220.000000 67.218 159.8103
224.000000 67.123 160.0345
227.000000 67.064 160.2008
230.000000 67.017 160.3562
233.000000 66.968 160.5295
236.000000 66.913 160.7462
240.000000 66.844 160.9854
243.000000 66.796 161.0942
247.000000 66.732 161.2269
250.000000 66.684 161.3713
254.000000 66.616 161.7176
258.000000 66.557 162.0294
262.000000 66.505 162.2227
265.000000 66.458 162.3647
