* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-11 18:12:20
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: KXXS Normal Tips
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 73.579 -138.1404
20.600000 73.593 -138.5633
20.900000 73.617 -139.3090
21.200001 73.633 -139.9922
21.400000 73.640 -140.4140
21.799999 73.649 -141.2275
22.000000 73.653 -141.6360
22.400000 73.660 -142.4604
22.700001 73.662 -143.0846
23.000000 73.663 -143.7127
23.299999 73.662 -144.3423
23.600000 73.661 -144.9758
24.000000 73.657 -145.8301
24.299999 73.655 -146.4780
24.700001 73.652 -147.3517
25.000000 73.652 -148.0175
25.400000 73.652 -148.9189
25.799999 73.652 -149.8188
26.200001 73.652 -150.6908
26.500000 73.653 -151.3143
26.900000 73.656 -152.0994
27.200001 73.660 -152.6555
27.600000 73.666 -153.3605
28.000000 73.674 -154.0338
28.500000 73.681 -154.8480
29.000000 73.686 -155.6561
29.500000 73.686 -156.4730
30.000000 73.681 -157.2945
30.400000 73.674 -157.9436
30.700001 73.667 -158.4200
31.100000 73.659 -159.0363
31.500000 73.651 -159.6297
32.000000 73.643 -160.3442
32.500000 73.636 -161.0393
33.000000 73.629 -161.7222
33.500000 73.618 -162.3891
34.000000 73.605 -163.0302
34.500000 73.592 -163.6432
35.000000 73.580 -164.2404
35.500000 73.569 -164.8398
36.000000 73.558 -165.4470
36.500000 73.545 -166.0523
37.000000 73.531 -166.6461
37.500000 73.519 -167.2307
38.200001 73.502 -168.0479
38.700001 73.488 -168.6234
39.500000 73.465 -169.4825
40.000000 73.452 -169.9785
40.599998 73.441 -170.5612
41.200001 73.430 -171.1507
41.799999 73.416 -171.7381
42.500000 73.394 -172.4052
43.099998 73.370 -172.9580
43.700001 73.344 -173.4865
44.400002 73.315 -174.0871
45.000000 73.295 -174.6285
45.500000 73.278 -175.1014
46.200001 73.255 -175.7323
46.799999 73.239 -176.2043
47.500000 73.222 -176.7161
48.200001 73.188 -177.1935
48.700001 73.153 -177.4731
49.400002 73.105 -177.8030
50.000000 73.077 -178.1628
50.799999 73.047 -178.8678
51.500000 73.018 -179.5659
52.200001 72.992 179.8001
53.000000 72.969 179.1730
53.799999 72.942 178.6367
54.500000 72.914 178.2188
55.200001 72.885 177.7947
56.000000 72.848 177.2792
57.000000 72.797 176.6475
58.000000 72.746 176.0721
59.000000 72.696 175.5414
60.000000 72.649 175.0313
60.799999 72.615 174.6192
61.500000 72.586 174.2496
62.200001 72.557 173.8724
63.000000 72.520 173.4384
64.000000 72.472 172.9105
65.000000 72.423 172.4182
66.000000 72.377 171.9609
67.000000 72.335 171.5109
68.000000 72.294 171.0427
69.000000 72.250 170.5904
70.000000 72.203 170.1925
71.000000 72.157 169.8262
72.000000 72.111 169.4429
73.000000 72.063 169.0351
74.000000 72.014 168.6244
75.000000 71.970 168.2043
76.199997 71.914 167.7315
77.500000 71.856 167.2997
78.800003 71.795 166.8812
80.000000 71.733 166.4940
81.199997 71.671 166.1041
82.500000 71.606 165.6792
83.800003 71.539 165.2575
85.000000 71.474 164.8956
86.199997 71.413 164.5500
87.500000 71.350 164.1993
88.500000 71.298 163.9483
90.000000 71.209 163.5770
91.199997 71.145 163.2881
92.500000 71.077 163.0501
93.800003 70.985 162.9930
95.000000 70.894 163.0363
96.199997 70.837 162.8540
97.500000 70.797 162.3955
98.800003 70.752 162.0422
100.000000 70.701 161.8716
101.500000 70.628 161.7747
103.000000 70.561 161.7710
104.400002 70.513 161.7936
106.000000 70.474 161.7794
107.500000 70.441 161.7137
109.000000 70.405 161.4618
110.599998 70.375 161.0314
112.000000 70.338 160.7687
113.800003 70.279 160.5463
115.000000 70.241 160.3376
117.199997 70.083 159.5748
118.000000 69.985 159.0083
120.599998 69.769 157.9044
122.000000 69.822 158.4100
124.099998 69.830 158.8766
125.000000 69.798 158.8736
126.500000 69.739 158.8021
128.000000 69.679 158.7380
131.500000 69.550 158.5181
132.000000 69.532 158.4886
134.000000 69.463 158.4019
136.000000 69.397 158.4136
138.000000 69.314 158.4399
140.000000 69.190 158.3904
143.000000 68.925 158.4117
145.000000 68.927 158.5269
147.500000 68.998 158.3414
150.000000 68.973 158.1895
152.500000 68.881 158.1966
155.000000 68.782 158.1974
157.500000 68.698 158.1997
160.000000 68.619 158.1963
162.500000 68.538 158.1951
165.000000 68.484 158.0385
167.500000 68.434 157.8643
170.000000 68.342 158.1601
172.500000 68.252 158.4156
175.000000 68.187 158.5134
177.500000 68.134 158.5432
180.000000 68.081 158.5373
182.500000 68.017 158.5894
185.000000 67.949 158.6562
187.500000 67.883 158.7115
190.000000 67.819 158.8055
192.500000 67.756 158.9067
195.000000 67.695 158.9785
197.500000 67.632 159.0605
200.000000 67.571 159.1565
203.000000 67.501 159.2795
206.000000 67.436 159.4072
209.000000 67.373 159.5288
212.000000 67.305 159.6589
214.000000 67.261 159.7693
218.000000 67.179 160.0392
220.000000 67.136 160.1611
224.000000 67.042 160.4101
227.000000 66.979 160.6417
230.000000 66.930 160.8997
233.000000 66.887 161.1627
236.000000 66.849 161.4201
240.000000 66.797 161.7336
243.000000 66.762 161.9207
247.000000 66.727 162.1260
250.000000 66.699 162.2455
254.000000 66.634 162.4380
258.000000 66.570 162.6883
262.000000 66.515 162.9340
265.000000 66.473 163.0919
