* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-11 18:20:55
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: KXXS SpinFit Tips
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 73.488 -138.3228
20.600000 73.503 -138.7269
20.900000 73.531 -139.4480
21.200001 73.553 -140.1329
21.400000 73.564 -140.5703
21.799999 73.578 -141.4339
22.000000 73.582 -141.8678
22.400000 73.586 -142.7258
22.700001 73.585 -143.3554
23.000000 73.584 -143.9775
23.299999 73.582 -144.6022
23.600000 73.581 -145.2405
24.000000 73.576 -146.1197
24.299999 73.570 -146.7910
24.700001 73.559 -147.6830
25.000000 73.552 -148.3427
25.400000 73.547 -149.2108
25.799999 73.548 -150.0702
26.200001 73.552 -150.9214
26.500000 73.557 -151.5508
26.900000 73.563 -152.3678
27.200001 73.565 -152.9553
27.600000 73.566 -153.6970
28.000000 73.566 -154.3922
28.500000 73.565 -155.2188
29.000000 73.563 -156.0382
29.500000 73.559 -156.8673
30.000000 73.553 -157.6872
30.400000 73.549 -158.3202
30.700001 73.547 -158.7800
31.100000 73.547 -159.3810
31.500000 73.549 -159.9769
32.000000 73.549 -160.7191
32.500000 73.543 -161.4459
33.000000 73.530 -162.1396
33.500000 73.512 -162.7981
34.000000 73.493 -163.4324
34.500000 73.475 -164.0522
35.000000 73.459 -164.6638
35.500000 73.445 -165.2797
36.000000 73.433 -165.9166
36.500000 73.419 -166.5775
37.000000 73.399 -167.2394
37.500000 73.375 -167.8662
38.200001 73.346 -168.6510
38.700001 73.334 -169.1704
39.500000 73.325 -170.0239
40.000000 73.316 -170.5741
40.599998 73.295 -171.2030
41.200001 73.269 -171.7736
41.799999 73.246 -172.3316
42.500000 73.221 -173.0261
43.099998 73.194 -173.6203
43.700001 73.169 -174.1556
44.400002 73.148 -174.7297
45.000000 73.131 -175.2387
45.500000 73.111 -175.6900
46.200001 73.071 -176.3607
46.799999 73.027 -176.9665
47.500000 72.974 -177.6579
48.200001 72.938 -178.2978
48.700001 72.928 -178.7692
49.400002 72.914 -179.5009
50.000000 72.878 179.9085
50.799999 72.798 179.4018
51.500000 72.728 179.1698
52.200001 72.666 178.9179
53.000000 72.595 178.5047
53.799999 72.518 178.0443
54.500000 72.448 177.7086
55.200001 72.382 177.5117
56.000000 72.321 177.4648
57.000000 72.278 177.5430
58.000000 72.274 177.5664
59.000000 72.294 177.4304
60.000000 72.332 177.0997
60.799999 72.358 176.6339
61.500000 72.361 176.1295
62.200001 72.349 175.6217
63.000000 72.329 175.0671
64.000000 72.298 174.4072
65.000000 72.259 173.8156
66.000000 72.213 173.2912
67.000000 72.164 172.8415
68.000000 72.123 172.4387
69.000000 72.083 172.0081
70.000000 72.021 171.5804
71.000000 71.950 171.3290
72.000000 71.922 171.1258
73.000000 71.924 170.6689
74.000000 71.913 170.0605
75.000000 71.884 169.4853
76.199997 71.831 168.9160
77.500000 71.776 168.4083
78.800003 71.724 167.8926
80.000000 71.670 167.4083
81.199997 71.608 166.9359
82.500000 71.535 166.4579
83.800003 71.463 166.0398
85.000000 71.401 165.7190
86.199997 71.339 165.4423
87.500000 71.268 165.1015
88.500000 71.212 164.8064
90.000000 71.133 164.4482
91.199997 71.079 164.3014
92.500000 71.022 164.1330
93.800003 70.957 163.8860
95.000000 70.900 163.7141
96.199997 70.868 163.5995
97.500000 70.849 163.3623
98.800003 70.822 163.0601
100.000000 70.779 162.7859
101.500000 70.707 162.4494
103.000000 70.647 162.0818
104.400002 70.598 161.7419
106.000000 70.530 161.4242
107.500000 70.470 161.1890
109.000000 70.409 160.9503
110.599998 70.339 160.6430
112.000000 70.289 160.4819
113.800003 70.202 160.3639
115.000000 70.137 160.2075
117.199997 69.916 160.5753
118.000000 69.721 161.0509
120.599998 69.321 161.8655
122.000000 69.571 160.4169
124.099998 69.751 159.0952
125.000000 69.728 158.9456
126.500000 69.660 158.7353
128.000000 69.595 158.6115
131.500000 69.421 158.2308
132.000000 69.401 158.1851
134.000000 69.324 158.1412
136.000000 69.234 158.1086
138.000000 69.134 158.0533
140.000000 69.036 157.9295
143.000000 68.894 157.3204
145.000000 68.814 157.6718
147.500000 68.696 158.3750
150.000000 68.555 158.7622
152.500000 68.471 159.3236
155.000000 68.410 159.7708
157.500000 68.395 160.0071
160.000000 68.435 160.0476
162.500000 68.487 160.2472
165.000000 68.500 161.5260
167.500000 68.434 162.0859
170.000000 68.355 160.6216
172.500000 68.277 159.7019
175.000000 68.205 159.4870
177.500000 68.142 159.3785
180.000000 68.080 159.3316
182.500000 68.009 159.4724
185.000000 67.947 159.5950
187.500000 67.907 159.6793
190.000000 67.864 159.8251
192.500000 67.803 159.8932
195.000000 67.739 159.8065
197.500000 67.680 159.7852
200.000000 67.616 159.8452
203.000000 67.537 159.9123
206.000000 67.473 159.9550
209.000000 67.414 160.0034
212.000000 67.354 160.0606
214.000000 67.315 160.1010
218.000000 67.236 160.3088
220.000000 67.195 160.4443
224.000000 67.115 160.6979
227.000000 67.057 160.8712
230.000000 66.998 161.0288
233.000000 66.940 161.2016
236.000000 66.880 161.3762
240.000000 66.809 161.5577
243.000000 66.764 161.7058
247.000000 66.707 161.8300
250.000000 66.665 161.9189
254.000000 66.604 162.2182
258.000000 66.540 162.5497
262.000000 66.477 162.8550
265.000000 66.433 163.0526
