* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-11 18:16:50
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: KXXS Spring Tips
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 73.569 -138.2843
20.600000 73.585 -138.6801
20.900000 73.614 -139.3847
21.200001 73.638 -140.0488
21.400000 73.650 -140.4728
21.799999 73.669 -141.3190
22.000000 73.676 -141.7524
22.400000 73.685 -142.6287
22.700001 73.687 -143.2823
23.000000 73.685 -143.9254
23.299999 73.681 -144.5580
23.600000 73.677 -145.1876
24.000000 73.671 -146.0340
24.299999 73.666 -146.6770
24.700001 73.658 -147.5434
25.000000 73.652 -148.1997
25.400000 73.644 -149.0811
25.799999 73.637 -149.9562
26.200001 73.630 -150.8051
26.500000 73.625 -151.4142
26.900000 73.622 -152.1825
27.200001 73.623 -152.7255
27.600000 73.627 -153.4111
28.000000 73.635 -154.0658
28.500000 73.648 -154.8651
29.000000 73.661 -155.6691
29.500000 73.671 -156.4856
30.000000 73.677 -157.3035
30.400000 73.679 -157.9479
30.700001 73.679 -158.4213
31.100000 73.679 -159.0352
31.500000 73.677 -159.6269
32.000000 73.675 -160.3372
32.500000 73.672 -161.0236
33.000000 73.667 -161.6952
33.500000 73.657 -162.3551
34.000000 73.643 -163.0049
34.500000 73.627 -163.6517
35.000000 73.612 -164.3071
35.500000 73.597 -164.9773
36.000000 73.582 -165.6553
36.500000 73.568 -166.3248
37.000000 73.555 -166.9669
37.500000 73.542 -167.5666
38.200001 73.526 -168.3293
38.700001 73.517 -168.8424
39.500000 73.503 -169.6855
40.000000 73.490 -170.2358
40.599998 73.468 -170.8871
41.200001 73.447 -171.4968
41.799999 73.429 -172.0718
42.500000 73.411 -172.7344
43.099998 73.388 -173.3024
43.700001 73.356 -173.8428
44.400002 73.317 -174.4197
45.000000 73.293 -174.9069
45.500000 73.280 -175.3464
46.200001 73.262 -175.9975
46.799999 73.241 -176.5212
47.500000 73.208 -177.0710
48.200001 73.163 -177.6191
48.700001 73.119 -178.0015
49.400002 73.056 -178.4555
50.000000 73.025 -178.8060
50.799999 73.024 -179.4124
51.500000 73.025 179.9328
52.200001 73.009 179.3550
53.000000 72.982 178.8506
53.799999 72.947 178.3708
54.500000 72.908 177.9307
55.200001 72.870 177.4952
56.000000 72.835 176.9973
57.000000 72.797 176.3776
58.000000 72.755 175.8025
59.000000 72.714 175.2346
60.000000 72.673 174.6118
60.799999 72.636 174.1137
61.500000 72.604 173.7096
62.200001 72.572 173.3273
63.000000 72.536 172.9039
64.000000 72.488 172.4015
65.000000 72.441 171.9155
66.000000 72.393 171.4155
67.000000 72.342 170.9166
68.000000 72.292 170.4320
69.000000 72.244 169.9763
70.000000 72.194 169.5823
71.000000 72.146 169.2205
72.000000 72.097 168.8274
73.000000 72.047 168.3956
74.000000 71.996 167.9680
75.000000 71.946 167.5787
76.199997 71.891 167.1303
77.500000 71.828 166.6276
78.800003 71.762 166.1539
80.000000 71.701 165.7570
81.199997 71.641 165.3894
82.500000 71.577 164.9992
83.800003 71.505 164.6018
85.000000 71.435 164.2545
86.199997 71.374 163.9164
87.500000 71.310 163.5509
88.500000 71.253 163.3053
90.000000 71.172 162.9796
91.199997 71.112 162.7125
92.500000 71.033 162.4023
93.800003 70.936 161.9975
95.000000 70.849 161.6569
96.199997 70.808 161.5668
97.500000 70.803 161.5330
98.800003 70.769 161.4031
100.000000 70.718 161.2026
101.500000 70.660 160.8763
103.000000 70.604 160.5347
104.400002 70.542 160.2220
106.000000 70.465 159.9241
107.500000 70.379 159.7398
109.000000 70.299 159.5193
110.599998 70.241 159.3119
112.000000 70.185 159.1588
113.800003 70.101 158.7659
115.000000 70.043 158.4826
117.199997 69.911 157.0482
118.000000 69.894 155.7697
120.599998 69.788 153.6682
122.000000 69.681 156.0132
124.099998 69.535 158.2065
125.000000 69.489 158.3561
126.500000 69.424 158.4357
128.000000 69.346 158.5771
131.500000 69.225 159.2716
132.000000 69.209 159.3704
134.000000 69.117 159.6317
136.000000 69.070 159.9240
138.000000 69.084 160.0618
140.000000 69.087 160.0407
143.000000 69.067 160.4203
145.000000 69.085 160.0793
147.500000 69.012 159.3325
150.000000 68.908 158.9146
152.500000 68.855 158.5772
155.000000 68.789 158.3568
157.500000 68.723 158.3482
160.000000 68.653 158.2792
162.500000 68.587 158.1505
165.000000 68.542 157.6963
167.500000 68.483 157.1028
170.000000 68.375 157.4949
172.500000 68.261 157.9092
175.000000 68.177 157.9779
177.500000 68.109 157.9283
180.000000 68.040 157.8974
182.500000 67.963 158.0298
185.000000 67.876 158.2542
187.500000 67.801 158.4790
190.000000 67.754 158.7673
192.500000 67.716 158.9410
195.000000 67.662 158.9266
197.500000 67.605 158.9677
200.000000 67.549 159.1036
203.000000 67.486 159.2532
206.000000 67.427 159.3799
209.000000 67.379 159.4827
212.000000 67.329 159.6146
214.000000 67.288 159.7039
218.000000 67.200 159.7733
220.000000 67.162 159.8117
224.000000 67.097 159.9948
227.000000 67.030 160.1240
230.000000 66.959 160.2341
233.000000 66.906 160.3434
236.000000 66.861 160.4681
240.000000 66.800 160.7014
243.000000 66.749 160.8990
247.000000 66.690 161.1396
250.000000 66.648 161.3156
254.000000 66.577 161.5649
258.000000 66.515 161.8488
262.000000 66.465 162.1803
265.000000 66.421 162.3740
