* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-11 18:25:13
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: KXXS T-APB Bass Tips
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 73.575 -138.0162
20.600000 73.588 -138.4363
20.900000 73.610 -139.1811
21.200001 73.627 -139.8753
21.400000 73.635 -140.3136
21.799999 73.648 -141.1781
22.000000 73.652 -141.6167
22.400000 73.658 -142.4969
22.700001 73.660 -143.1489
23.000000 73.659 -143.7885
23.299999 73.658 -144.4174
23.600000 73.656 -145.0445
24.000000 73.653 -145.8901
24.299999 73.649 -146.5338
24.700001 73.642 -147.4003
25.000000 73.636 -148.0547
25.400000 73.630 -148.9311
25.799999 73.626 -149.8049
26.200001 73.625 -150.6673
26.500000 73.627 -151.3029
26.900000 73.631 -152.1294
27.200001 73.634 -152.7271
27.600000 73.637 -153.4846
28.000000 73.639 -154.1902
28.500000 73.643 -155.0136
29.000000 73.647 -155.8222
29.500000 73.649 -156.6580
30.000000 73.644 -157.5117
30.400000 73.635 -158.1742
30.700001 73.627 -158.6444
31.100000 73.619 -159.2339
31.500000 73.616 -159.7956
32.000000 73.617 -160.4931
32.500000 73.618 -161.2051
33.000000 73.612 -161.9164
33.500000 73.599 -162.6037
34.000000 73.583 -163.2650
34.500000 73.568 -163.9143
35.000000 73.553 -164.5563
35.500000 73.540 -165.1846
36.000000 73.530 -165.8002
36.500000 73.522 -166.4168
37.000000 73.511 -167.0398
37.500000 73.494 -167.6488
38.200001 73.464 -168.4274
38.700001 73.445 -168.9376
39.500000 73.425 -169.7684
40.000000 73.414 -170.3139
40.599998 73.396 -170.9590
41.200001 73.378 -171.5630
41.799999 73.363 -172.1433
42.500000 73.344 -172.8275
43.099998 73.322 -173.4014
43.700001 73.294 -173.9238
44.400002 73.263 -174.4872
45.000000 73.240 -174.9927
45.500000 73.221 -175.4447
46.200001 73.193 -176.0915
46.799999 73.175 -176.6410
47.500000 73.159 -177.2548
48.200001 73.142 -177.7464
48.700001 73.136 -178.0055
49.400002 73.137 -178.3791
50.000000 73.127 -178.8438
50.799999 73.071 -179.5930
51.500000 73.000 179.8168
52.200001 72.942 179.2811
53.000000 72.898 178.6516
53.799999 72.861 178.0710
54.500000 72.831 177.6385
55.200001 72.800 177.2347
56.000000 72.760 176.7729
57.000000 72.710 176.1600
58.000000 72.656 175.5286
59.000000 72.600 174.9595
60.000000 72.545 174.4145
60.799999 72.501 173.9574
61.500000 72.463 173.5364
62.200001 72.425 173.1099
63.000000 72.380 172.6672
64.000000 72.325 172.2278
65.000000 72.273 171.8279
66.000000 72.213 171.4283
67.000000 72.155 171.0710
68.000000 72.108 170.6973
69.000000 72.060 170.3344
70.000000 72.008 170.0010
71.000000 71.947 169.6847
72.000000 71.899 169.4482
73.000000 71.887 169.1593
74.000000 71.883 168.7679
75.000000 71.862 168.3885
76.199997 71.819 167.9334
77.500000 71.765 167.3609
78.800003 71.711 166.7911
80.000000 71.660 166.3812
81.199997 71.601 166.0134
82.500000 71.531 165.5683
83.800003 71.465 165.0832
85.000000 71.408 164.6801
86.199997 71.352 164.3074
87.500000 71.284 163.9048
88.500000 71.231 163.6228
90.000000 71.158 163.2430
91.199997 71.090 162.9424
92.500000 71.010 162.6311
93.800003 70.936 162.3603
95.000000 70.870 162.1760
96.199997 70.805 161.9642
97.500000 70.727 161.6420
98.800003 70.648 161.3705
100.000000 70.582 161.2357
101.500000 70.503 161.1715
103.000000 70.422 161.1580
104.400002 70.354 161.1667
106.000000 70.294 161.2460
107.500000 70.248 161.2366
109.000000 70.221 161.0808
110.599998 70.200 160.8965
112.000000 70.160 160.6679
113.800003 70.142 160.3615
115.000000 70.141 160.2726
117.199997 70.320 158.7248
118.000000 70.571 157.4811
120.599998 70.941 154.9408
122.000000 70.436 156.8347
124.099998 69.844 158.4860
125.000000 69.757 158.4893
126.500000 69.683 158.4206
128.000000 69.601 158.2951
131.500000 69.433 157.9447
132.000000 69.412 157.9045
134.000000 69.340 157.8138
136.000000 69.260 157.8021
138.000000 69.179 157.7449
140.000000 69.120 157.6793
143.000000 69.053 157.5692
145.000000 68.969 157.5539
147.500000 68.823 157.6802
150.000000 68.703 157.8687
152.500000 68.629 157.7513
155.000000 68.556 157.6486
157.500000 68.470 157.5688
160.000000 68.378 157.4655
162.500000 68.259 157.2570
165.000000 68.069 156.6298
167.500000 67.926 156.0639
170.000000 67.954 156.8536
172.500000 67.930 157.6404
175.000000 67.869 158.0069
177.500000 67.806 158.2614
180.000000 67.725 158.4865
182.500000 67.605 158.6924
185.000000 67.518 158.8514
187.500000 67.467 159.0721
190.000000 67.413 159.7375
192.500000 67.363 160.2521
195.000000 67.330 160.3182
197.500000 67.294 160.4925
200.000000 67.242 160.9113
203.000000 67.204 161.5246
206.000000 67.204 161.9953
209.000000 67.237 162.2422
212.000000 67.282 162.1724
214.000000 67.296 161.9365
218.000000 67.268 161.8613
220.000000 67.237 161.9443
224.000000 67.170 161.7617
227.000000 67.124 161.5401
230.000000 67.082 161.4398
233.000000 67.026 161.5081
236.000000 66.969 161.5975
240.000000 66.899 161.7540
243.000000 66.838 161.8842
247.000000 66.761 162.0927
250.000000 66.710 162.2613
254.000000 66.631 162.3561
258.000000 66.556 162.4486
262.000000 66.485 162.5289
265.000000 66.435 162.6800
