* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-11 18:26:05
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: KXXS T-APB Treble Tips
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 73.601 -137.6469
20.600000 73.615 -138.0617
20.900000 73.641 -138.7961
21.200001 73.659 -139.4784
21.400000 73.668 -139.9085
21.799999 73.680 -140.7582
22.000000 73.684 -141.1916
22.400000 73.689 -142.0677
22.700001 73.689 -142.7239
23.000000 73.688 -143.3754
23.299999 73.686 -144.0247
23.600000 73.684 -144.6792
24.000000 73.681 -145.5670
24.299999 73.676 -146.2383
24.700001 73.668 -147.1252
25.000000 73.663 -147.7769
25.400000 73.658 -148.6268
25.799999 73.660 -149.4588
26.200001 73.666 -150.2811
26.500000 73.674 -150.8958
26.900000 73.686 -151.7116
27.200001 73.693 -152.3135
27.600000 73.700 -153.0886
28.000000 73.702 -153.8169
28.500000 73.703 -154.6600
29.000000 73.705 -155.4612
29.500000 73.706 -156.2584
30.000000 73.704 -157.0604
30.400000 73.699 -157.6907
30.700001 73.694 -158.1478
31.100000 73.688 -158.7319
31.500000 73.683 -159.2936
32.000000 73.680 -159.9880
32.500000 73.677 -160.6957
33.000000 73.669 -161.4128
33.500000 73.655 -162.1146
34.000000 73.638 -162.7828
34.500000 73.623 -163.4230
35.000000 73.612 -164.0538
35.500000 73.603 -164.6876
36.000000 73.595 -165.3219
36.500000 73.587 -165.9489
37.000000 73.578 -166.5624
37.500000 73.568 -167.1567
38.200001 73.553 -167.9485
38.700001 73.541 -168.4917
39.500000 73.519 -169.3537
40.000000 73.501 -169.8887
40.599998 73.476 -170.5079
41.200001 73.451 -171.0890
41.799999 73.430 -171.6412
42.500000 73.411 -172.2780
43.099998 73.395 -172.8350
43.700001 73.375 -173.3936
44.400002 73.350 -174.0247
45.000000 73.331 -174.5581
45.500000 73.316 -175.0125
46.200001 73.288 -175.6279
46.799999 73.258 -176.0787
47.500000 73.227 -176.5674
48.200001 73.187 -177.1553
48.700001 73.142 -177.6090
49.400002 73.068 -178.1188
50.000000 73.030 -178.4263
50.799999 73.033 -178.9344
51.500000 73.044 -179.5747
52.200001 73.029 179.8038
53.000000 72.996 179.2535
53.799999 72.961 178.7390
54.500000 72.926 178.2568
55.200001 72.891 177.7859
56.000000 72.853 177.2979
57.000000 72.809 176.7579
58.000000 72.762 176.2374
59.000000 72.716 175.6768
60.000000 72.675 175.0661
60.799999 72.641 174.5890
61.500000 72.610 174.2091
62.200001 72.579 173.8502
63.000000 72.544 173.4386
64.000000 72.503 172.9094
65.000000 72.467 172.3697
66.000000 72.427 171.8623
67.000000 72.380 171.4183
68.000000 72.330 171.0031
69.000000 72.283 170.5520
70.000000 72.232 170.0815
71.000000 72.182 169.6616
72.000000 72.135 169.2803
73.000000 72.087 168.8955
74.000000 72.035 168.4988
75.000000 71.983 168.1190
76.199997 71.927 167.7125
77.500000 71.872 167.2969
78.800003 71.811 166.8947
80.000000 71.754 166.4971
81.199997 71.697 166.0936
82.500000 71.638 165.7046
83.800003 71.579 165.3452
85.000000 71.522 165.0051
86.199997 71.463 164.6549
87.500000 71.402 164.2633
88.500000 71.358 163.9451
90.000000 71.290 163.5098
91.199997 71.240 163.2221
92.500000 71.184 162.9197
93.800003 71.121 162.6350
95.000000 71.059 162.3769
96.199997 71.002 162.1270
97.500000 70.950 161.8625
98.800003 70.896 161.6217
100.000000 70.840 161.4189
101.500000 70.767 161.1391
103.000000 70.692 160.8330
104.400002 70.629 160.5862
106.000000 70.556 160.3513
107.500000 70.479 160.1089
109.000000 70.417 159.8507
110.599998 70.351 159.7008
112.000000 70.285 159.5364
113.800003 70.221 159.3357
115.000000 70.178 159.3164
117.199997 70.322 158.7188
118.000000 70.549 158.4325
120.599998 70.904 157.8113
122.000000 70.426 158.2610
124.099998 69.878 158.5345
125.000000 69.802 158.5038
126.500000 69.730 158.5025
128.000000 69.660 158.3198
131.500000 69.536 157.8175
132.000000 69.520 157.7978
134.000000 69.451 157.8689
136.000000 69.370 157.9228
138.000000 69.293 157.8209
140.000000 69.224 157.6071
143.000000 69.098 157.0215
145.000000 69.015 157.0196
147.500000 68.917 157.2937
150.000000 68.803 157.3274
152.500000 68.743 157.2799
155.000000 68.685 157.2596
157.500000 68.603 157.2650
160.000000 68.506 157.2937
162.500000 68.412 157.3884
165.000000 68.347 157.6336
167.500000 68.306 157.8373
170.000000 68.218 157.7509
172.500000 68.116 157.6528
175.000000 68.027 157.6871
177.500000 67.951 157.7858
180.000000 67.883 157.9157
182.500000 67.805 158.1226
185.000000 67.723 158.3408
187.500000 67.659 158.5576
190.000000 67.614 158.7785
192.500000 67.576 159.0593
195.000000 67.535 159.3476
197.500000 67.500 159.5275
200.000000 67.465 159.6130
203.000000 67.413 159.6907
206.000000 67.352 159.7758
209.000000 67.285 159.8583
212.000000 67.215 159.9551
214.000000 67.170 159.9883
218.000000 67.088 160.2072
220.000000 67.048 160.4250
224.000000 66.951 160.7923
227.000000 66.887 161.0163
230.000000 66.834 161.3009
233.000000 66.782 161.6775
236.000000 66.736 162.0399
240.000000 66.701 162.5179
243.000000 66.698 162.8729
247.000000 66.708 163.2106
250.000000 66.709 163.3499
254.000000 66.682 163.4760
258.000000 66.649 163.4719
262.000000 66.615 163.4143
