* REW测量的测量数据V5.20.13
* 来源: 频率响应平均数据
* 格式: Averaged data produced from the rms magnitudes of Lan R 十月 21, 没有描述
* 日期: 2024-10-21 16:53:46
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Averaged data produced from the rms magnitudes of Lan R 十月 21, 没有描述
* 测量: 均方根平均值1
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.600 Hz
*
* 频率(Hz) SPL(dB)
20.600000 -6.123
20.900000 -6.104
21.200001 -6.067
21.400000 -6.043
21.799999 -6.004
22.000000 -5.990
22.400000 -5.982
22.700001 -6.005
23.000000 -6.059
23.299999 -6.144
23.600000 -6.247
24.000000 -6.378
24.299999 -6.438
24.700001 -6.436
25.000000 -6.373
25.400000 -6.242
25.799999 -6.115
26.200001 -6.040
26.500000 -6.024
26.900000 -6.043
27.200001 -6.069
27.600000 -6.098
28.000000 -6.107
28.500000 -6.094
29.000000 -6.065
29.500000 -6.037
30.000000 -6.021
30.400000 -6.023
30.700001 -6.031
31.100000 -6.045
31.500000 -6.054
32.000000 -6.047
32.500000 -6.027
33.000000 -6.011
33.500000 -6.010
34.000000 -6.024
34.500000 -6.047
35.000000 -6.075
35.500000 -6.109
36.000000 -6.148
36.500000 -6.183
37.000000 -6.211
37.500000 -6.231
38.200001 -6.265
38.700001 -6.296
39.500000 -6.345
40.000000 -6.365
40.599998 -6.377
41.200001 -6.383
41.799999 -6.388
42.500000 -6.401
43.099998 -6.424
43.700001 -6.455
44.400002 -6.494
45.000000 -6.525
45.500000 -6.551
46.200001 -6.586
46.799999 -6.605
47.500000 -6.605
48.200001 -6.590
48.700001 -6.583
49.400002 -6.593
50.000000 -6.622
50.799999 -6.673
51.500000 -6.699
52.200001 -6.695
53.000000 -6.673
53.799999 -6.662
54.500000 -6.672
55.200001 -6.696
56.000000 -6.735
57.000000 -6.786
58.000000 -6.833
59.000000 -6.897
60.000000 -6.971
60.799999 -7.014
61.500000 -7.036
62.200001 -7.052
63.000000 -7.072
64.000000 -7.109
65.000000 -7.157
66.000000 -7.206
67.000000 -7.251
68.000000 -7.299
69.000000 -7.352
70.000000 -7.397
71.000000 -7.423
72.000000 -7.437
73.000000 -7.447
74.000000 -7.461
75.000000 -7.484
76.199997 -7.523
77.500000 -7.574
78.800003 -7.632
80.000000 -7.680
81.199997 -7.710
82.500000 -7.735
83.800003 -7.765
85.000000 -7.803
86.199997 -7.845
87.500000 -7.886
88.500000 -7.914
90.000000 -7.953
91.199997 -7.987
92.500000 -8.029
93.800003 -8.074
95.000000 -8.118
96.199997 -8.160
97.500000 -8.195
98.800003 -8.219
100.000000 -8.244
101.500000 -8.288
103.000000 -8.337
104.400002 -8.379
106.000000 -8.423
107.500000 -8.467
109.000000 -8.512
110.599998 -8.554
112.000000 -8.585
113.800003 -8.625
115.000000 -8.658
117.199997 -8.729
118.000000 -8.753
120.599998 -8.810
122.000000 -8.835
124.099998 -8.884
125.000000 -8.911
126.500000 -8.963
128.000000 -9.018
131.500000 -9.118
132.000000 -9.127
134.000000 -9.159
136.000000 -9.192
138.000000 -9.237
140.000000 -9.299
143.000000 -9.417
145.000000 -9.504
147.500000 -9.608
150.000000 -9.684
152.500000 -9.739
155.000000 -9.806
157.500000 -9.895
160.000000 -9.992
162.500000 -10.075
165.000000 -10.126
167.500000 -10.152
170.000000 -10.169
172.500000 -10.189
175.000000 -10.223
177.500000 -10.270
180.000000 -10.318
182.500000 -10.365
185.000000 -10.413
187.500000 -10.454
190.000000 -10.484
192.500000 -10.500
195.000000 -10.511
197.500000 -10.531
200.000000 -10.560
203.000000 -10.595
206.000000 -10.619
209.000000 -10.637
212.000000 -10.656
214.000000 -10.671
218.000000 -10.701
220.000000 -10.718
224.000000 -10.765
227.000000 -10.814
230.000000 -10.864
233.000000 -10.908
236.000000 -10.949
240.000000 -10.994
243.000000 -11.021
247.000000 -11.065
250.000000 -11.107
254.000000 -11.157
258.000000 -11.189
262.000000 -11.216
265.000000 -11.240
269.000000 -11.270
272.000000 -11.285
276.000000 -11.302
280.000000 -11.324
285.000000 -11.359
290.000000 -11.401
295.000000 -11.444
300.000000 -11.487
304.000000 -11.526
307.000000 -11.558
311.000000 -11.597
315.000000 -11.629
320.000000 -11.659
325.000000 -11.673
330.000000 -11.673
335.000000 -11.679
340.000000 -11.699
345.000000 -11.725
350.000000 -11.752
355.000000 -11.777
360.000000 -11.797
365.000000 -11.817
370.000000 -11.842
375.000000 -11.866
382.000000 -11.893
387.000000 -11.910
395.000000 -11.941
400.000000 -11.956
406.000000 -11.963
412.000000 -11.968
418.000000 -11.975
425.000000 -11.979
431.000000 -11.984
437.000000 -11.995
444.000000 -12.020
450.000000 -12.045
455.000000 -12.065
462.000000 -12.084
468.000000 -12.098
475.000000 -12.128
482.000000 -12.166
487.000000 -12.184
494.000000 -12.197
500.000000 -12.209
508.000000 -12.231
515.000000 -12.238
522.000000 -12.232
530.000000 -12.217
538.000000 -12.212
545.000000 -12.225
552.000000 -12.245
560.000000 -12.253
570.000000 -12.253
580.000000 -12.263
590.000000 -12.273
600.000000 -12.278
608.000000 -12.293
615.000000 -12.316
622.000000 -12.341
630.000000 -12.358
640.000000 -12.352
650.000000 -12.329
660.000000 -12.312
670.000000 -12.299
680.000000 -12.281
690.000000 -12.259
700.000000 -12.228
710.000000 -12.181
720.000000 -12.127
730.000000 -12.079
740.000000 -12.040
750.000000 -12.005
762.000000 -11.961
775.000000 -11.911
788.000000 -11.859
800.000000 -11.804
812.000000 -11.742
825.000000 -11.676
838.000000 -11.598
850.000000 -11.509
862.000000 -11.415
875.000000 -11.317
885.000000 -11.238
900.000000 -11.120
912.000000 -11.036
925.000000 -10.956
938.000000 -10.886
950.000000 -10.824
962.000000 -10.758
975.000000 -10.685
988.000000 -10.616
1000.000000 -10.552
1015.000000 -10.460
1030.000000 -10.354
1044.000000 -10.233
1060.000000 -10.063
1075.000000 -9.901
1090.000000 -9.766
1106.000000 -9.654
1120.000000 -9.576
1138.000000 -9.483
1150.000000 -9.412
1172.000000 -9.260
1180.000000 -9.205
1206.000000 -9.024
1220.000000 -8.923
1241.000000 -8.783
1250.000000 -8.729
1265.000000 -8.645
1280.000000 -8.566
1315.000000 -8.351
1320.000000 -8.313
1340.000000 -8.150
1360.000000 -7.986
1380.000000 -7.825
1400.000000 -7.666
1430.000000 -7.439
1450.000000 -7.302
1475.000000 -7.152
1500.000000 -7.016
1525.000000 -6.871
1550.000000 -6.708
1575.000000 -6.538
1600.000000 -6.387
1625.000000 -6.276
1650.000000 -6.194
1675.000000 -6.104
1700.000000 -5.993
1725.000000 -5.873
1750.000000 -5.751
1775.000000 -5.623
1800.000000 -5.478
1825.000000 -5.324
1850.000000 -5.172
1875.000000 -5.022
1900.000000 -4.867
1925.000000 -4.703
1950.000000 -4.531
1975.000000 -4.355
2000.000000 -4.177
2030.000000 -3.959
2060.000000 -3.745
2090.000000 -3.549
2120.000000 -3.379
2140.000000 -3.274
2180.000000 -3.067
2200.000000 -2.960
2240.000000 -2.752
2270.000000 -2.617
2300.000000 -2.507
2330.000000 -2.407
2360.000000 -2.303
2400.000000 -2.167
2430.000000 -2.086
2470.000000 -2.008
2500.000000 -1.957
2540.000000 -1.903
2580.000000 -1.879
2620.000000 -1.878
2650.000000 -1.879
2690.000000 -1.875
2720.000000 -1.873
2760.000000 -1.880
2800.000000 -1.906
2850.000000 -1.976
2900.000000 -2.094
2950.000000 -2.247
3000.000000 -2.396
3040.000000 -2.498
3070.000000 -2.572
3110.000000 -2.678
3150.000000 -2.788
3200.000000 -2.927
3250.000000 -3.080
3300.000000 -3.253
3350.000000 -3.428
3400.000000 -3.590
3450.000000 -3.737
3500.000000 -3.849
3550.000000 -3.925
3600.000000 -4.004
3650.000000 -4.117
3700.000000 -4.254
3750.000000 -4.397
3820.000000 -4.601
3870.000000 -4.738
3950.000000 -4.925
4000.000000 -5.033
4060.000000 -5.169
4120.000000 -5.307
4180.000000 -5.416
4250.000000 -5.504
4310.000000 -5.575
4370.000000 -5.658
4440.000000 -5.765
4500.000000 -5.860
4550.000000 -5.936
4620.000000 -6.030
4680.000000 -6.093
4750.000000 -6.166
4820.000000 -6.267
4870.000000 -6.362
4940.000000 -6.516
5000.000000 -6.650
5080.000000 -6.822
5150.000000 -6.981
5220.000000 -7.159
5300.000000 -7.390
5380.000000 -7.631
5450.000000 -7.841
5520.000000 -8.063
5600.000000 -8.344
5700.000000 -8.715
5800.000000 -9.090
5900.000000 -9.486
6000.000000 -9.895
6080.000000 -10.224
6150.000000 -10.515
6220.000000 -10.803
6300.000000 -11.119
6400.000000 -11.493
6500.000000 -11.858
6600.000000 -12.216
6700.000000 -12.552
6800.000000 -12.852
6900.000000 -13.116
7000.000000 -13.363
7100.000000 -13.610
7200.000000 -13.846
7300.000000 -14.057
7400.000000 -14.243
7500.000000 -14.405
7620.000000 -14.565
7750.000000 -14.693
7880.000000 -14.774
8000.000000 -14.798
8120.000000 -14.756
8250.000000 -14.627
8380.000000 -14.408
8500.000000 -14.119
8620.000000 -13.738
8750.000000 -13.230
8850.000000 -12.788
9000.000000 -12.055
9120.000000 -11.386
9250.000000 -10.576
9380.000000 -9.725
9500.000000 -8.961
9620.000000 -8.287
9750.000000 -7.759
9880.000000 -7.559
10000.000000 -7.722
10150.000000 -8.376
10300.000000 -9.420
10440.000000 -10.620
10600.000000 -12.104
10750.000000 -13.487
10900.000000 -14.772
11060.000000 -15.945
11200.000000 -16.722
11380.000000 -17.309
11500.000000 -17.464
11720.000000 -17.455
11800.000000 -17.416
12060.000000 -17.364
12200.000000 -17.442
12410.000000 -17.677
12500.000000 -17.791
