* REW测量的测量数据V5.20.13
* 来源: 频率响应平均数据
* 格式: Averaged data produced from the rms magnitudes of L, L
* 日期: 2025-1-17 17:54:18
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Averaged data produced from the rms magnitudes of L, L
* 测量: 均方根平均值1
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 2.200 Hz
*
* 频率(Hz) SPL(dB)
2.200000 98.017
2.240000 98.169
2.270000 98.282
2.300000 98.395
2.330000 98.509
2.360000 98.622
2.400000 98.774
2.430000 98.887
2.470000 99.038
2.500000 99.152
2.540000 99.303
2.580000 99.460
2.620000 99.634
2.650000 99.769
2.690000 99.955
2.720000 100.096
2.760000 100.282
2.800000 100.465
2.850000 100.681
2.900000 100.877
2.950000 101.047
3.000000 101.194
3.040000 101.298
3.070000 101.370
3.110000 101.459
3.150000 101.542
3.200000 101.642
3.250000 101.741
3.300000 101.843
3.350000 101.946
3.400000 102.046
3.450000 102.143
3.500000 102.237
3.550000 102.326
3.600000 102.412
3.650000 102.493
3.700000 102.568
3.750000 102.639
3.820000 102.729
3.870000 102.789
3.950000 102.880
4.000000 102.935
4.060000 102.999
4.120000 103.059
4.180000 103.116
4.250000 103.179
4.310000 103.231
4.370000 103.281
4.440000 103.340
4.500000 103.389
4.550000 103.428
4.620000 103.481
4.680000 103.525
4.750000 103.574
4.820000 103.621
4.870000 103.653
4.940000 103.696
5.000000 103.731
5.080000 103.776
5.150000 103.813
5.220000 103.850
5.300000 103.889
5.380000 103.925
5.450000 103.954
5.520000 103.980
5.600000 104.006
5.700000 104.034
5.800000 104.057
5.900000 104.076
6.000000 104.089
6.080000 104.097
6.150000 104.102
6.220000 104.105
6.300000 104.106
6.400000 104.104
6.500000 104.099
6.600000 104.093
6.700000 104.084
6.800000 104.074
6.900000 104.063
7.000000 104.051
7.100000 104.039
7.200000 104.026
7.300000 104.012
7.400000 103.998
7.500000 103.984
7.620000 103.966
7.750000 103.945
7.880000 103.922
8.000000 103.900
8.120000 103.876
8.250000 103.847
8.380000 103.817
8.500000 103.788
8.620000 103.757
8.750000 103.722
8.850000 103.695
9.000000 103.653
9.120000 103.619
9.250000 103.583
9.380000 103.546
9.500000 103.515
9.620000 103.486
9.750000 103.458
9.880000 103.435
10.000000 103.419
10.150000 103.407
10.300000 103.402
10.440000 103.404
10.600000 103.412
10.750000 103.423
10.900000 103.437
11.060000 103.450
11.200000 103.460
11.380000 103.470
11.500000 103.473
11.720000 103.470
11.800000 103.466
12.060000 103.443
12.200000 103.423
12.410000 103.383
12.500000 103.362
12.650000 103.323
12.800000 103.277
13.150000 103.144
13.200000 103.122
13.400000 103.029
13.600000 102.928
13.800000 102.818
14.000000 102.703
14.300000 102.522
14.500000 102.400
14.750000 102.247
15.000000 102.098
