* REW测量的测量数据V5.20.13
* 来源: 频率响应平均数据
* 格式: Averaged data produced from the rms magnitudes of R, R, 均方根平均值1
* 日期: 2025-1-17 17:54:23
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Averaged data produced from the rms magnitudes of R, R, 均方根平均值1
* 测量: 均方根平均值1
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 2.200 Hz
*
* 频率(Hz) SPL(dB)
2.200000 98.121
2.240000 98.273
2.270000 98.388
2.300000 98.503
2.330000 98.617
2.360000 98.732
2.400000 98.884
2.430000 98.999
2.470000 99.152
2.500000 99.266
2.540000 99.419
2.580000 99.578
2.620000 99.754
2.650000 99.892
2.690000 100.081
2.720000 100.224
2.760000 100.415
2.800000 100.601
2.850000 100.822
2.900000 101.023
2.950000 101.199
3.000000 101.352
3.040000 101.461
3.070000 101.537
3.110000 101.632
3.150000 101.721
3.200000 101.827
3.250000 101.933
3.300000 102.041
3.350000 102.151
3.400000 102.258
3.450000 102.362
3.500000 102.462
3.550000 102.558
3.600000 102.649
3.650000 102.735
3.700000 102.816
3.750000 102.892
3.820000 102.989
3.870000 103.053
3.950000 103.150
4.000000 103.208
4.060000 103.275
4.120000 103.338
4.180000 103.396
4.250000 103.459
4.310000 103.511
4.370000 103.561
4.440000 103.618
4.500000 103.664
4.550000 103.701
4.620000 103.750
4.680000 103.790
4.750000 103.834
4.820000 103.876
4.870000 103.904
4.940000 103.941
5.000000 103.971
5.080000 104.009
5.150000 104.041
5.220000 104.072
5.300000 104.106
5.380000 104.138
5.450000 104.163
5.520000 104.186
5.600000 104.210
5.700000 104.237
5.800000 104.259
5.900000 104.279
6.000000 104.295
6.080000 104.306
6.150000 104.313
6.220000 104.319
6.300000 104.323
6.400000 104.326
6.500000 104.325
6.600000 104.323
6.700000 104.317
6.800000 104.309
6.900000 104.299
7.000000 104.288
7.100000 104.275
7.200000 104.260
7.300000 104.245
7.400000 104.228
7.500000 104.211
7.620000 104.189
7.750000 104.165
7.880000 104.141
8.000000 104.117
8.120000 104.093
8.250000 104.067
8.380000 104.041
8.500000 104.015
8.620000 103.990
8.750000 103.961
8.850000 103.938
9.000000 103.901
9.120000 103.871
9.250000 103.836
9.380000 103.799
9.500000 103.765
9.620000 103.733
9.750000 103.698
9.880000 103.668
10.000000 103.645
10.150000 103.623
10.300000 103.610
10.440000 103.606
10.600000 103.610
10.750000 103.620
10.900000 103.636
11.060000 103.655
11.200000 103.674
11.380000 103.696
11.500000 103.708
11.720000 103.722
11.800000 103.723
12.060000 103.712
12.200000 103.695
12.410000 103.655
12.500000 103.633
12.650000 103.587
12.800000 103.533
13.150000 103.376
13.200000 103.351
13.400000 103.243
13.600000 103.130
13.800000 103.011
14.000000 102.891
14.300000 102.710
14.500000 102.592
14.750000 102.450
15.000000 102.313
15.250000 102.183
15.500000 102.058
15.750000 101.937
16.000000 101.819
16.250000 101.705
16.500000 101.594
16.750000 101.487
17.000000 101.384
17.250000 101.287
17.500000 101.195
17.750000 101.108
18.000000 101.027
18.250000 100.949
18.500000 100.874
18.750000 100.803
19.000000 100.734
19.250000 100.670
19.500000 100.609
19.750000 100.553
20.000000 100.499
20.299999 100.439
20.600000 100.380
20.900000 100.319
21.200001 100.257
21.400000 100.213
21.799999 100.120
22.000000 100.072
22.400000 99.972
22.700001 99.896
23.000000 99.819
23.299999 99.743
23.600000 99.666
24.000000 99.566
24.299999 99.493
24.700001 99.397
25.000000 99.328
25.400000 99.240
25.799999 99.155
26.200001 99.074
26.500000 99.014
26.900000 98.937
27.200001 98.880
27.600000 98.805
28.000000 98.732
28.500000 98.645
29.000000 98.561
29.500000 98.479
30.000000 98.396
30.400000 98.330
30.700001 98.281
31.100000 98.219
31.500000 98.160
32.000000 98.090
32.500000 98.022
33.000000 97.955
33.500000 97.886
34.000000 97.816
34.500000 97.746
35.000000 97.677
35.500000 97.613
36.000000 97.551
36.500000 97.492
37.000000 97.435
37.500000 97.380
38.200001 97.305
38.700001 97.253
39.500000 97.174
40.000000 97.128
40.599998 97.074
41.200001 97.022
41.799999 96.972
42.500000 96.912
43.099998 96.861
43.700001 96.808
44.400002 96.746
45.000000 96.695
45.500000 96.652
46.200001 96.593
46.799999 96.543
47.500000 96.487
48.200001 96.433
48.700001 96.395
49.400002 96.343
50.000000 96.300
50.799999 96.240
51.500000 96.184
52.200001 96.124
53.000000 96.055
53.799999 95.986
54.500000 95.926
55.200001 95.869
56.000000 95.803
57.000000 95.717
58.000000 95.630
59.000000 95.541
60.000000 95.451
60.799999 95.381
61.500000 95.321
62.200001 95.260
63.000000 95.190
64.000000 95.100
65.000000 95.009
66.000000 94.919
67.000000 94.831
68.000000 94.745
69.000000 94.659
70.000000 94.574
71.000000 94.489
72.000000 94.405
73.000000 94.318
74.000000 94.228
75.000000 94.139
76.199997 94.038
77.500000 93.931
78.800003 93.827
80.000000 93.735
81.199997 93.643
82.500000 93.546
83.800003 93.449
85.000000 93.362
86.199997 93.275
87.500000 93.184
88.500000 93.114
90.000000 93.009
91.199997 92.924
92.500000 92.830
93.800003 92.736
95.000000 92.651
96.199997 92.571
97.500000 92.492
98.800003 92.416
100.000000 92.346
101.500000 92.256
103.000000 92.164
104.400002 92.079
106.000000 91.980
107.500000 91.891
109.000000 91.807
110.599998 91.722
112.000000 91.648
113.800003 91.546
115.000000 91.472
117.199997 91.324
118.000000 91.271
120.599998 91.128
122.000000 91.078
124.099998 91.011
125.000000 90.977
126.500000 90.909
128.000000 90.832
131.500000 90.651
132.000000 90.627
134.000000 90.532
136.000000 90.436
138.000000 90.346
140.000000 90.268
143.000000 90.152
145.000000 90.066
147.500000 89.956
150.000000 89.849
152.500000 89.750
155.000000 89.657
157.500000 89.566
160.000000 89.482
162.500000 89.412
165.000000 89.343
167.500000 89.258
170.000000 89.161
172.500000 89.073
175.000000 88.994
177.500000 88.918
180.000000 88.845
182.500000 88.778
185.000000 88.719
187.500000 88.662
190.000000 88.603
192.500000 88.540
195.000000 88.479
197.500000 88.422
200.000000 88.369
203.000000 88.308
206.000000 88.246
209.000000 88.186
212.000000 88.133
214.000000 88.101
218.000000 88.034
220.000000 88.001
224.000000 87.940
227.000000 87.898
230.000000 87.859
233.000000 87.818
236.000000 87.777
240.000000 87.724
243.000000 87.687
247.000000 87.638
250.000000 87.602
254.000000 87.549
258.000000 87.487
262.000000 87.429
265.000000 87.399
269.000000 87.371
272.000000 87.350
276.000000 87.319
280.000000 87.290
285.000000 87.260
290.000000 87.242
295.000000 87.223
300.000000 87.194
304.000000 87.168
307.000000 87.149
311.000000 87.121
315.000000 87.090
320.000000 87.050
325.000000 87.013
330.000000 86.980
335.000000 86.944
340.000000 86.905
345.000000 86.869
350.000000 86.834
355.000000 86.797
360.000000 86.757
365.000000 86.718
370.000000 86.682
375.000000 86.647
382.000000 86.600
387.000000 86.567
395.000000 86.522
400.000000 86.502
406.000000 86.493
412.000000 86.507
418.000000 86.544
425.000000 86.606
431.000000 86.658
437.000000 86.696
444.000000 86.712
450.000000 86.702
455.000000 86.684
462.000000 86.652
468.000000 86.623
475.000000 86.587
482.000000 86.550
487.000000 86.525
494.000000 86.492
500.000000 86.467
508.000000 86.439
515.000000 86.420
522.000000 86.403
530.000000 86.384
538.000000 86.365
545.000000 86.352
552.000000 86.340
560.000000 86.326
570.000000 86.307
580.000000 86.289
590.000000 86.270
600.000000 86.249
608.000000 86.238
615.000000 86.233
622.000000 86.228
630.000000 86.222
640.000000 86.212
650.000000 86.203
660.000000 86.194
670.000000 86.186
680.000000 86.182
690.000000 86.183
700.000000 86.186
710.000000 86.189
720.000000 86.193
730.000000 86.198
740.000000 86.204
750.000000 86.210
762.000000 86.220
775.000000 86.232
788.000000 86.246
800.000000 86.259
812.000000 86.274
825.000000 86.293
838.000000 86.313
850.000000 86.332
862.000000 86.352
875.000000 86.371
885.000000 86.386
900.000000 86.411
912.000000 86.431
925.000000 86.451
938.000000 86.468
950.000000 86.483
962.000000 86.498
975.000000 86.513
988.000000 86.525
1000.000000 86.536
1015.000000 86.552
1030.000000 86.568
1044.000000 86.581
1060.000000 86.597
1075.000000 86.615
1090.000000 86.639
1106.000000 86.675
1120.000000 86.717
1138.000000 86.783
1150.000000 86.836
1172.000000 86.955
1180.000000 87.006
1206.000000 87.195
1220.000000 87.308
1241.000000 87.488
1250.000000 87.568
1265.000000 87.706
1280.000000 87.847
1315.000000 88.169
1320.000000 88.214
1340.000000 88.391
1360.000000 88.564
1380.000000 88.729
1400.000000 88.885
1430.000000 89.103
1450.000000 89.237
1475.000000 89.395
1500.000000 89.544
1525.000000 89.683
1550.000000 89.813
1575.000000 89.936
1600.000000 90.052
1625.000000 90.162
1650.000000 90.270
1675.000000 90.377
1700.000000 90.482
1725.000000 90.585
1750.000000 90.684
1775.000000 90.782
1800.000000 90.881
1825.000000 90.982
1850.000000 91.084
1875.000000 91.186
1900.000000 91.290
1925.000000 91.394
1950.000000 91.500
1975.000000 91.606
2000.000000 91.712
2030.000000 91.841
2060.000000 91.971
2090.000000 92.102
2120.000000 92.235
2140.000000 92.325
2180.000000 92.504
2200.000000 92.593
2240.000000 92.770
2270.000000 92.904
2300.000000 93.038
2330.000000 93.171
2360.000000 93.302
2400.000000 93.476
2430.000000 93.605
2470.000000 93.776
2500.000000 93.901
2540.000000 94.065
2580.000000 94.224
2620.000000 94.377
2650.000000 94.488
2690.000000 94.630
2720.000000 94.732
2760.000000 94.861
2800.000000 94.979
2850.000000 95.110
2900.000000 95.226
2950.000000 95.326
3000.000000 95.406
3040.000000 95.456
3070.000000 95.486
3110.000000 95.516
3150.000000 95.539
3200.000000 95.558
3250.000000 95.570
3300.000000 95.575
3350.000000 95.576
3400.000000 95.569
3450.000000 95.553
3500.000000 95.525
3550.000000 95.486
3600.000000 95.435
3650.000000 95.372
3700.000000 95.297
3750.000000 95.212
3820.000000 95.079
3870.000000 94.978
3950.000000 94.816
4000.000000 94.718
4060.000000 94.606
4120.000000 94.500
4180.000000 94.401
4250.000000 94.288
4310.000000 94.192
4370.000000 94.098
4440.000000 93.991
4500.000000 93.899
4550.000000 93.823
4620.000000 93.715
4680.000000 93.623
4750.000000 93.516
4820.000000 93.408
4870.000000 93.329
4940.000000 93.216
5000.000000 93.118
5080.000000 92.985
5150.000000 92.863
5220.000000 92.735
5300.000000 92.581
5380.000000 92.417
5450.000000 92.268
5520.000000 92.115
5600.000000 91.936
5700.000000 91.705
5800.000000 91.465
5900.000000 91.216
6000.000000 90.954
6080.000000 90.734
6150.000000 90.535
6220.000000 90.330
6300.000000 90.092
6400.000000 89.789
6500.000000 89.487
6600.000000 89.191
6700.000000 88.912
6800.000000 88.664
6900.000000 88.455
7000.000000 88.292
7100.000000 88.185
7200.000000 88.138
7300.000000 88.149
7400.000000 88.214
7500.000000 88.329
7620.000000 88.529
