* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-13 0:05:45
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Moondrop Quarks L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 30.841 179.6737
20.600000 30.842 179.5894
20.900000 30.840 179.4506
21.200001 30.833 179.3502
21.400000 30.824 179.3001
21.799999 30.800 179.2089
22.000000 30.785 179.1531
22.400000 30.749 179.0026
22.700001 30.718 178.8576
23.000000 30.685 178.6984
23.299999 30.654 178.5360
23.600000 30.626 178.3699
24.000000 30.593 178.1323
24.299999 30.572 177.9320
24.700001 30.544 177.6282
25.000000 30.522 177.3763
25.400000 30.492 177.0288
25.799999 30.462 176.7035
26.200001 30.437 176.4192
26.500000 30.425 176.2234
26.900000 30.416 175.9608
27.200001 30.414 175.7500
27.600000 30.410 175.4531
28.000000 30.402 175.1647
28.500000 30.384 174.8565
29.000000 30.361 174.6013
29.500000 30.337 174.3532
30.000000 30.313 174.0835
30.400000 30.292 173.8623
30.700001 30.276 173.7035
31.100000 30.256 173.5075
31.500000 30.237 173.3239
32.000000 30.218 173.0925
32.500000 30.201 172.8481
33.000000 30.182 172.6068
33.500000 30.161 172.3904
34.000000 30.140 172.1966
34.500000 30.121 171.9956
35.000000 30.102 171.7610
35.500000 30.080 171.4951
36.000000 30.056 171.2269
36.500000 30.032 170.9797
37.000000 30.014 170.7495
37.500000 30.001 170.5158
38.200001 29.983 170.1758
38.700001 29.965 169.9514
39.500000 29.933 169.6646
40.000000 29.914 169.5031
40.599998 29.893 169.2872
41.200001 29.870 169.0510
41.799999 29.846 168.8294
42.500000 29.822 168.6014
43.099998 29.803 168.4053
43.700001 29.783 168.1997
44.400002 29.756 167.9653
45.000000 29.731 167.7660
45.500000 29.711 167.5876
46.200001 29.681 167.3271
46.799999 29.656 167.1186
47.500000 29.634 166.8841
48.200001 29.617 166.6162
48.700001 29.603 166.4068
49.400002 29.576 166.1315
50.000000 29.550 165.9310
50.799999 29.515 165.6896
51.500000 29.484 165.4833
52.200001 29.455 165.2816
53.000000 29.425 165.0409
53.799999 29.401 164.7663
54.500000 29.381 164.5070
55.200001 29.358 164.2590
56.000000 29.330 164.0173
57.000000 29.296 163.7594
58.000000 29.259 163.4880
59.000000 29.217 163.2025
60.000000 29.180 162.9251
60.799999 29.155 162.6931
61.500000 29.133 162.4691
62.200001 29.108 162.2449
63.000000 29.074 162.0391
64.000000 29.037 161.8476
65.000000 29.007 161.6208
66.000000 28.973 161.3713
67.000000 28.937 161.1367
68.000000 28.904 160.8963
69.000000 28.872 160.6606
70.000000 28.841 160.4129
71.000000 28.808 160.1667
72.000000 28.778 159.9541
73.000000 28.748 159.7537
74.000000 28.717 159.5569
75.000000 28.684 159.3638
76.199997 28.644 159.1172
77.500000 28.597 158.8239
78.800003 28.550 158.5667
80.000000 28.511 158.3739
81.199997 28.473 158.1881
82.500000 28.433 157.9667
83.800003 28.400 157.7144
85.000000 28.372 157.4953
86.199997 28.343 157.2905
87.500000 28.302 157.0244
88.500000 28.264 156.8303
90.000000 28.212 156.5670
91.199997 28.169 156.3702
92.500000 28.130 156.1280
93.800003 28.096 155.8662
95.000000 28.064 155.6788
96.199997 28.025 155.5303
97.500000 27.976 155.3492
98.800003 27.933 155.1432
100.000000 27.899 154.9696
101.500000 27.850 154.7655
103.000000 27.795 154.5543
104.400002 27.745 154.3511
106.000000 27.693 154.1362
107.500000 27.647 153.9512
109.000000 27.602 153.7942
110.599998 27.554 153.6128
112.000000 27.511 153.4305
113.800003 27.458 153.2330
115.000000 27.421 153.1230
117.199997 27.368 152.9712
118.000000 27.360 152.9978
120.599998 27.313 152.9687
122.000000 27.236 152.6638
124.099998 27.143 152.2681
125.000000 27.116 152.1623
126.500000 27.073 152.0235
128.000000 27.028 151.8850
131.500000 26.921 151.6145
132.000000 26.907 151.5830
134.000000 26.850 151.4635
136.000000 26.795 151.3538
138.000000 26.736 151.2684
140.000000 26.675 151.1882
143.000000 26.592 151.0380
145.000000 26.539 150.9618
147.500000 26.473 150.8762
150.000000 26.404 150.7722
152.500000 26.339 150.6732
155.000000 26.275 150.5823
157.500000 26.208 150.4881
160.000000 26.139 150.3559
162.500000 26.076 150.2883
165.000000 26.014 150.2711
167.500000 25.948 150.2005
170.000000 25.889 150.0830
172.500000 25.833 149.9778
175.000000 25.773 149.8887
177.500000 25.715 149.8140
180.000000 25.658 149.7600
182.500000 25.604 149.6964
185.000000 25.547 149.6236
187.500000 25.485 149.5639
190.000000 25.423 149.5582
192.500000 25.365 149.5589
195.000000 25.310 149.5068
197.500000 25.252 149.4258
200.000000 25.195 149.3905
203.000000 25.131 149.4014
206.000000 25.067 149.4034
209.000000 25.002 149.3814
212.000000 24.939 149.3873
214.000000 24.898 149.4332
218.000000 24.810 149.4815
220.000000 24.766 149.4561
224.000000 24.678 149.4510
227.000000 24.616 149.5075
230.000000 24.553 149.5898
233.000000 24.484 149.6728
236.000000 24.417 149.7682
240.000000 24.334 149.9109
243.000000 24.276 150.0125
247.000000 24.199 150.2120
250.000000 24.144 150.3962
254.000000 24.085 150.6592
258.000000 24.046 150.8905
262.000000 24.029 150.9464
265.000000 24.017 151.0482
269.000000 23.984 151.2766
272.000000 23.961 151.3162
276.000000 23.924 151.2382
280.000000 23.873 151.1092
