* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-13 0:08:13
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Moondrop Quarks R
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 31.689 176.6144
20.600000 31.688 176.5331
20.900000 31.684 176.4000
21.200001 31.674 176.3071
21.400000 31.664 176.2668
21.799999 31.638 176.2097
22.000000 31.623 176.1775
22.400000 31.592 176.0782
22.700001 31.566 175.9634
23.000000 31.539 175.8183
23.299999 31.512 175.6546
23.600000 31.483 175.4803
24.000000 31.443 175.2429
24.299999 31.413 175.0678
24.700001 31.374 174.8382
25.000000 31.349 174.6611
25.400000 31.320 174.4075
25.799999 31.299 174.1328
26.200001 31.282 173.8431
26.500000 31.272 173.6209
26.900000 31.259 173.3268
27.200001 31.249 173.1175
27.600000 31.234 172.8674
28.000000 31.218 172.6610
28.500000 31.198 172.4521
29.000000 31.178 172.2483
29.500000 31.157 172.0082
30.000000 31.135 171.7325
30.400000 31.117 171.5049
30.700001 31.104 171.3383
31.100000 31.088 171.1263
31.500000 31.071 170.9271
32.000000 31.049 170.6977
32.500000 31.028 170.4909
33.000000 31.007 170.3011
33.500000 30.988 170.1140
34.000000 30.968 169.9136
34.500000 30.949 169.6916
35.000000 30.928 169.4506
35.500000 30.906 169.2043
36.000000 30.883 168.9721
36.500000 30.861 168.7657
37.000000 30.841 168.5780
37.500000 30.824 168.3906
38.200001 30.800 168.1107
38.700001 30.780 167.9099
39.500000 30.748 167.6196
40.000000 30.730 167.4511
40.599998 30.711 167.2407
41.200001 30.693 167.0100
41.799999 30.672 166.7666
42.500000 30.643 166.4874
43.099998 30.616 166.2633
43.700001 30.592 166.0519
44.400002 30.568 165.8145
45.000000 30.549 165.6174
45.500000 30.534 165.4561
46.200001 30.514 165.2233
46.799999 30.495 165.0031
47.500000 30.470 164.7187
48.200001 30.441 164.4335
48.700001 30.419 164.2526
49.400002 30.390 164.0427
50.000000 30.366 163.8837
50.799999 30.334 163.6655
51.500000 30.303 163.4696
52.200001 30.272 163.2765
53.000000 30.242 163.0363
53.799999 30.215 162.7713
54.500000 30.192 162.5518
55.200001 30.168 162.3533
56.000000 30.138 162.1332
57.000000 30.101 161.8555
58.000000 30.065 161.5511
59.000000 30.029 161.2131
60.000000 29.993 160.9163
60.799999 29.966 160.7313
61.500000 29.944 160.5826
62.200001 29.921 160.4276
63.000000 29.891 160.2471
64.000000 29.851 160.0164
65.000000 29.814 159.7587
66.000000 29.775 159.5189
67.000000 29.738 159.3099
68.000000 29.700 159.0821
69.000000 29.661 158.8568
70.000000 29.629 158.6352
71.000000 29.599 158.3897
72.000000 29.563 158.1681
73.000000 29.527 157.9743
74.000000 29.493 157.7535
75.000000 29.461 157.5171
76.199997 29.424 157.2463
77.500000 29.379 156.9765
78.800003 29.332 156.7180
80.000000 29.291 156.4747
81.199997 29.252 156.2309
82.500000 29.211 155.9732
83.800003 29.170 155.7301
85.000000 29.127 155.5312
86.199997 29.088 155.3666
87.500000 29.052 155.1450
88.500000 29.022 154.9418
90.000000 28.971 154.6361
91.199997 28.928 154.3901
92.500000 28.881 154.1473
93.800003 28.836 153.9427
95.000000 28.792 153.7575
96.199997 28.746 153.5754
97.500000 28.700 153.3919
98.800003 28.659 153.2062
100.000000 28.621 153.0339
101.500000 28.572 152.8337
103.000000 28.519 152.6380
104.400002 28.468 152.4359
106.000000 28.414 152.1901
107.500000 28.368 152.0012
109.000000 28.321 151.8409
110.599998 28.268 151.6394
112.000000 28.222 151.4467
113.800003 28.166 151.2189
115.000000 28.130 151.0956
117.199997 28.059 150.8310
118.000000 28.032 150.6961
120.599998 27.947 150.3411
122.000000 27.905 150.3090
124.099998 27.839 150.2163
125.000000 27.809 150.1441
126.500000 27.760 150.0082
128.000000 27.712 149.8771
131.500000 27.597 149.6338
132.000000 27.581 149.6074
134.000000 27.520 149.5105
136.000000 27.455 149.4137
138.000000 27.392 149.2924
140.000000 27.333 149.1602
143.000000 27.240 149.0122
145.000000 27.181 148.9416
147.500000 27.113 148.8485
150.000000 27.043 148.6982
152.500000 26.972 148.6006
155.000000 26.902 148.5276
157.500000 26.835 148.4231
160.000000 26.774 148.3418
162.500000 26.711 148.2803
165.000000 26.648 148.2054
167.500000 26.584 148.1432
170.000000 26.516 148.0622
172.500000 26.448 147.9644
175.000000 26.381 147.8977
177.500000 26.316 147.8463
180.000000 26.253 147.7751
182.500000 26.195 147.7232
185.000000 26.139 147.6776
187.500000 26.077 147.6078
190.000000 26.016 147.5507
192.500000 25.957 147.5073
195.000000 25.897 147.4597
197.500000 25.837 147.4240
200.000000 25.779 147.4208
203.000000 25.712 147.4317
206.000000 25.644 147.3965
209.000000 25.568 147.3762
212.000000 25.491 147.4080
214.000000 25.443 147.4355
218.000000 25.358 147.4537
220.000000 25.310 147.4567
224.000000 25.213 147.4834
227.000000 25.140 147.5239
230.000000 25.065 147.5840
233.000000 24.992 147.6572
236.000000 24.924 147.7804
240.000000 24.835 148.0191
243.000000 24.764 148.1960
247.000000 24.671 148.4770
250.000000 24.607 148.7757
254.000000 24.537 149.2580
258.000000 24.493 149.6748
262.000000 24.522 149.8393
265.000000 24.570 150.0468
269.000000 24.568 150.5461
272.000000 24.561 150.6249
276.000000 24.558 150.2911
280.000000 24.530 149.8698
