* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-9 19:51:56
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: NICEHCK YD520 Black Tips L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 -15.157 -151.7540
20.600000 -15.137 -151.9927
20.900000 -15.097 -152.4090
21.200001 -15.064 -152.7743
21.400000 -15.046 -152.9827
21.799999 -15.016 -153.3428
22.000000 -15.001 -153.5084
22.400000 -14.975 -153.8351
22.700001 -14.958 -154.0959
23.000000 -14.947 -154.3825
23.299999 -14.940 -154.6968
23.600000 -14.939 -155.0381
24.000000 -14.946 -155.5275
24.299999 -14.954 -155.9084
24.700001 -14.968 -156.4208
25.000000 -14.978 -156.8042
25.400000 -14.985 -157.3102
25.799999 -14.987 -157.8008
26.200001 -14.981 -158.2704
26.500000 -14.972 -158.6124
26.900000 -14.957 -159.0601
27.200001 -14.947 -159.3880
27.600000 -14.938 -159.8028
28.000000 -14.932 -160.1741
28.500000 -14.926 -160.5811
29.000000 -14.915 -160.9865
29.500000 -14.902 -161.4495
30.000000 -14.897 -161.9514
30.400000 -14.899 -162.3267
30.700001 -14.901 -162.5715
31.100000 -14.900 -162.8500
31.500000 -14.895 -163.0992
32.000000 -14.883 -163.4182
32.500000 -14.874 -163.7701
33.000000 -14.870 -164.1484
33.500000 -14.872 -164.5477
34.000000 -14.875 -164.9672
34.500000 -14.881 -165.3808
35.000000 -14.885 -165.7432
35.500000 -14.880 -166.0362
36.000000 -14.864 -166.3005
36.500000 -14.844 -166.5934
37.000000 -14.832 -166.9297
37.500000 -14.834 -167.2729
38.200001 -14.855 -167.7078
38.700001 -14.870 -168.0025
39.500000 -14.885 -168.4978
40.000000 -14.888 -168.8015
40.599998 -14.885 -169.1420
41.200001 -14.878 -169.4729
41.799999 -14.880 -169.7861
42.500000 -14.892 -170.0920
43.099998 -14.902 -170.3443
43.700001 -14.909 -170.6629
44.400002 -14.921 -171.0854
45.000000 -14.928 -171.3977
45.500000 -14.926 -171.6124
46.200001 -14.922 -171.8794
46.799999 -14.929 -172.0621
47.500000 -14.947 -172.2407
48.200001 -14.977 -172.5409
48.700001 -15.016 -172.8400
49.400002 -15.086 -173.1700
50.000000 -15.119 -173.2710
50.799999 -15.083 -173.4263
51.500000 -15.025 -173.7990
52.200001 -14.992 -174.2083
53.000000 -14.986 -174.4962
53.799999 -14.995 -174.7057
54.500000 -15.014 -174.9195
55.200001 -15.039 -175.1503
56.000000 -15.061 -175.4384
57.000000 -15.080 -175.8179
58.000000 -15.094 -176.1532
59.000000 -15.104 -176.4690
60.000000 -15.116 -176.7711
60.799999 -15.125 -177.0046
61.500000 -15.136 -177.2087
62.200001 -15.152 -177.4000
63.000000 -15.175 -177.5904
64.000000 -15.204 -177.7821
65.000000 -15.219 -177.9515
66.000000 -15.218 -178.1799
67.000000 -15.220 -178.4658
68.000000 -15.234 -178.7457
69.000000 -15.256 -178.9915
70.000000 -15.271 -179.2242
71.000000 -15.279 -179.4884
72.000000 -15.298 -179.7116
73.000000 -15.326 -179.8270
74.000000 -15.349 -179.9277
75.000000 -15.365 179.9039
76.199997 -15.377 179.6338
77.500000 -15.392 179.3511
78.800003 -15.412 179.1363
80.000000 -15.428 178.9579
81.199997 -15.436 178.7707
82.500000 -15.449 178.5790
83.800003 -15.469 178.4239
85.000000 -15.491 178.2834
86.199997 -15.510 178.1208
87.500000 -15.535 177.8759
88.500000 -15.562 177.6920
90.000000 -15.594 177.4609
91.199997 -15.609 177.2869
92.500000 -15.621 177.1013
93.800003 -15.640 176.9001
95.000000 -15.660 176.7438
96.199997 -15.676 176.6158
97.500000 -15.695 176.4839
98.800003 -15.719 176.3631
100.000000 -15.738 176.2285
101.500000 -15.761 175.9970
103.000000 -15.786 175.8053
104.400002 -15.805 175.6929
106.000000 -15.831 175.5446
107.500000 -15.858 175.3788
109.000000 -15.875 175.2432
110.599998 -15.895 175.1819
112.000000 -15.928 175.1081
113.800003 -15.966 174.9172
115.000000 -15.979 174.8021
117.199997 -15.986 174.5428
118.000000 -15.974 174.3704
120.599998 -15.964 173.9967
122.000000 -16.024 174.1870
124.099998 -16.103 174.2702
125.000000 -16.123 174.2208
126.500000 -16.154 174.1578
128.000000 -16.184 174.0905
131.500000 -16.239 173.8770
132.000000 -16.246 173.8635
134.000000 -16.273 173.8329
136.000000 -16.290 173.7854
138.000000 -16.305 173.7756
140.000000 -16.339 173.7700
143.000000 -16.430 173.5846
145.000000 -16.443 173.5325
147.500000 -16.455 173.3999
150.000000 -16.488 173.1584
152.500000 -16.496 173.2670
155.000000 -16.521 173.3994
157.500000 -16.556 173.4171
160.000000 -16.586 173.3946
162.500000 -16.615 173.3814
165.000000 -16.644 173.3214
167.500000 -16.672 173.2563
170.000000 -16.690 173.3161
172.500000 -16.711 173.3058
175.000000 -16.737 173.2285
177.500000 -16.764 173.1450
180.000000 -16.791 173.1005
182.500000 -16.817 173.0893
185.000000 -16.844 173.0676
187.500000 -16.870 173.0309
190.000000 -16.898 173.0160
192.500000 -16.926 172.9883
195.000000 -16.953 172.9738
197.500000 -16.980 172.9673
200.000000 -17.005 172.9734
203.000000 -17.036 172.9475
206.000000 -17.069 172.9496
209.000000 -17.099 172.9584
212.000000 -17.126 172.9177
214.000000 -17.147 172.8885
218.000000 -17.195 172.9497
