* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-9 19:51:06
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: NICEHCK YD520 Black Tips R
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 -14.275 -149.6906
20.600000 -14.258 -149.9619
20.900000 -14.224 -150.4324
21.200001 -14.197 -150.8388
21.400000 -14.181 -151.0690
21.799999 -14.151 -151.4702
22.000000 -14.136 -151.6600
22.400000 -14.103 -152.0463
22.700001 -14.081 -152.3595
23.000000 -14.064 -152.6987
23.299999 -14.052 -153.0568
23.600000 -14.047 -153.4264
24.000000 -14.047 -153.9238
24.299999 -14.050 -154.2908
24.700001 -14.055 -154.7689
25.000000 -14.056 -155.1235
25.400000 -14.055 -155.5939
25.799999 -14.049 -156.0513
26.200001 -14.037 -156.4866
26.500000 -14.024 -156.8047
26.900000 -14.001 -157.2351
27.200001 -13.984 -157.5722
27.600000 -13.965 -158.0368
28.000000 -13.955 -158.4906
28.500000 -13.949 -158.9983
29.000000 -13.942 -159.4460
29.500000 -13.929 -159.8911
30.000000 -13.914 -160.3699
30.400000 -13.905 -160.7590
30.700001 -13.900 -161.0365
31.100000 -13.895 -161.3752
31.500000 -13.889 -161.6855
32.000000 -13.880 -162.0640
32.500000 -13.875 -162.4530
33.000000 -13.877 -162.8401
33.500000 -13.884 -163.2084
34.000000 -13.888 -163.5656
34.500000 -13.889 -163.9340
35.000000 -13.888 -164.3205
35.500000 -13.886 -164.7097
36.000000 -13.885 -165.0801
36.500000 -13.884 -165.4189
37.000000 -13.881 -165.7281
37.500000 -13.876 -166.0246
38.200001 -13.870 -166.4632
38.700001 -13.870 -166.8000
39.500000 -13.881 -167.3019
40.000000 -13.884 -167.5688
40.599998 -13.877 -167.8933
41.200001 -13.867 -168.2769
41.799999 -13.868 -168.6723
42.500000 -13.878 -169.0401
43.099998 -13.882 -169.2951
43.700001 -13.879 -169.5796
44.400002 -13.877 -169.9563
45.000000 -13.874 -170.2691
45.500000 -13.870 -170.5179
46.200001 -13.866 -170.8483
46.799999 -13.873 -171.0825
47.500000 -13.890 -171.3212
48.200001 -13.925 -171.6245
48.700001 -13.964 -171.8572
49.400002 -14.022 -172.0679
50.000000 -14.035 -172.1579
50.799999 -13.992 -172.4268
51.500000 -13.948 -172.8568
52.200001 -13.932 -173.2434
53.000000 -13.938 -173.5171
53.799999 -13.959 -173.7586
54.500000 -13.983 -174.0068
55.200001 -14.001 -174.2778
56.000000 -14.007 -174.6175
57.000000 -14.007 -175.0381
58.000000 -14.012 -175.3860
59.000000 -14.025 -175.7380
60.000000 -14.052 -176.0886
60.799999 -14.075 -176.3040
61.500000 -14.092 -176.4671
62.200001 -14.109 -176.6249
63.000000 -14.128 -176.7965
64.000000 -14.145 -177.0378
65.000000 -14.161 -177.2964
66.000000 -14.171 -177.5292
67.000000 -14.180 -177.8134
68.000000 -14.198 -178.1231
69.000000 -14.213 -178.3958
70.000000 -14.223 -178.6415
71.000000 -14.230 -178.8457
72.000000 -14.238 -179.0334
73.000000 -14.257 -179.2410
74.000000 -14.286 -179.4407
75.000000 -14.313 -179.6231
76.199997 -14.331 -179.8466
77.500000 -14.341 179.8703
78.800003 -14.361 179.5677
80.000000 -14.384 179.3099
81.199997 -14.404 179.1010
82.500000 -14.424 178.9556
83.800003 -14.446 178.8258
85.000000 -14.471 178.6498
86.199997 -14.494 178.4474
87.500000 -14.514 178.2562
88.500000 -14.530 178.1671
90.000000 -14.549 178.0332
91.199997 -14.563 177.8699
92.500000 -14.576 177.6587
93.800003 -14.598 177.4583
95.000000 -14.629 177.3468
96.199997 -14.649 177.2649
97.500000 -14.651 177.0722
98.800003 -14.657 176.8600
100.000000 -14.668 176.7178
101.500000 -14.689 176.5397
103.000000 -14.714 176.3563
104.400002 -14.738 176.1802
106.000000 -14.771 175.9768
107.500000 -14.796 175.8167
109.000000 -14.810 175.7017
110.599998 -14.832 175.6118
112.000000 -14.860 175.4900
113.800003 -14.890 175.2818
115.000000 -14.903 175.1811
117.199997 -14.921 175.1175
118.000000 -14.928 175.1238
120.599998 -14.960 175.0689
122.000000 -14.996 174.8526
124.099998 -15.041 174.5524
125.000000 -15.052 174.4909
126.500000 -15.073 174.4447
128.000000 -15.098 174.4174
131.500000 -15.150 174.2152
132.000000 -15.158 174.1864
134.000000 -15.186 174.1061
136.000000 -15.210 174.0635
138.000000 -15.232 174.0519
140.000000 -15.256 174.0282
143.000000 -15.306 173.9063
145.000000 -15.333 173.8034
147.500000 -15.371 173.7272
150.000000 -15.412 173.5913
152.500000 -15.423 173.6386
155.000000 -15.441 173.6212
157.500000 -15.466 173.5779
160.000000 -15.493 173.6110
162.500000 -15.517 173.5844
165.000000 -15.547 173.4723
167.500000 -15.581 173.3274
170.000000 -15.604 173.3395
172.500000 -15.625 173.3823
175.000000 -15.650 173.3982
177.500000 -15.671 173.3853
180.000000 -15.691 173.3369
182.500000 -15.712 173.3028
185.000000 -15.734 173.2748
187.500000 -15.758 173.2371
190.000000 -15.781 173.2255
192.500000 -15.804 173.2068
195.000000 -15.828 173.1727
197.500000 -15.850 173.1453
200.000000 -15.864 173.0989
203.000000 -15.885 173.0446
206.000000 -15.913 173.0315
209.000000 -15.941 172.9720
212.000000 -15.973 172.8934
214.000000 -15.997 172.8564
218.000000 -16.037 172.8869
