* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-9 21:53:30
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: NiceHCK YD520 White Tips L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 -12.138 -153.3131
20.600000 -12.124 -153.5342
20.900000 -12.095 -153.9246
21.200001 -12.071 -154.2831
21.400000 -12.057 -154.5051
21.799999 -12.035 -154.9361
22.000000 -12.026 -155.1536
22.400000 -12.013 -155.5924
22.700001 -12.007 -155.9195
23.000000 -12.003 -156.2403
23.299999 -12.000 -156.5593
23.600000 -11.995 -156.8895
24.000000 -11.989 -157.3670
24.299999 -11.986 -157.7567
24.700001 -11.988 -158.3028
25.000000 -11.994 -158.7120
25.400000 -12.005 -159.2289
25.799999 -12.014 -159.6933
26.200001 -12.016 -160.1176
26.500000 -12.013 -160.4327
26.900000 -12.004 -160.8722
27.200001 -11.998 -161.2160
27.600000 -11.996 -161.6697
28.000000 -11.998 -162.0826
28.500000 -11.998 -162.5330
29.000000 -11.988 -162.9807
29.500000 -11.973 -163.4929
30.000000 -11.963 -164.0446
30.400000 -11.959 -164.4587
30.700001 -11.956 -164.7372
31.100000 -11.949 -165.0791
31.500000 -11.939 -165.4170
32.000000 -11.931 -165.8597
32.500000 -11.938 -166.2909
33.000000 -11.956 -166.6529
33.500000 -11.972 -166.9534
34.000000 -11.980 -167.2673
34.500000 -11.983 -167.6466
35.000000 -11.988 -168.0656
35.500000 -11.994 -168.4640
36.000000 -11.997 -168.8201
36.500000 -11.994 -169.1571
37.000000 -11.992 -169.4959
37.500000 -11.994 -169.8284
38.200001 -12.001 -170.2663
38.700001 -12.005 -170.5795
39.500000 -12.009 -171.1134
40.000000 -12.012 -171.4382
40.599998 -12.014 -171.7883
41.200001 -12.013 -172.1083
41.799999 -12.015 -172.4235
42.500000 -12.026 -172.7906
43.099998 -12.042 -173.0997
43.700001 -12.060 -173.4007
44.400002 -12.076 -173.7310
45.000000 -12.079 -174.0017
45.500000 -12.076 -174.2375
46.200001 -12.075 -174.5855
46.799999 -12.086 -174.8641
47.500000 -12.104 -175.1571
48.200001 -12.124 -175.5020
48.700001 -12.140 -175.8082
49.400002 -12.167 -176.2458
50.000000 -12.186 -176.5372
50.799999 -12.189 -176.7944
51.500000 -12.177 -176.9874
52.200001 -12.172 -177.2063
53.000000 -12.186 -177.4792
53.799999 -12.211 -177.7579
54.500000 -12.228 -178.0247
55.200001 -12.239 -178.3282
56.000000 -12.250 -178.6767
57.000000 -12.266 -179.0443
58.000000 -12.283 -179.4029
59.000000 -12.307 -179.7744
60.000000 -12.333 179.9139
60.799999 -12.351 179.6973
61.500000 -12.367 179.5031
62.200001 -12.384 179.2893
63.000000 -12.402 179.0153
64.000000 -12.423 178.6618
65.000000 -12.443 178.3946
66.000000 -12.459 178.2294
67.000000 -12.469 178.0252
68.000000 -12.488 177.7162
69.000000 -12.512 177.3986
70.000000 -12.530 177.1143
71.000000 -12.546 176.8440
72.000000 -12.568 176.6059
73.000000 -12.594 176.4044
74.000000 -12.619 176.2114
75.000000 -12.642 176.0044
76.199997 -12.663 175.7128
77.500000 -12.689 175.3839
78.800003 -12.713 175.1118
80.000000 -12.733 174.8616
81.199997 -12.756 174.6430
82.500000 -12.781 174.4417
83.800003 -12.806 174.2384
85.000000 -12.825 173.9930
86.199997 -12.845 173.7184
87.500000 -12.873 173.4599
88.500000 -12.897 173.3074
90.000000 -12.929 173.0627
91.199997 -12.952 172.8154
92.500000 -12.979 172.5674
93.800003 -13.002 172.3641
95.000000 -13.025 172.2068
96.199997 -13.051 172.0784
97.500000 -13.078 171.9240
98.800003 -13.104 171.7338
100.000000 -13.126 171.5394
101.500000 -13.155 171.2961
103.000000 -13.186 171.0998
104.400002 -13.212 170.9385
106.000000 -13.250 170.7539
107.500000 -13.285 170.5794
109.000000 -13.311 170.3968
110.599998 -13.336 170.2147
112.000000 -13.367 170.0430
113.800003 -13.412 169.8122
115.000000 -13.436 169.6788
117.199997 -13.468 169.5262
118.000000 -13.480 169.5099
120.599998 -13.528 169.4257
122.000000 -13.563 169.2344
124.099998 -13.613 168.9528
125.000000 -13.632 168.8761
126.500000 -13.660 168.7793
128.000000 -13.688 168.6790
131.500000 -13.750 168.3941
132.000000 -13.759 168.3538
134.000000 -13.799 168.2245
136.000000 -13.835 168.1171
138.000000 -13.869 168.0361
140.000000 -13.902 167.9731
143.000000 -13.968 167.7948
145.000000 -14.009 167.6816
147.500000 -14.037 167.5498
150.000000 -14.064 167.3772
152.500000 -14.115 167.3424
155.000000 -14.170 167.2877
157.500000 -14.213 167.2270
160.000000 -14.253 167.1829
162.500000 -14.290 167.1125
165.000000 -14.324 167.0266
167.500000 -14.361 166.9297
170.000000 -14.402 166.8188
172.500000 -14.449 166.7522
175.000000 -14.494 166.6944
177.500000 -14.535 166.6238
180.000000 -14.577 166.5779
182.500000 -14.619 166.5709
185.000000 -14.660 166.5712
187.500000 -14.695 166.5867
190.000000 -14.719 166.5870
192.500000 -14.744 166.5605
195.000000 -14.782 166.5598
197.500000 -14.818 166.5701
200.000000 -14.844 166.5554
203.000000 -14.877 166.4788
206.000000 -14.914 166.3843
209.000000 -14.954 166.3196
212.000000 -14.989 166.2800
214.000000 -15.009 166.2421
218.000000 -15.056 166.1652
220.000000 -15.086 166.1559
