* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-9 21:50:32
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: NiceHCK YD520 White Tips R
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 -12.272 -150.5996
20.600000 -12.251 -150.8323
20.900000 -12.209 -151.2445
21.200001 -12.174 -151.6243
21.400000 -12.156 -151.8529
21.799999 -12.128 -152.2699
22.000000 -12.116 -152.4671
22.400000 -12.095 -152.8532
22.700001 -12.081 -153.1532
23.000000 -12.069 -153.4774
23.299999 -12.060 -153.8317
23.600000 -12.055 -154.2166
24.000000 -12.054 -154.7648
24.299999 -12.058 -155.1817
24.700001 -12.066 -155.7203
25.000000 -12.071 -156.1040
25.400000 -12.072 -156.5883
25.799999 -12.067 -157.0439
26.200001 -12.055 -157.4781
26.500000 -12.042 -157.7997
26.900000 -12.022 -158.2353
27.200001 -12.008 -158.5699
27.600000 -11.996 -159.0163
28.000000 -11.991 -159.4382
28.500000 -11.991 -159.9055
29.000000 -11.988 -160.3348
29.500000 -11.978 -160.7885
30.000000 -11.967 -161.2902
30.400000 -11.961 -161.6962
30.700001 -11.957 -161.9814
31.100000 -11.951 -162.3233
31.500000 -11.942 -162.6320
32.000000 -11.927 -163.0100
32.500000 -11.915 -163.4040
33.000000 -11.914 -163.7961
33.500000 -11.919 -164.1646
34.000000 -11.923 -164.5258
34.500000 -11.924 -164.9159
35.000000 -11.924 -165.3398
35.500000 -11.927 -165.7630
36.000000 -11.930 -166.1511
36.500000 -11.930 -166.5018
37.000000 -11.929 -166.8327
37.500000 -11.927 -167.1521
38.200001 -11.926 -167.5800
38.700001 -11.925 -167.8827
39.500000 -11.923 -168.3805
40.000000 -11.924 -168.6777
40.599998 -11.926 -168.9970
41.200001 -11.925 -169.2985
41.799999 -11.924 -169.6219
42.500000 -11.929 -170.0302
43.099998 -11.937 -170.3676
43.700001 -11.944 -170.6694
44.400002 -11.947 -170.9908
45.000000 -11.945 -171.2655
45.500000 -11.944 -171.5038
46.200001 -11.947 -171.8542
46.799999 -11.953 -172.1670
47.500000 -11.963 -172.5133
48.200001 -11.969 -172.7863
48.700001 -11.965 -172.9468
49.400002 -11.949 -173.2140
50.000000 -11.943 -173.5250
50.799999 -11.964 -173.9420
51.500000 -11.994 -174.2017
52.200001 -12.015 -174.4293
53.000000 -12.031 -174.7509
53.799999 -12.052 -175.0757
54.500000 -12.066 -175.3213
55.200001 -12.075 -175.5768
56.000000 -12.084 -175.9096
57.000000 -12.095 -176.3333
58.000000 -12.102 -176.7278
59.000000 -12.113 -177.0729
60.000000 -12.133 -177.3420
60.799999 -12.151 -177.5412
61.500000 -12.168 -177.7419
62.200001 -12.186 -177.9648
63.000000 -12.204 -178.2232
64.000000 -12.219 -178.5383
65.000000 -12.233 -178.8135
66.000000 -12.244 -179.0402
67.000000 -12.253 -179.2813
68.000000 -12.268 -179.5570
69.000000 -12.288 -179.8480
70.000000 -12.310 179.8765
71.000000 -12.327 179.6193
72.000000 -12.344 179.3715
73.000000 -12.366 179.1743
74.000000 -12.387 179.0077
75.000000 -12.405 178.8030
76.199997 -12.424 178.5227
77.500000 -12.439 178.2370
78.800003 -12.456 177.9644
80.000000 -12.474 177.7230
81.199997 -12.488 177.4936
82.500000 -12.505 177.2933
83.800003 -12.528 177.1370
85.000000 -12.548 176.9361
86.199997 -12.568 176.6823
87.500000 -12.590 176.4321
88.500000 -12.607 176.2785
90.000000 -12.634 176.0327
91.199997 -12.657 175.7944
92.500000 -12.681 175.5521
93.800003 -12.706 175.3573
95.000000 -12.729 175.2052
96.199997 -12.752 175.0447
97.500000 -12.775 174.8738
98.800003 -12.795 174.7204
100.000000 -12.811 174.5793
101.500000 -12.828 174.3748
103.000000 -12.852 174.1245
104.400002 -12.883 173.9447
106.000000 -12.919 173.8054
107.500000 -12.947 173.6674
109.000000 -12.967 173.5110
110.599998 -12.988 173.3674
112.000000 -13.014 173.2310
113.800003 -13.055 173.0261
115.000000 -13.075 172.9131
117.199997 -13.100 172.7258
118.000000 -13.108 172.6368
120.599998 -13.149 172.3747
122.000000 -13.180 172.3167
124.099998 -13.220 172.2068
125.000000 -13.235 172.1489
126.500000 -13.261 172.0504
128.000000 -13.289 171.9462
131.500000 -13.356 171.7173
132.000000 -13.365 171.6850
134.000000 -13.395 171.5663
136.000000 -13.423 171.4616
138.000000 -13.454 171.3772
140.000000 -13.483 171.3099
143.000000 -13.536 171.0692
145.000000 -13.566 170.9981
147.500000 -13.598 171.0852
150.000000 -13.634 171.1401
152.500000 -13.664 170.9800
155.000000 -13.696 170.8097
157.500000 -13.735 170.7233
160.000000 -13.770 170.6700
162.500000 -13.799 170.6046
165.000000 -13.838 170.3214
167.500000 -13.893 169.8366
170.000000 -13.928 169.9711
172.500000 -13.958 170.2923
175.000000 -13.994 170.4009
177.500000 -14.033 170.4102
180.000000 -14.060 170.3897
182.500000 -14.075 170.3884
185.000000 -14.091 170.3495
187.500000 -14.113 170.3015
190.000000 -14.134 170.2873
192.500000 -14.157 170.2634
195.000000 -14.188 170.2622
197.500000 -14.214 170.2601
200.000000 -14.234 170.2010
203.000000 -14.263 170.0823
206.000000 -14.297 170.0062
209.000000 -14.326 169.9724
212.000000 -14.353 169.9504
214.000000 -14.374 169.9380
218.000000 -14.418 169.9153
