* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-9 19:49:00
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: NICEHCK YD520 White Tips L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 -14.817 -152.0799
20.600000 -14.804 -152.2956
20.900000 -14.778 -152.6759
21.200001 -14.759 -153.0246
21.400000 -14.749 -153.2408
21.799999 -14.735 -153.6606
22.000000 -14.729 -153.8726
22.400000 -14.721 -154.2993
22.700001 -14.717 -154.6176
23.000000 -14.713 -154.9325
23.299999 -14.706 -155.2507
23.600000 -14.697 -155.5852
24.000000 -14.682 -156.0727
24.299999 -14.674 -156.4677
24.700001 -14.669 -157.0112
25.000000 -14.671 -157.4080
25.400000 -14.679 -157.8919
25.799999 -14.688 -158.3027
26.200001 -14.690 -158.6538
26.500000 -14.685 -158.9067
26.900000 -14.671 -159.2684
27.200001 -14.659 -159.5715
27.600000 -14.648 -160.0080
28.000000 -14.642 -160.4437
28.500000 -14.639 -160.9432
29.000000 -14.630 -161.4147
29.500000 -14.613 -161.9193
30.000000 -14.599 -162.4649
30.400000 -14.594 -162.8857
30.700001 -14.593 -163.1666
31.100000 -14.591 -163.4858
31.500000 -14.586 -163.7590
32.000000 -14.579 -164.0788
32.500000 -14.577 -164.3945
33.000000 -14.583 -164.6904
33.500000 -14.592 -164.9673
34.000000 -14.597 -165.2686
34.500000 -14.602 -165.6291
35.000000 -14.611 -166.0266
35.500000 -14.620 -166.4074
36.000000 -14.624 -166.7514
36.500000 -14.620 -167.0810
37.000000 -14.615 -167.4130
37.500000 -14.614 -167.7276
38.200001 -14.617 -168.0998
38.700001 -14.619 -168.3396
39.500000 -14.623 -168.7562
40.000000 -14.628 -169.0307
40.599998 -14.634 -169.3580
41.200001 -14.635 -169.6977
41.799999 -14.635 -170.0528
42.500000 -14.638 -170.4378
43.099998 -14.643 -170.7023
43.700001 -14.646 -170.9143
44.400002 -14.645 -171.1560
45.000000 -14.642 -171.4222
45.500000 -14.643 -171.6971
46.200001 -14.650 -172.1062
46.799999 -14.657 -172.4236
47.500000 -14.662 -172.7361
48.200001 -14.675 -172.9279
48.700001 -14.685 -172.9472
49.400002 -14.680 -172.9080
50.000000 -14.661 -173.0341
50.799999 -14.656 -173.5458
51.500000 -14.684 -174.0422
52.200001 -14.712 -174.3834
53.000000 -14.718 -174.6900
53.799999 -14.722 -174.9953
54.500000 -14.733 -175.2199
55.200001 -14.749 -175.4375
56.000000 -14.772 -175.7210
57.000000 -14.801 -176.0298
58.000000 -14.804 -176.3181
59.000000 -14.806 -176.6802
60.000000 -14.825 -176.9565
60.799999 -14.839 -177.1292
61.500000 -14.854 -177.3212
62.200001 -14.877 -177.5294
63.000000 -14.908 -177.7227
64.000000 -14.931 -177.9245
65.000000 -14.939 -178.1538
66.000000 -14.939 -178.4098
67.000000 -14.943 -178.7123
68.000000 -14.958 -179.0112
69.000000 -14.976 -179.2602
70.000000 -14.991 -179.4804
71.000000 -15.004 -179.6602
72.000000 -15.014 -179.8547
73.000000 -15.032 179.9262
74.000000 -15.057 179.7585
75.000000 -15.076 179.6278
76.199997 -15.088 179.4532
77.500000 -15.096 179.1956
78.800003 -15.116 178.9148
80.000000 -15.138 178.7399
81.199997 -15.152 178.5769
82.500000 -15.169 178.3650
83.800003 -15.187 178.2012
85.000000 -15.199 178.0287
86.199997 -15.222 177.8329
87.500000 -15.255 177.6628
88.500000 -15.277 177.5326
90.000000 -15.301 177.2996
91.199997 -15.317 177.0898
92.500000 -15.334 176.8671
93.800003 -15.351 176.6990
95.000000 -15.363 176.5956
96.199997 -15.376 176.4821
97.500000 -15.398 176.3161
98.800003 -15.423 176.1355
100.000000 -15.446 175.9972
101.500000 -15.471 175.8459
103.000000 -15.491 175.6505
104.400002 -15.508 175.4714
106.000000 -15.529 175.3352
107.500000 -15.554 175.1971
109.000000 -15.579 175.0519
110.599998 -15.604 174.9965
112.000000 -15.635 174.9747
113.800003 -15.676 174.8448
115.000000 -15.694 174.7221
117.199997 -15.722 174.4630
118.000000 -15.739 174.3004
120.599998 -15.796 173.9434
122.000000 -15.803 174.0397
124.099998 -15.830 174.1001
125.000000 -15.846 174.0733
126.500000 -15.865 174.0248
128.000000 -15.881 173.9886
131.500000 -15.926 173.7504
132.000000 -15.933 173.7147
134.000000 -15.968 173.6500
136.000000 -15.999 173.6663
138.000000 -16.020 173.6945
140.000000 -16.044 173.6610
143.000000 -16.106 173.7811
145.000000 -16.132 173.7640
147.500000 -16.138 173.4373
150.000000 -16.138 173.2557
152.500000 -16.179 173.3190
155.000000 -16.227 173.3550
157.500000 -16.255 173.3542
160.000000 -16.281 173.3606
162.500000 -16.309 173.3743
165.000000 -16.322 173.4209
167.500000 -16.327 173.4861
170.000000 -16.366 173.4314
172.500000 -16.413 173.3737
175.000000 -16.445 173.3182
177.500000 -16.469 173.2358
180.000000 -16.485 173.1674
182.500000 -16.502 173.1042
185.000000 -16.524 173.0675
187.500000 -16.545 173.1156
190.000000 -16.562 173.2107
192.500000 -16.574 173.2281
195.000000 -16.590 173.1718
197.500000 -16.616 173.0921
200.000000 -16.642 173.0183
203.000000 -16.676 172.9898
206.000000 -16.707 173.0147
209.000000 -16.734 173.0319
212.000000 -16.756 173.0308
214.000000 -16.768 173.0472
218.000000 -16.798 173.1266
