* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-9 19:47:10
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: NICEHCK YD520 White Tips R
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 -14.141 -149.5797
20.600000 -14.117 -149.8193
20.900000 -14.070 -150.2475
21.200001 -14.031 -150.6529
21.400000 -14.011 -150.9035
21.799999 -13.981 -151.3680
22.000000 -13.970 -151.5842
22.400000 -13.952 -151.9823
22.700001 -13.941 -152.2595
23.000000 -13.929 -152.5341
23.299999 -13.916 -152.8256
23.600000 -13.903 -153.1509
24.000000 -13.887 -153.6486
24.299999 -13.880 -154.0576
24.700001 -13.878 -154.6161
25.000000 -13.880 -155.0205
25.400000 -13.883 -155.5184
25.799999 -13.880 -155.9628
26.200001 -13.870 -156.3720
26.500000 -13.857 -156.6763
26.900000 -13.837 -157.0979
27.200001 -13.823 -157.4268
27.600000 -13.810 -157.8657
28.000000 -13.803 -158.2782
28.500000 -13.796 -158.7473
29.000000 -13.785 -159.2164
29.500000 -13.771 -159.7411
30.000000 -13.764 -160.3053
30.400000 -13.763 -160.7328
30.700001 -13.765 -161.0166
31.100000 -13.764 -161.3417
31.500000 -13.758 -161.6241
32.000000 -13.745 -161.9573
32.500000 -13.731 -162.2922
33.000000 -13.722 -162.6279
33.500000 -13.715 -162.9696
34.000000 -13.710 -163.3400
34.500000 -13.709 -163.7484
35.000000 -13.713 -164.1732
35.500000 -13.721 -164.5788
36.000000 -13.727 -164.9481
36.500000 -13.729 -165.2849
37.000000 -13.726 -165.5995
37.500000 -13.719 -165.9010
38.200001 -13.706 -166.3285
38.700001 -13.698 -166.6554
39.500000 -13.696 -167.1861
40.000000 -13.701 -167.4850
40.599998 -13.704 -167.8071
41.200001 -13.701 -168.1282
41.799999 -13.696 -168.4720
42.500000 -13.694 -168.8770
43.099998 -13.697 -169.1889
43.700001 -13.702 -169.4531
44.400002 -13.708 -169.7224
45.000000 -13.710 -169.9565
45.500000 -13.713 -170.1682
46.200001 -13.715 -170.4873
46.799999 -13.717 -170.7831
47.500000 -13.723 -171.1438
48.200001 -13.741 -171.4317
48.700001 -13.751 -171.5508
49.400002 -13.750 -171.6805
50.000000 -13.739 -171.8934
50.799999 -13.742 -172.3184
51.500000 -13.762 -172.6440
52.200001 -13.777 -172.8957
53.000000 -13.786 -173.2027
53.799999 -13.801 -173.5061
54.500000 -13.812 -173.7333
55.200001 -13.815 -173.9882
56.000000 -13.819 -174.3475
57.000000 -13.833 -174.7923
58.000000 -13.847 -175.1763
59.000000 -13.864 -175.5187
60.000000 -13.886 -175.7838
60.799999 -13.901 -175.9672
61.500000 -13.912 -176.1427
62.200001 -13.923 -176.3234
63.000000 -13.934 -176.5257
64.000000 -13.945 -176.7977
65.000000 -13.961 -177.0673
66.000000 -13.977 -177.3181
67.000000 -13.991 -177.5882
68.000000 -14.005 -177.8547
69.000000 -14.017 -178.0970
70.000000 -14.029 -178.3302
71.000000 -14.042 -178.5605
72.000000 -14.057 -178.7935
73.000000 -14.078 -179.0071
74.000000 -14.102 -179.1678
75.000000 -14.118 -179.3266
76.199997 -14.134 -179.5760
77.500000 -14.152 -179.8343
78.800003 -14.169 179.9314
80.000000 -14.185 179.7289
81.199997 -14.200 179.5595
82.500000 -14.217 179.3883
83.800003 -14.235 179.1847
85.000000 -14.252 178.9602
86.199997 -14.269 178.7403
87.500000 -14.289 178.5473
88.500000 -14.307 178.4077
90.000000 -14.336 178.1767
91.199997 -14.353 177.9874
92.500000 -14.366 177.7962
93.800003 -14.384 177.6196
95.000000 -14.404 177.4985
96.199997 -14.420 177.3839
97.500000 -14.437 177.2244
98.800003 -14.457 177.0468
100.000000 -14.476 176.8748
101.500000 -14.497 176.6906
103.000000 -14.516 176.5609
104.400002 -14.536 176.4522
106.000000 -14.564 176.2867
107.500000 -14.591 176.1215
109.000000 -14.611 175.9976
110.599998 -14.634 175.9233
112.000000 -14.661 175.8368
113.800003 -14.696 175.6368
115.000000 -14.712 175.5210
117.199997 -14.735 175.4345
118.000000 -14.751 175.4347
120.599998 -14.808 175.3798
122.000000 -14.818 175.2059
124.099998 -14.839 174.9989
125.000000 -14.851 174.9637
126.500000 -14.873 174.9154
128.000000 -14.894 174.8557
131.500000 -14.940 174.6776
132.000000 -14.947 174.6451
134.000000 -14.976 174.5259
136.000000 -15.000 174.4441
138.000000 -15.024 174.3988
140.000000 -15.047 174.3749
143.000000 -15.096 174.2985
145.000000 -15.127 174.2155
147.500000 -15.154 174.1156
150.000000 -15.177 173.9746
152.500000 -15.206 173.9885
155.000000 -15.242 174.0356
157.500000 -15.272 174.0478
160.000000 -15.291 174.0224
162.500000 -15.309 174.0170
165.000000 -15.334 174.0125
167.500000 -15.357 173.9730
170.000000 -15.379 173.9245
172.500000 -15.408 173.9212
175.000000 -15.433 173.9156
177.500000 -15.456 173.8503
180.000000 -15.480 173.7914
182.500000 -15.499 173.7982
185.000000 -15.518 173.7989
187.500000 -15.539 173.7708
190.000000 -15.559 173.7749
192.500000 -15.577 173.7773
195.000000 -15.596 173.7682
197.500000 -15.614 173.7571
200.000000 -15.629 173.7490
203.000000 -15.653 173.7216
206.000000 -15.681 173.7238
209.000000 -15.705 173.7391
212.000000 -15.723 173.7143
214.000000 -15.736 173.6924
218.000000 -15.767 173.6621
