* REW测量的测量数据V5.20.13
* 来源: EXCL: 楹鍏椋 (Realtek High Definition Audio), no input selected, L, volume: no control. 时间信号峰值电平-7.8 dBFS, 测量信号峰值电平 -7.8 dBFS
* 格式: 256k 对数扫频正弦, 1 扫频 at -12.0 dBFS using an acoustic timing reference
* 日期: 2025-3-19 21:45:36
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Delay -0.0238 ms (-8.2 mm, -0.32 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset 时钟调整: 39.4 ppm
* 测量: Tanchjim Bunny Analog L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.000 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.000000 78.263 -138.2452
20.299999 78.298 -138.8127
20.600000 78.331 -139.3546
20.900000 78.362 -139.8810
21.200001 78.387 -140.3943
21.400000 78.401 -140.7248
21.799999 78.423 -141.3570
22.000000 78.432 -141.6615
22.400000 78.449 -142.2607
22.700001 78.460 -142.7120
23.000000 78.470 -143.1706
23.299999 78.480 -143.6412
23.600000 78.490 -144.1286
24.000000 78.500 -144.8043
24.299999 78.506 -145.3211
24.700001 78.513 -146.0087
25.000000 78.518 -146.5188
25.400000 78.525 -147.1927
25.799999 78.535 -147.8629
26.200001 78.546 -148.5325
26.500000 78.553 -149.0337
26.900000 78.560 -149.6917
27.200001 78.563 -150.1640
27.600000 78.564 -150.7453
28.000000 78.566 -151.2571
28.500000 78.578 -151.8193
29.000000 78.601 -152.3692
29.500000 78.629 -152.9753
30.000000 78.651 -153.6459
30.400000 78.658 -154.1930
30.700001 78.656 -154.5850
31.100000 78.648 -155.0571
31.500000 78.637 -155.4604
32.000000 78.630 -155.8861
32.500000 78.635 -156.2823
33.000000 78.649 -156.7137
33.500000 78.666 -157.2052
34.000000 78.679 -157.7433
34.500000 78.687 -158.3030
35.000000 78.687 -158.8660
35.500000 78.677 -159.4037
36.000000 78.661 -159.8714
36.500000 78.647 -160.2416
37.000000 78.643 -160.5473
37.500000 78.652 -160.8652
38.200001 78.669 -161.4204
38.700001 78.671 -161.8591
39.500000 78.659 -162.4771
40.000000 78.655 -162.8034
40.599998 78.655 -163.1902
41.200001 78.657 -163.6061
41.799999 78.657 -164.0334
42.500000 78.654 -164.5096
43.099998 78.655 -164.9034
43.700001 78.661 -165.3209
44.400002 78.664 -165.8622
45.000000 78.659 -166.3417
45.500000 78.648 -166.7151
46.200001 78.630 -167.1757
46.799999 78.616 -167.5192
47.500000 78.604 -167.8739
48.200001 78.600 -168.2146
48.700001 78.600 -168.4781
49.400002 78.597 -168.8715
50.000000 78.590 -169.1879
50.799999 78.585 -169.5753
51.500000 78.584 -169.9477
52.200001 78.574 -170.3341
53.000000 78.558 -170.6911
53.799999 78.554 -170.9933
54.500000 78.557 -171.3162
55.200001 78.555 -171.7016
56.000000 78.537 -172.1440
57.000000 78.500 -172.5873
58.000000 78.473 -172.9034
59.000000 78.463 -173.2738
60.000000 78.445 -173.7285
60.799999 78.425 -174.0470
61.500000 78.414 -174.2952
62.200001 78.409 -174.5597
63.000000 78.405 -174.8994
64.000000 78.394 -175.3277
65.000000 78.381 -175.6873
66.000000 78.374 -176.0027
67.000000 78.369 -176.3388
68.000000 78.356 -176.7074
69.000000 78.328 -177.0507
70.000000 78.296 -177.3047
71.000000 78.276 -177.5460
72.000000 78.259 -177.8585
73.000000 78.237 -178.2017
74.000000 78.213 -178.4878
75.000000 78.202 -178.7270
76.199997 78.198 -179.0813
77.500000 78.178 -179.4663
78.800003 78.151 -179.7154
80.000000 78.134 -179.9312
81.199997 78.112 179.7994
82.500000 78.086 179.4876
83.800003 78.057 179.1408
85.000000 78.030 178.8643
86.199997 78.015 178.6039
87.500000 77.998 178.2872
88.500000 77.981 178.0670
90.000000 77.954 177.7773
91.199997 77.933 177.5676
92.500000 77.912 177.3403
93.800003 77.892 177.1110
95.000000 77.875 176.8985
96.199997 77.857 176.6820
97.500000 77.832 176.4333
98.800003 77.801 176.1885
100.000000 77.770 175.9856
101.500000 77.741 175.7302
103.000000 77.714 175.4177
104.400002 77.691 175.1714
106.000000 77.671 174.9128
107.500000 77.646 174.6710
109.000000 77.611 174.4754
110.599998 77.572 174.2995
112.000000 77.542 174.1378
113.800003 77.505 173.8959
115.000000 77.480 173.7451
117.199997 77.442 173.5509
118.000000 77.433 173.4724
120.599998 77.389 173.1166
122.000000 77.356 172.9908
124.099998 77.324 172.8589
125.000000 77.313 172.7881
126.500000 77.289 172.6545
128.000000 77.259 172.5636
131.500000 77.204 172.3621
132.000000 77.195 172.3042
134.000000 77.149 172.0937
136.000000 77.109 172.0197
138.000000 77.089 171.8721
140.000000 77.053 171.6625
143.000000 76.993 171.5476
145.000000 76.956 171.4990
147.500000 76.912 171.4715
150.000000 76.873 171.3308
152.500000 76.828 171.1365
155.000000 76.795 170.9820
157.500000 76.764 170.9034
160.000000 76.733 170.9356
162.500000 76.703 170.8792
165.000000 76.661 170.7086
167.500000 76.622 170.6000
170.000000 76.593 170.5338
172.500000 76.556 170.4899
175.000000 76.516 170.4433
177.500000 76.477 170.3860
180.000000 76.443 170.3407
182.500000 76.415 170.2664
185.000000 76.390 170.1452
187.500000 76.366 170.0406
190.000000 76.340 170.0045
192.500000 76.306 170.0269
195.000000 76.267 170.0006
197.500000 76.230 169.8870
200.000000 76.203 169.7471
203.000000 76.180 169.6485
206.000000 76.153 169.6785
209.000000 76.116 169.7821
212.000000 76.076 169.8494
214.000000 76.053 169.8420
218.000000 76.018 169.8259
220.000000 76.003 169.8425
224.000000 75.962 169.8973
