* REW测量的测量数据V5.20.13
* 来源: EXCL: 楹鍏椋 (Realtek High Definition Audio), no input selected, L, volume: no control. 时间信号峰值电平-13.8 dBFS, 测量信号峰值电平 -13.8 dBFS
* 格式: 256k 对数扫频正弦, 1 扫频 at -12.0 dBFS using an acoustic timing reference
* 日期: 2025-3-19 21:46:54
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Delay 0.0210 ms (7.2 mm, 0.28 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset 时钟调整: 40.1 ppm
* 测量: Tanchjim Bunny DSP L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.000 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.000000 78.019 -156.3674
20.299999 78.024 -156.6859
20.600000 78.043 -156.9833
20.900000 78.070 -157.3178
21.200001 78.098 -157.7204
21.400000 78.111 -158.0150
21.799999 78.121 -158.6192
22.000000 78.120 -158.9058
22.400000 78.108 -159.4155
22.700001 78.098 -159.7491
23.000000 78.091 -160.0681
23.299999 78.087 -160.4052
23.600000 78.083 -160.7769
24.000000 78.071 -161.3198
24.299999 78.056 -161.7281
24.700001 78.030 -162.2264
25.000000 78.012 -162.5577
25.400000 77.998 -162.9710
25.799999 77.996 -163.4084
26.200001 78.000 -163.9144
26.500000 78.001 -164.3416
26.900000 77.996 -164.9486
27.200001 77.985 -165.4001
27.600000 77.962 -165.9565
28.000000 77.937 -166.4345
28.500000 77.912 -166.9360
29.000000 77.898 -167.4030
29.500000 77.890 -167.8975
30.000000 77.878 -168.4175
30.400000 77.861 -168.8166
30.700001 77.846 -169.0882
31.100000 77.824 -169.4041
31.500000 77.805 -169.6748
32.000000 77.790 -169.9825
32.500000 77.782 -170.3040
33.000000 77.778 -170.6787
33.500000 77.769 -171.1119
34.000000 77.748 -171.5594
34.500000 77.717 -171.9423
35.000000 77.688 -172.2161
35.500000 77.676 -172.4300
36.000000 77.684 -172.7068
36.500000 77.695 -173.1304
37.000000 77.688 -173.6542
37.500000 77.658 -174.1296
38.200001 77.607 -174.5093
38.700001 77.596 -174.6392
39.500000 77.626 -175.0202
40.000000 77.644 -175.4635
40.599998 77.638 -176.0814
41.200001 77.607 -176.6011
41.799999 77.575 -176.9645
42.500000 77.558 -177.3247
43.099998 77.549 -177.7134
43.700001 77.527 -178.1444
44.400002 77.484 -178.5236
45.000000 77.456 -178.6870
45.500000 77.450 -178.7995
46.200001 77.459 -179.0744
46.799999 77.460 -179.4262
47.500000 77.443 -179.8454
48.200001 77.416 179.8027
48.700001 77.396 179.5855
49.400002 77.372 179.2977
50.000000 77.353 179.0362
50.799999 77.325 178.6385
51.500000 77.291 178.2845
52.200001 77.252 177.9941
53.000000 77.218 177.7400
53.799999 77.202 177.4622
54.500000 77.195 177.1270
55.200001 77.183 176.7202
56.000000 77.156 176.2562
57.000000 77.116 175.7823
58.000000 77.087 175.3635
59.000000 77.060 174.8912
60.000000 77.022 174.4481
60.799999 76.993 174.1443
61.500000 76.968 173.8812
62.200001 76.939 173.6452
63.000000 76.913 173.4461
64.000000 76.900 173.1644
65.000000 76.882 172.7099
66.000000 76.837 172.2476
67.000000 76.777 171.9029
68.000000 76.720 171.7320
69.000000 76.692 171.6186
70.000000 76.681 171.3317
71.000000 76.655 170.9346
72.000000 76.614 170.5799
73.000000 76.570 170.3313
74.000000 76.541 170.1389
75.000000 76.520 169.8742
76.199997 76.484 169.4783
77.500000 76.426 169.0430
78.800003 76.357 168.7589
80.000000 76.314 168.5637
81.199997 76.280 168.2582
82.500000 76.227 167.9102
83.800003 76.171 167.6870
85.000000 76.133 167.4764
86.199997 76.091 167.2135
87.500000 76.046 166.9089
88.500000 76.006 166.6147
90.000000 75.920 166.2292
91.199997 75.842 166.0939
92.500000 75.777 166.0863
93.800003 75.730 165.9550
95.000000 75.673 165.7402
96.199997 75.612 165.6021
97.500000 75.576 165.4358
98.800003 75.543 165.0761
100.000000 75.488 164.8442
101.500000 75.440 164.7924
103.000000 75.401 164.6877
104.400002 75.352 164.5579
106.000000 75.288 164.4240
107.500000 75.239 164.2527
109.000000 75.181 164.0203
110.599998 75.105 163.9207
112.000000 75.037 163.9196
113.800003 74.938 163.9290
115.000000 74.872 163.9608
117.199997 74.793 164.0115
118.000000 74.778 163.9972
120.599998 74.722 163.9086
122.000000 74.667 163.9716
124.099998 74.571 164.0728
125.000000 74.521 164.0764
126.500000 74.439 164.1183
128.000000 74.378 164.2085
131.500000 74.289 164.4631
132.000000 74.277 164.4970
134.000000 74.212 164.5494
136.000000 74.137 164.5540
138.000000 74.076 164.5056
140.000000 74.018 164.5565
143.000000 73.940 164.8286
145.000000 73.863 164.9991
147.500000 73.779 165.2227
150.000000 73.727 165.3096
152.500000 73.668 165.4296
155.000000 73.616 165.7806
157.500000 73.575 166.1732
160.000000 73.528 166.4998
162.500000 73.466 166.8360
165.000000 73.413 167.0981
167.500000 73.367 167.2473
170.000000 73.330 167.4111
172.500000 73.294 167.6483
175.000000 73.257 167.9380
177.500000 73.215 168.2246
180.000000 73.180 168.5599
182.500000 73.151 168.8909
185.000000 73.114 169.2740
187.500000 73.080 169.6589
190.000000 73.051 169.9567
192.500000 73.036 170.2408
195.000000 73.038 170.5504
197.500000 73.038 170.8633
200.000000 73.012 171.1269
203.000000 72.973 171.3315
206.000000 72.946 171.4438
209.000000 72.917 171.7698
212.000000 72.897 172.2521
214.000000 72.893 172.5128
218.000000 72.881 172.9275
220.000000 72.871 173.1625
224.000000 72.870 173.5101
227.000000 72.874 173.7078
230.000000 72.877 173.9488
233.000000 72.887 174.2023
