* REW测量的测量数据V5.20.13
* 来源: E:\GitHub\Kara2003.github.io\data\Tanchjim Cora L.txt
* 格式: Comma/Tab/Space delimited data
* 日期: 2024-10-6 12:12:01
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Measurement imported from E:\GitHub\Kara2003.github.io\data\Tanchjim Cora L.txt Format: Comma/Tab/Space delimited data 54559 values loaded, 20 Hz to 20,000 Hz
* 测量: Tanchjim Cora L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 95.101 -156.2175
20.600000 95.100 -156.4995
20.900000 95.095 -157.0511
21.200001 95.088 -157.6873
21.400000 95.082 -158.1254
21.799999 95.068 -159.0043
22.000000 95.059 -159.4358
22.400000 95.037 -160.2856
22.700001 95.017 -160.9180
23.000000 94.995 -161.5497
23.299999 94.972 -162.1816
23.600000 94.947 -162.8141
24.000000 94.914 -163.6574
24.299999 94.888 -164.2888
24.700001 94.855 -165.1273
25.000000 94.831 -165.7524
25.400000 94.800 -166.5784
25.799999 94.771 -167.3925
26.200001 94.744 -168.1908
26.500000 94.723 -168.7773
26.900000 94.696 -169.5413
27.200001 94.676 -170.0997
27.600000 94.649 -170.8234
28.000000 94.625 -171.5230
28.500000 94.595 -172.3660
29.000000 94.566 -173.1819
29.500000 94.535 -173.9775
30.000000 94.502 -174.7548
30.400000 94.474 -175.3617
30.700001 94.453 -175.8073
31.100000 94.425 -176.3891
31.500000 94.397 -176.9589
32.000000 94.360 -177.6570
32.500000 94.322 -178.3416
33.000000 94.282 -179.0120
33.500000 94.242 -179.6669
34.000000 94.204 179.6932
34.500000 94.167 179.0665
35.000000 94.131 178.4496
35.500000 94.095 177.8395
36.000000 94.059 177.2351
36.500000 94.022 176.6381
37.000000 93.985 176.0527
37.500000 93.947 175.4837
38.200001 93.894 174.7191
38.700001 93.855 174.1938
39.500000 93.793 173.3766
40.000000 93.754 172.8739
40.599998 93.707 172.2777
41.200001 93.660 171.6925
41.799999 93.613 171.1215
42.500000 93.557 170.4740
43.099998 93.509 169.9349
43.700001 93.461 169.4120
44.400002 93.405 168.8232
45.000000 93.358 168.3336
45.500000 93.318 167.9322
46.200001 93.262 167.3768
46.799999 93.214 166.9065
47.500000 93.159 166.3668
48.200001 93.105 165.8396
48.700001 93.067 165.4717
49.400002 93.012 164.9692
50.000000 92.965 164.5490
50.799999 92.900 164.0003
51.500000 92.843 163.5284
52.200001 92.786 163.0641
53.000000 92.721 162.5453
53.799999 92.656 162.0411
54.500000 92.599 161.6106
55.200001 92.543 161.1886
56.000000 92.479 160.7184
57.000000 92.399 160.1536
58.000000 92.320 159.6120
59.000000 92.242 159.0841
60.000000 92.164 158.5645
60.799999 92.103 158.1567
61.500000 92.049 157.8086
62.200001 91.995 157.4713
63.000000 91.932 157.1015
64.000000 91.854 156.6628
65.000000 91.777 156.2455
66.000000 91.699 155.8437
67.000000 91.623 155.4546
68.000000 91.548 155.0773
69.000000 91.473 154.7084
70.000000 91.398 154.3457
71.000000 91.324 153.9917
72.000000 91.250 153.6508
73.000000 91.177 153.3240
74.000000 91.105 153.0099
75.000000 91.033 152.7055
76.199997 90.947 152.3494
77.500000 90.854 151.9738
78.800003 90.761 151.6124
80.000000 90.677 151.2932
81.199997 90.594 150.9887
82.500000 90.505 150.6759
83.800003 90.418 150.3752
85.000000 90.338 150.1031
86.199997 90.259 149.8381
87.500000 90.173 149.5656
88.500000 90.107 149.3677
90.000000 90.007 149.0879
91.199997 89.927 148.8766
92.500000 89.841 148.6591
93.800003 89.756 148.4527
95.000000 89.678 148.2705
96.199997 89.602 148.0945
97.500000 89.519 147.9113
98.800003 89.437 147.7389
100.000000 89.363 147.5920
101.500000 89.271 147.4254
103.000000 89.180 147.2749
104.400002 89.095 147.1455
106.000000 88.999 147.0056
107.500000 88.910 146.8798
109.000000 88.823 146.7610
110.599998 88.733 146.6455
112.000000 88.657 146.5574
113.800003 88.562 146.4674
115.000000 88.501 146.4248
117.199997 88.392 146.3815
118.000000 88.353 146.3711
120.599998 88.218 146.3068
122.000000 88.140 146.2419
124.099998 88.020 146.1365
125.000000 87.970 146.1006
126.500000 87.889 146.0613
128.000000 87.811 146.0459
131.500000 87.638 146.0638
132.000000 87.613 146.0695
134.000000 87.517 146.0969
136.000000 87.423 146.1324
138.000000 87.330 146.1795
140.000000 87.241 146.2419
143.000000 87.110 146.3578
145.000000 87.024 146.4391
147.500000 86.918 146.5428
150.000000 86.814 146.6577
152.500000 86.714 146.7863
155.000000 86.617 146.9242
157.500000 86.522 147.0701
160.000000 86.428 147.2241
162.500000 86.335 147.3846
165.000000 86.244 147.5468
167.500000 86.157 147.7057
170.000000 86.074 147.8620
172.500000 85.992 148.0203
175.000000 85.912 148.1825
177.500000 85.832 148.3466
180.000000 85.752 148.5112
182.500000 85.675 148.6776
185.000000 85.599 148.8473
187.500000 85.525 149.0226
190.000000 85.454 149.2074
192.500000 85.384 149.4018
195.000000 85.316 149.6013
197.500000 85.249 149.8010
200.000000 85.184 149.9998
203.000000 85.108 150.2368
206.000000 85.034 150.4725
209.000000 84.961 150.7100
212.000000 84.891 150.9532
214.000000 84.845 151.1178
218.000000 84.753 151.4441
220.000000 84.707 151.6028
224.000000 84.617 151.9149
227.000000 84.551 152.1518
230.000000 84.487 152.3947
233.000000 84.424 152.6422
236.000000 84.361 152.8910
240.000000 84.280 153.2220
243.000000 84.220 153.4712
247.000000 84.142 153.8104
250.000000 84.085 154.0718
254.000000 84.012 154.4261
258.000000 83.942 154.7801
