* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at -4.0 dBFS 没有时间参考
* 日期: 2024-10-8 13:35:04
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Tanchjim Kara T-APB Bass L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.000 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.000000 -15.356 -139.5817
20.299999 -15.270 -140.2249
20.600000 -15.190 -140.8027
20.900000 -15.116 -141.3621
21.200001 -15.051 -141.8971
21.400000 -15.014 -142.2255
21.799999 -14.950 -142.8112
22.000000 -14.921 -143.0752
22.400000 -14.866 -143.5791
22.700001 -14.829 -143.9632
23.000000 -14.796 -144.3641
23.299999 -14.768 -144.7796
23.600000 -14.742 -145.2065
24.000000 -14.711 -145.7854
24.299999 -14.689 -146.2206
24.700001 -14.659 -146.7989
25.000000 -14.637 -147.2312
25.400000 -14.607 -147.7988
25.799999 -14.579 -148.3360
26.200001 -14.549 -148.8328
26.500000 -14.524 -149.1915
26.900000 -14.486 -149.6809
27.200001 -14.458 -150.0735
27.600000 -14.424 -150.6313
28.000000 -14.398 -151.1952
28.500000 -14.372 -151.8496
29.000000 -14.338 -152.4459
29.500000 -14.294 -153.0509
30.000000 -14.247 -153.7094
30.400000 -14.218 -154.2437
30.700001 -14.202 -154.6171
31.100000 -14.185 -155.0517
31.500000 -14.167 -155.4222
32.000000 -14.138 -155.8609
32.500000 -14.106 -156.3509
33.000000 -14.083 -156.9082
33.500000 -14.071 -157.4902
34.000000 -14.064 -158.0568
34.500000 -14.057 -158.6006
35.000000 -14.048 -159.1238
35.500000 -14.037 -159.6199
36.000000 -14.022 -160.0877
36.500000 -14.005 -160.5415
37.000000 -13.989 -160.9933
37.500000 -13.977 -161.4315
38.200001 -13.963 -161.9957
38.700001 -13.949 -162.3858
39.500000 -13.924 -163.0584
40.000000 -13.914 -163.4831
40.599998 -13.906 -163.9474
41.200001 -13.897 -164.3788
41.799999 -13.890 -164.8208
42.500000 -13.891 -165.3252
43.099998 -13.893 -165.6957
43.700001 -13.884 -166.0423
44.400002 -13.862 -166.5112
45.000000 -13.845 -166.9818
45.500000 -13.838 -167.3822
46.200001 -13.839 -167.9112
46.799999 -13.846 -168.3303
47.500000 -13.856 -168.7847
48.200001 -13.861 -169.2122
48.700001 -13.858 -169.5215
49.400002 -13.848 -169.9874
50.000000 -13.841 -170.4007
50.799999 -13.839 -170.8918
51.500000 -13.839 -171.2452
52.200001 -13.837 -171.5948
53.000000 -13.841 -172.0422
53.799999 -13.856 -172.4942
54.500000 -13.868 -172.8670
55.200001 -13.877 -173.2298
56.000000 -13.881 -173.6376
57.000000 -13.879 -174.1756
58.000000 -13.884 -174.7577
59.000000 -13.901 -175.2586
60.000000 -13.912 -175.6679
60.799999 -13.918 -176.0138
61.500000 -13.928 -176.3499
62.200001 -13.946 -176.6862
63.000000 -13.968 -177.0312
64.000000 -13.986 -177.4167
65.000000 -13.995 -177.7951
66.000000 -14.003 -178.1714
67.000000 -14.014 -178.5525
68.000000 -14.028 -178.9312
69.000000 -14.042 -179.3089
70.000000 -14.055 -179.6925
71.000000 -14.068 179.9313
72.000000 -14.084 179.5583
73.000000 -14.106 179.2163
74.000000 -14.126 178.9172
75.000000 -14.140 178.5855
76.199997 -14.157 178.1369
77.500000 -14.174 177.6742
78.800003 -14.191 177.2256
80.000000 -14.214 176.8507
81.199997 -14.235 176.5420
82.500000 -14.254 176.2345
83.800003 -14.275 175.9026
85.000000 -14.299 175.5452
86.199997 -14.328 175.2096
87.500000 -14.355 174.9020
88.500000 -14.374 174.6597
90.000000 -14.406 174.2360
91.199997 -14.434 173.8647
92.500000 -14.463 173.4987
93.800003 -14.489 173.1518
95.000000 -14.516 172.8816
96.199997 -14.534 172.6479
97.500000 -14.552 172.3296
98.800003 -14.578 171.9833
100.000000 -14.601 171.6845
101.500000 -14.628 171.3580
103.000000 -14.655 171.0693
104.400002 -14.685 170.7903
106.000000 -14.728 170.4719
107.500000 -14.765 170.1846
109.000000 -14.787 169.8799
110.599998 -14.810 169.5760
112.000000 -14.841 169.3492
113.800003 -14.885 169.0461
115.000000 -14.915 168.8459
117.199997 -14.971 168.4795
118.000000 -14.995 168.3236
120.599998 -15.077 167.9910
122.000000 -15.097 167.8224
124.099998 -15.126 167.4583
125.000000 -15.143 167.3119
126.500000 -15.176 167.0944
128.000000 -15.214 166.8840
131.500000 -15.296 166.3758
132.000000 -15.307 166.3095
134.000000 -15.351 166.0781
136.000000 -15.398 165.8974
138.000000 -15.443 165.7507
140.000000 -15.482 165.5516
143.000000 -15.555 165.1888
145.000000 -15.601 164.9850
147.500000 -15.652 164.7441
150.000000 -15.700 164.5079
152.500000 -15.749 164.3380
155.000000 -15.805 164.1898
157.500000 -15.867 164.0512
160.000000 -15.925 163.9038
162.500000 -15.975 163.7331
165.000000 -16.023 163.5417
167.500000 -16.075 163.3644
170.000000 -16.127 163.2253
172.500000 -16.190 163.1256
175.000000 -16.254 162.9941
177.500000 -16.309 162.7983
180.000000 -16.357 162.6002
182.500000 -16.405 162.4861
185.000000 -16.456 162.4056
187.500000 -16.508 162.3200
190.000000 -16.561 162.2632
192.500000 -16.612 162.2029
195.000000 -16.663 162.1205
197.500000 -16.714 162.0509
200.000000 -16.761 161.9912
203.000000 -16.822 161.8983
206.000000 -16.891 161.8466
209.000000 -16.957 161.8286
212.000000 -17.020 161.8065
214.000000 -17.059 161.7755
