* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at -4.0 dBFS 没有时间参考
* 日期: 2024-10-8 13:38:09
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Tanchjim Kara T-APB Treble L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.000 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.000000 -15.205 -140.5981
20.299999 -15.142 -141.2788
20.600000 -15.084 -141.8417
20.900000 -15.029 -142.3476
21.200001 -14.976 -142.8112
21.400000 -14.944 -143.0945
21.799999 -14.883 -143.6078
22.000000 -14.854 -143.8470
22.400000 -14.799 -144.3180
22.700001 -14.760 -144.6845
23.000000 -14.723 -145.0729
23.299999 -14.689 -145.4882
23.600000 -14.656 -145.9344
24.000000 -14.618 -146.5730
24.299999 -14.593 -147.0682
24.700001 -14.566 -147.7195
25.000000 -14.549 -148.1827
25.400000 -14.526 -148.7532
25.799999 -14.499 -149.2727
26.200001 -14.467 -149.7684
26.500000 -14.440 -150.1480
26.900000 -14.406 -150.6829
27.200001 -14.384 -151.1024
27.600000 -14.361 -151.6635
28.000000 -14.344 -152.1947
28.500000 -14.321 -152.8060
29.000000 -14.289 -153.4086
29.500000 -14.252 -154.0512
30.000000 -14.219 -154.7145
30.400000 -14.198 -155.2166
30.700001 -14.185 -155.5611
31.100000 -14.167 -155.9790
31.500000 -14.150 -156.3658
32.000000 -14.128 -156.8339
32.500000 -14.109 -157.3010
33.000000 -14.092 -157.7753
33.500000 -14.074 -158.2731
34.000000 -14.056 -158.8109
34.500000 -14.041 -159.3779
35.000000 -14.029 -159.9394
35.500000 -14.019 -160.4625
36.000000 -14.007 -160.9388
36.500000 -13.994 -161.3792
37.000000 -13.977 -161.8021
37.500000 -13.960 -162.2267
38.200001 -13.936 -162.8521
38.700001 -13.924 -163.3195
39.500000 -13.912 -164.0417
40.000000 -13.905 -164.4492
40.599998 -13.894 -164.9049
41.200001 -13.881 -165.3611
41.799999 -13.871 -165.8363
42.500000 -13.870 -166.3908
43.099998 -13.876 -166.8228
43.700001 -13.880 -167.1957
44.400002 -13.872 -167.5949
45.000000 -13.857 -167.9666
45.500000 -13.847 -168.3142
46.200001 -13.843 -168.8236
46.799999 -13.850 -169.2415
47.500000 -13.860 -169.7083
48.200001 -13.871 -170.1799
48.700001 -13.877 -170.5145
49.400002 -13.883 -170.9548
50.000000 -13.882 -171.3043
50.799999 -13.877 -171.7494
51.500000 -13.874 -172.1250
52.200001 -13.874 -172.5001
53.000000 -13.882 -172.9514
53.799999 -13.898 -173.3961
54.500000 -13.910 -173.7493
55.200001 -13.913 -174.1013
56.000000 -13.912 -174.5484
57.000000 -13.918 -175.1309
58.000000 -13.929 -175.6681
59.000000 -13.943 -176.1542
60.000000 -13.959 -176.5793
60.799999 -13.972 -176.9034
61.500000 -13.984 -177.2086
62.200001 -14.002 -177.5290
63.000000 -14.023 -177.8788
64.000000 -14.041 -178.2852
65.000000 -14.051 -178.7017
66.000000 -14.063 -179.1216
67.000000 -14.082 -179.5077
68.000000 -14.100 -179.8494
69.000000 -14.111 179.7961
70.000000 -14.125 179.4102
71.000000 -14.145 179.0632
72.000000 -14.163 178.7474
73.000000 -14.182 178.4213
74.000000 -14.205 178.0792
75.000000 -14.231 177.7340
76.199997 -14.257 177.3364
77.500000 -14.273 176.8956
78.800003 -14.289 176.4482
80.000000 -14.310 176.0353
81.199997 -14.338 175.6820
82.500000 -14.368 175.3957
83.800003 -14.390 175.1190
85.000000 -14.406 174.7682
86.199997 -14.426 174.3824
87.500000 -14.452 174.0129
88.500000 -14.472 173.7629
90.000000 -14.502 173.3769
91.199997 -14.525 173.0515
92.500000 -14.548 172.7197
93.800003 -14.572 172.4177
95.000000 -14.596 172.1706
96.199997 -14.621 171.9362
97.500000 -14.649 171.6808
98.800003 -14.677 171.3869
100.000000 -14.704 171.0862
101.500000 -14.740 170.7510
103.000000 -14.775 170.4490
104.400002 -14.808 170.1666
106.000000 -14.847 169.8372
107.500000 -14.884 169.5138
109.000000 -14.913 169.2244
110.599998 -14.945 168.9797
112.000000 -14.984 168.7928
113.800003 -15.039 168.4947
115.000000 -15.071 168.2690
117.199997 -15.123 167.8235
118.000000 -15.144 167.6472
120.599998 -15.217 167.2747
122.000000 -15.241 167.1512
124.099998 -15.272 166.8859
125.000000 -15.290 166.7756
126.500000 -15.325 166.6078
128.000000 -15.365 166.4426
131.500000 -15.457 166.0047
132.000000 -15.469 165.9462
134.000000 -15.512 165.7329
136.000000 -15.550 165.5153
138.000000 -15.594 165.3098
140.000000 -15.641 165.1426
143.000000 -15.717 164.8619
145.000000 -15.769 164.6734
147.500000 -15.826 164.5143
150.000000 -15.872 164.3217
152.500000 -15.930 164.1257
155.000000 -15.993 163.9943
157.500000 -16.051 163.8579
160.000000 -16.104 163.6927
162.500000 -16.153 163.5048
165.000000 -16.203 163.3405
167.500000 -16.260 163.2001
170.000000 -16.320 163.1090
172.500000 -16.377 163.0173
175.000000 -16.431 162.8971
177.500000 -16.484 162.7795
180.000000 -16.537 162.6835
182.500000 -16.589 162.6230
185.000000 -16.639 162.5560
187.500000 -16.689 162.4972
190.000000 -16.739 162.4480
192.500000 -16.792 162.3838
195.000000 -16.846 162.3261
197.500000 -16.899 162.2927
200.000000 -16.948 162.2563
203.000000 -17.013 162.1929
206.000000 -17.076 162.1852
209.000000 -17.125 162.1818
212.000000 -17.175 162.2024
214.000000 -17.211 162.2374
