* REW测量的测量数据V5.20.13
* 来源: 频率响应平均数据
* 格式: Averaged data produced from the rms magnitudes of One L, One L
* 日期: 2024-10-25 20:50:28
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Averaged data produced from the rms magnitudes of One L, One L
* 测量: 均方根平均值1
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB)
20.299999 0.932
20.600000 0.963
20.900000 1.028
21.200001 1.096
21.400000 1.142
21.799999 1.228
22.000000 1.264
22.400000 1.316
22.700001 1.338
23.000000 1.357
23.299999 1.382
23.600000 1.421
24.000000 1.497
24.299999 1.559
24.700001 1.628
25.000000 1.657
25.400000 1.661
25.799999 1.638
26.200001 1.617
26.500000 1.616
26.900000 1.636
27.200001 1.661
27.600000 1.693
28.000000 1.716
28.500000 1.741
29.000000 1.781
29.500000 1.832
30.000000 1.870
30.400000 1.881
30.700001 1.880
31.100000 1.879
31.500000 1.887
32.000000 1.915
32.500000 1.949
33.000000 1.974
33.500000 1.989
34.000000 2.006
34.500000 2.029
35.000000 2.047
35.500000 2.043
36.000000 2.012
36.500000 1.970
37.000000 1.941
37.500000 1.934
38.200001 1.935
38.700001 1.920
39.500000 1.883
40.000000 1.878
40.599998 1.893
41.200001 1.912
41.799999 1.921
42.500000 1.915
43.099998 1.889
43.700001 1.850
44.400002 1.821
45.000000 1.824
45.500000 1.834
46.200001 1.839
46.799999 1.833
47.500000 1.822
48.200001 1.815
48.700001 1.813
49.400002 1.813
50.000000 1.803
50.799999 1.773
51.500000 1.760
52.200001 1.780
53.000000 1.815
53.799999 1.827
54.500000 1.821
55.200001 1.807
56.000000 1.774
57.000000 1.738
58.000000 1.725
59.000000 1.659
60.000000 1.570
60.799999 1.539
61.500000 1.528
62.200001 1.514
63.000000 1.492
64.000000 1.454
65.000000 1.415
66.000000 1.382
67.000000 1.348
68.000000 1.313
69.000000 1.260
70.000000 1.203
71.000000 1.184
72.000000 1.177
73.000000 1.169
74.000000 1.172
75.000000 1.154
76.199997 1.108
77.500000 1.072
78.800003 1.015
80.000000 0.970
81.199997 0.944
82.500000 0.922
83.800003 0.891
85.000000 0.849
86.199997 0.806
87.500000 0.771
88.500000 0.748
90.000000 0.720
91.199997 0.687
92.500000 0.646
93.800003 0.624
95.000000 0.601
96.199997 0.563
97.500000 0.514
98.800003 0.463
100.000000 0.421
101.500000 0.385
103.000000 0.322
104.400002 0.265
106.000000 0.228
107.500000 0.170
109.000000 0.116
110.599998 0.080
112.000000 0.046
113.800003 0.001
