* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-7 12:31:23
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Truthear ZeroRed AET07 L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 4.348 -159.4235
20.600000 4.359 -159.7507
20.900000 4.382 -160.3225
21.200001 4.400 -160.8323
21.400000 4.410 -161.1389
21.799999 4.427 -161.7180
22.000000 4.433 -162.0076
22.400000 4.441 -162.5978
22.700001 4.441 -163.0549
23.000000 4.436 -163.5264
23.299999 4.427 -164.0109
23.600000 4.413 -164.5081
24.000000 4.392 -165.1847
24.299999 4.373 -165.6909
24.700001 4.350 -166.3510
25.000000 4.336 -166.8344
25.400000 4.324 -167.4689
25.799999 4.319 -168.0956
26.200001 4.319 -168.7143
26.500000 4.319 -169.1726
26.900000 4.319 -169.7739
27.200001 4.317 -170.2131
27.600000 4.310 -170.7750
28.000000 4.299 -171.3046
28.500000 4.286 -171.9400
29.000000 4.277 -172.6033
29.500000 4.268 -173.3352
30.000000 4.253 -174.1008
30.400000 4.234 -174.6784
30.700001 4.219 -175.0672
31.100000 4.202 -175.5233
31.500000 4.191 -175.9327
32.000000 4.182 -176.4358
32.500000 4.170 -176.9698
33.000000 4.147 -177.5305
33.500000 4.115 -178.0953
34.000000 4.079 -178.6542
34.500000 4.045 -179.2093
35.000000 4.018 -179.7614
35.500000 3.996 179.6939
36.000000 3.976 179.1664
36.500000 3.956 178.6729
37.000000 3.933 178.2296
37.500000 3.909 177.8289
38.200001 3.878 177.2660
38.700001 3.855 176.8166
39.500000 3.810 176.0549
40.000000 3.780 175.6033
40.599998 3.750 175.0867
41.200001 3.722 174.5641
41.799999 3.688 174.0428
42.500000 3.639 173.4847
43.099998 3.598 173.0531
43.700001 3.564 172.6309
44.400002 3.531 172.1241
45.000000 3.506 171.6796
45.500000 3.483 171.3115
46.200001 3.443 170.8207
46.799999 3.404 170.4326
47.500000 3.357 169.9897
48.200001 3.309 169.5173
48.700001 3.275 169.1659
49.400002 3.228 168.6939
50.000000 3.191 168.3314
50.799999 3.152 167.8894
51.500000 3.121 167.4942
52.200001 3.080 167.0731
53.000000 3.017 166.6035
53.799999 2.949 166.1887
54.500000 2.897 165.8380
55.200001 2.852 165.4567
56.000000 2.801 164.9985
57.000000 2.735 164.4536
58.000000 2.671 163.9249
59.000000 2.602 163.4146
60.000000 2.530 162.9897
60.799999 2.473 162.6964
61.500000 2.419 162.4443
62.200001 2.363 162.1940
63.000000 2.300 161.9036
64.000000 2.231 161.5036
65.000000 2.169 161.0980
66.000000 2.113 160.7234
67.000000 2.054 160.3259
68.000000 1.980 159.9210
69.000000 1.900 159.5673
70.000000 1.825 159.2514
71.000000 1.753 158.9499
72.000000 1.679 158.6713
73.000000 1.606 158.4245
74.000000 1.539 158.1786
75.000000 1.475 157.9011
76.199997 1.390 157.5485
77.500000 1.292 157.1729
78.800003 1.200 156.8340
80.000000 1.124 156.5659
81.199997 1.046 156.3622
82.500000 0.955 156.1708
83.800003 0.863 155.9381
85.000000 0.780 155.6622
86.199997 0.692 155.4291
87.500000 0.598 155.3040
88.500000 0.530 155.2226
90.000000 0.427 155.0380
91.199997 0.344 154.8564
92.500000 0.258 154.6654
93.800003 0.172 154.4922
95.000000 0.084 154.4105
96.199997 -0.003 154.3719
97.500000 -0.095 154.2894
98.800003 -0.188 154.1827
100.000000 -0.275 154.1339
101.500000 -0.379 154.0989
103.000000 -0.482 154.0213
104.400002 -0.571 153.9467
106.000000 -0.672 153.9463
107.500000 -0.764 154.0096
109.000000 -0.855 154.0587
110.599998 -0.964 154.1548
112.000000 -1.066 154.2523
113.800003 -1.188 154.3463
115.000000 -1.262 154.4469
117.199997 -1.386 154.6168
118.000000 -1.426 154.6414
120.599998 -1.567 154.7946
122.000000 -1.664 155.0480
124.099998 -1.807 155.3908
125.000000 -1.862 155.5126
126.500000 -1.946 155.7426
128.000000 -2.034 156.0135
131.500000 -2.222 156.5504
132.000000 -2.244 156.6251
134.000000 -2.334 157.0128
136.000000 -2.426 157.4886
138.000000 -2.514 157.9492
140.000000 -2.610 158.3824
143.000000 -2.769 159.1099
145.000000 -2.847 159.5947
147.500000 -2.936 160.2286
150.000000 -3.012 160.8946
152.500000 -3.095 161.5691
155.000000 -3.185 162.1819
157.500000 -3.270 162.7716
160.000000 -3.351 163.4219
162.500000 -3.413 164.1571
165.000000 -3.450 164.9017
167.500000 -3.502 165.5200
170.000000 -3.571 166.1956
172.500000 -3.625 166.9642
175.000000 -3.661 167.6894
177.500000 -3.689 168.3528
180.000000 -3.715 168.9898
182.500000 -3.734 169.5994
185.000000 -3.749 170.2013
187.500000 -3.757 170.8211
190.000000 -3.760 171.4950
192.500000 -3.766 172.1658
195.000000 -3.772 172.7652
197.500000 -3.773 173.2949
200.000000 -3.766 173.8062
203.000000 -3.756 174.4213
206.000000 -3.750 175.1001
209.000000 -3.733 175.7671
212.000000 -3.710 176.2751
214.000000 -3.696 176.5907
218.000000 -3.669 177.3720
220.000000 -3.650 177.7696
224.000000 -3.609 178.5046
227.000000 -3.584 178.9708
230.000000 -3.559 179.4003
233.000000 -3.531 179.8554
236.000000 -3.497 -179.7014
240.000000 -3.452 -179.1264
243.000000 -3.425 -178.7665
247.000000 -3.389 -178.3605
250.000000 -3.358 -178.0721
