* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-7 12:37:55
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Truthear ZeroRed CP145 L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 4.405 -158.9142
20.600000 4.418 -159.2536
20.900000 4.441 -159.8494
21.200001 4.456 -160.3840
21.400000 4.462 -160.6998
21.799999 4.470 -161.2727
22.000000 4.474 -161.5479
22.400000 4.483 -162.1010
22.700001 4.488 -162.5372
23.000000 4.490 -163.0005
23.299999 4.489 -163.4855
23.600000 4.483 -163.9856
24.000000 4.471 -164.6615
24.299999 4.459 -165.1642
24.700001 4.441 -165.8226
25.000000 4.428 -166.3088
25.400000 4.410 -166.9451
25.799999 4.393 -167.5539
26.200001 4.379 -168.1271
26.500000 4.372 -168.5443
26.900000 4.369 -169.1088
27.200001 4.368 -169.5526
27.600000 4.364 -170.1702
28.000000 4.354 -170.7867
28.500000 4.336 -171.5043
29.000000 4.321 -172.1635
29.500000 4.313 -172.8180
30.000000 4.303 -173.4919
30.400000 4.289 -174.0145
30.700001 4.276 -174.3760
31.100000 4.259 -174.8116
31.500000 4.246 -175.2170
32.000000 4.234 -175.7373
32.500000 4.217 -176.2993
33.000000 4.190 -176.8631
33.500000 4.157 -177.3814
34.000000 4.128 -177.8632
34.500000 4.106 -178.3633
35.000000 4.088 -178.9126
35.500000 4.066 -179.4897
36.000000 4.042 179.9514
36.500000 4.017 179.4349
37.000000 3.995 178.9569
37.500000 3.974 178.5034
38.200001 3.946 177.8885
38.700001 3.925 177.4520
39.500000 3.886 176.7544
40.000000 3.859 176.3345
40.599998 3.828 175.8597
41.200001 3.799 175.4068
41.799999 3.771 174.9584
42.500000 3.735 174.4290
43.099998 3.701 173.9676
43.700001 3.664 173.5043
44.400002 3.620 172.9781
45.000000 3.585 172.5451
45.500000 3.557 172.1914
46.200001 3.515 171.7076
46.799999 3.475 171.3167
47.500000 3.425 170.8899
48.200001 3.378 170.4655
48.700001 3.349 170.1506
49.400002 3.311 169.6987
50.000000 3.280 169.3204
50.799999 3.237 168.8628
51.500000 3.196 168.5096
52.200001 3.152 168.1651
53.000000 3.095 167.7479
53.799999 3.036 167.3214
54.500000 2.987 166.9517
55.200001 2.942 166.5740
56.000000 2.888 166.1343
57.000000 2.817 165.6082
58.000000 2.751 165.1185
59.000000 2.690 164.6658
60.000000 2.625 164.2915
60.799999 2.570 164.0262
61.500000 2.519 163.7542
62.200001 2.464 163.4255
63.000000 2.399 163.0377
64.000000 2.327 162.6304
65.000000 2.272 162.3089
66.000000 2.217 162.0066
67.000000 2.150 161.6646
68.000000 2.073 161.3149
69.000000 2.002 161.0009
70.000000 1.940 160.7087
71.000000 1.876 160.4277
72.000000 1.804 160.1315
73.000000 1.723 159.8300
74.000000 1.642 159.5902
75.000000 1.576 159.3702
76.199997 1.502 159.0267
77.500000 1.411 158.6920
78.800003 1.324 158.4390
80.000000 1.245 158.1938
81.199997 1.166 157.9839
82.500000 1.083 157.8191
83.800003 0.995 157.6737
85.000000 0.914 157.4548
86.199997 0.829 157.1863
87.500000 0.737 156.9908
88.500000 0.668 156.9031
90.000000 0.567 156.7336
91.199997 0.484 156.5670
92.500000 0.398 156.4078
93.800003 0.315 156.3090
95.000000 0.242 156.2789
96.199997 0.165 156.2555
97.500000 0.069 156.2034
98.800003 -0.026 156.1077
100.000000 -0.107 156.0162
101.500000 -0.203 155.9865
103.000000 -0.297 155.9971
104.400002 -0.388 155.9675
106.000000 -0.498 155.9576
107.500000 -0.590 155.9680
109.000000 -0.675 155.9851
110.599998 -0.777 156.1072
112.000000 -0.872 156.2321
113.800003 -0.988 156.3414
115.000000 -1.056 156.4443
117.199997 -1.165 156.7697
118.000000 -1.198 156.9767
120.599998 -1.323 157.4922
122.000000 -1.434 157.4945
124.099998 -1.578 157.6343
125.000000 -1.631 157.7475
126.500000 -1.718 157.9649
128.000000 -1.794 158.2017
131.500000 -1.962 158.7013
132.000000 -1.987 158.7872
134.000000 -2.086 159.2393
136.000000 -2.187 159.7239
138.000000 -2.280 160.1597
140.000000 -2.367 160.6510
143.000000 -2.496 161.3731
145.000000 -2.584 161.8271
147.500000 -2.678 162.5225
150.000000 -2.747 163.2341
152.500000 -2.817 163.8676
155.000000 -2.898 164.5107
157.500000 -2.965 165.2016
160.000000 -3.037 165.9711
162.500000 -3.109 166.6621
165.000000 -3.171 167.1494
167.500000 -3.205 167.7108
170.000000 -3.224 168.4629
172.500000 -3.260 169.2422
175.000000 -3.295 169.9928
177.500000 -3.322 170.6930
180.000000 -3.339 171.3890
182.500000 -3.345 172.0533
185.000000 -3.353 172.6323
187.500000 -3.357 173.2383
190.000000 -3.361 173.9406
192.500000 -3.379 174.5943
195.000000 -3.388 175.2183
197.500000 -3.384 175.8477
200.000000 -3.371 176.4415
203.000000 -3.348 177.0738
206.000000 -3.330 177.6562
209.000000 -3.311 178.2767
212.000000 -3.282 178.9339
214.000000 -3.265 179.3171
218.000000 -3.236 179.9934
220.000000 -3.210 -179.6690
224.000000 -3.147 -179.0396
227.000000 -3.112 -178.6333
230.000000 -3.085 -178.2150
233.000000 -3.055 -177.7577
236.000000 -3.018 -177.2830
240.000000 -2.968 -176.7283
243.000000 -2.928 -176.3667
247.000000 -2.872 -175.8973
250.000000 -2.837 -175.5907
