* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-7 12:35:38
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Truthear ZeroRed Final E L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 4.730 -155.5955
20.600000 4.747 -155.9491
20.900000 4.778 -156.5692
21.200001 4.803 -157.1253
21.400000 4.816 -157.4558
21.799999 4.837 -158.0619
22.000000 4.847 -158.3548
22.400000 4.866 -158.9403
22.700001 4.876 -159.3947
23.000000 4.882 -159.8713
23.299999 4.883 -160.3675
23.600000 4.878 -160.8783
24.000000 4.866 -161.5679
24.299999 4.853 -162.0776
24.700001 4.836 -162.7389
25.000000 4.825 -163.2262
25.400000 4.815 -163.8744
25.799999 4.808 -164.5203
26.200001 4.804 -165.1551
26.500000 4.802 -165.6213
26.900000 4.801 -166.2314
27.200001 4.800 -166.6824
27.600000 4.798 -167.2746
28.000000 4.795 -167.8517
28.500000 4.790 -168.5561
29.000000 4.789 -169.2732
29.500000 4.786 -170.0268
30.000000 4.777 -170.7825
30.400000 4.766 -171.3394
30.700001 4.756 -171.7132
31.100000 4.748 -172.1624
31.500000 4.743 -172.5878
32.000000 4.739 -173.1383
32.500000 4.725 -173.7171
33.000000 4.699 -174.2791
33.500000 4.668 -174.7996
34.000000 4.643 -175.3179
34.500000 4.624 -175.8901
35.000000 4.605 -176.5176
35.500000 4.581 -177.1412
36.000000 4.554 -177.7016
36.500000 4.531 -178.1879
37.000000 4.514 -178.6325
37.500000 4.502 -179.0753
38.200001 4.483 -179.7373
38.700001 4.464 179.7597
39.500000 4.420 178.9830
40.000000 4.390 178.5588
40.599998 4.361 178.0949
41.200001 4.337 177.6187
41.799999 4.310 177.1135
42.500000 4.270 176.5350
43.099998 4.236 176.0669
43.700001 4.206 175.6020
44.400002 4.176 175.0601
45.000000 4.150 174.6133
45.500000 4.127 174.2510
46.200001 4.087 173.7453
46.799999 4.043 173.3203
47.500000 3.985 172.8493
48.200001 3.931 172.3939
48.700001 3.898 172.0698
49.400002 3.861 171.6172
50.000000 3.834 171.2345
50.799999 3.797 170.7521
51.500000 3.758 170.3756
52.200001 3.716 170.0158
53.000000 3.664 169.5773
53.799999 3.607 169.1311
54.500000 3.558 168.7641
55.200001 3.514 168.4076
56.000000 3.463 167.9998
57.000000 3.398 167.4866
58.000000 3.334 166.9457
59.000000 3.271 166.4072
60.000000 3.206 165.9572
60.799999 3.152 165.6675
61.500000 3.103 165.4189
62.200001 3.051 165.1448
63.000000 2.988 164.8125
64.000000 2.911 164.4138
65.000000 2.843 164.0630
66.000000 2.787 163.7261
67.000000 2.732 163.3220
68.000000 2.662 162.9070
69.000000 2.586 162.5904
70.000000 2.516 162.3311
71.000000 2.449 162.0729
72.000000 2.381 161.8098
73.000000 2.312 161.5463
74.000000 2.240 161.2953
75.000000 2.169 161.0409
76.199997 2.087 160.7267
77.500000 2.002 160.4479
78.800003 1.917 160.2247
80.000000 1.833 160.0126
81.199997 1.753 159.7706
82.500000 1.667 159.5499
83.800003 1.587 159.4424
85.000000 1.516 159.2798
86.199997 1.432 159.0461
87.500000 1.338 158.8408
88.500000 1.269 158.7388
90.000000 1.172 158.6458
91.199997 1.101 158.5150
92.500000 1.017 158.3077
93.800003 0.928 158.1615
95.000000 0.849 158.1158
96.199997 0.770 158.1226
97.500000 0.686 158.1169
98.800003 0.603 158.0512
100.000000 0.530 157.9866
101.500000 0.441 157.9550
103.000000 0.348 157.9728
104.400002 0.264 157.9911
106.000000 0.168 158.0408
107.500000 0.080 158.1561
109.000000 -0.004 158.2806
110.599998 -0.096 158.3916
112.000000 -0.181 158.4692
113.800003 -0.287 158.5797
115.000000 -0.352 158.6757
117.199997 -0.469 158.9140
118.000000 -0.508 159.0381
120.599998 -0.626 159.4502
122.000000 -0.705 159.6010
124.099998 -0.823 159.8419
125.000000 -0.868 159.9776
126.500000 -0.938 160.2449
128.000000 -1.004 160.5041
131.500000 -1.160 161.0850
132.000000 -1.182 161.1732
134.000000 -1.267 161.5521
136.000000 -1.344 161.9761
138.000000 -1.412 162.4217
140.000000 -1.475 162.8961
143.000000 -1.593 163.6201
145.000000 -1.658 164.0423
147.500000 -1.729 164.5741
150.000000 -1.795 165.1205
152.500000 -1.865 165.6465
155.000000 -1.941 166.1678
157.500000 -1.999 166.7914
160.000000 -2.048 167.4146
162.500000 -2.086 167.9724
165.000000 -2.136 168.5689
167.500000 -2.175 169.2538
170.000000 -2.191 169.9426
172.500000 -2.217 170.5951
175.000000 -2.242 171.1590
177.500000 -2.261 171.6194
180.000000 -2.268 172.0619
182.500000 -2.266 172.5521
185.000000 -2.272 173.0667
187.500000 -2.279 173.6146
190.000000 -2.275 174.2405
192.500000 -2.278 174.7911
195.000000 -2.276 175.2196
197.500000 -2.269 175.5814
200.000000 -2.259 175.9763
203.000000 -2.248 176.5078
206.000000 -2.240 176.9612
209.000000 -2.227 177.3665
212.000000 -2.216 177.7810
214.000000 -2.209 178.0665
218.000000 -2.179 178.7232
220.000000 -2.158 179.0511
224.000000 -2.118 179.6448
227.000000 -2.095 -179.9299
230.000000 -2.077 -179.4856
233.000000 -2.054 -179.1158
236.000000 -2.026 -178.8058
240.000000 -1.981 -178.3776
243.000000 -1.946 -178.0999
247.000000 -1.907 -177.7826
250.000000 -1.881 -177.5324
