* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-7 12:43:22
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Truthear ZeroRed Narrow Tips
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 4.475 -159.7416
20.600000 4.486 -160.0516
20.900000 4.506 -160.5954
21.200001 4.522 -161.0846
21.400000 4.530 -161.3800
21.799999 4.541 -161.9398
22.000000 4.546 -162.2213
22.400000 4.550 -162.8033
22.700001 4.548 -163.2620
23.000000 4.541 -163.7376
23.299999 4.528 -164.2215
23.600000 4.513 -164.7094
24.000000 4.490 -165.3608
24.299999 4.473 -165.8476
24.700001 4.452 -166.4951
25.000000 4.439 -166.9818
25.400000 4.424 -167.6265
25.799999 4.411 -168.2453
26.200001 4.401 -168.8254
26.500000 4.398 -169.2446
26.900000 4.398 -169.8073
27.200001 4.398 -170.2451
27.600000 4.391 -170.8447
28.000000 4.374 -171.4261
28.500000 4.346 -172.0762
29.000000 4.324 -172.6641
29.500000 4.313 -173.2790
30.000000 4.303 -173.9633
30.400000 4.288 -174.5155
30.700001 4.273 -174.8964
31.100000 4.253 -175.3381
31.500000 4.239 -175.7246
32.000000 4.229 -176.2063
32.500000 4.216 -176.7444
33.000000 4.191 -177.3104
33.500000 4.154 -177.8430
34.000000 4.120 -178.3341
34.500000 4.093 -178.8321
35.000000 4.071 -179.3662
35.500000 4.048 -179.9113
36.000000 4.023 179.5740
36.500000 3.998 179.0999
37.000000 3.973 178.6514
37.500000 3.946 178.2210
38.200001 3.907 177.6511
38.700001 3.883 177.2491
39.500000 3.850 176.5648
40.000000 3.828 176.1298
40.599998 3.801 175.6343
41.200001 3.774 175.1565
41.799999 3.744 174.6689
42.500000 3.696 174.1063
43.099998 3.649 173.6704
43.700001 3.609 173.2762
44.400002 3.574 172.8239
45.000000 3.549 172.4142
45.500000 3.525 172.0634
46.200001 3.481 171.5952
46.799999 3.434 171.2398
47.500000 3.376 170.8587
48.200001 3.322 170.4698
48.700001 3.288 170.1786
49.400002 3.250 169.7537
50.000000 3.224 169.3734
50.799999 3.187 168.8821
51.500000 3.147 168.5223
52.200001 3.105 168.2050
53.000000 3.050 167.8052
53.799999 2.987 167.3585
54.500000 2.932 166.9662
55.200001 2.883 166.5816
56.000000 2.832 166.1712
57.000000 2.772 165.7256
58.000000 2.710 165.2964
59.000000 2.639 164.8749
60.000000 2.566 164.4863
60.799999 2.506 164.1942
61.500000 2.454 163.9484
62.200001 2.403 163.6995
63.000000 2.346 163.3929
64.000000 2.279 162.9830
65.000000 2.214 162.6139
66.000000 2.154 162.3158
67.000000 2.095 162.0111
68.000000 2.025 161.6831
69.000000 1.951 161.3746
70.000000 1.883 161.0709
71.000000 1.821 160.7451
72.000000 1.757 160.4216
73.000000 1.687 160.1755
74.000000 1.619 160.0204
75.000000 1.552 159.8776
76.199997 1.468 159.6497
77.500000 1.372 159.3835
78.800003 1.285 159.1312
80.000000 1.205 158.8824
81.199997 1.121 158.6503
82.500000 1.029 158.4432
83.800003 0.944 158.2807
85.000000 0.872 158.1100
86.199997 0.793 157.9247
87.500000 0.699 157.7845
88.500000 0.630 157.7048
90.000000 0.537 157.5317
91.199997 0.463 157.3873
92.500000 0.378 157.2667
93.800003 0.284 157.1692
95.000000 0.197 157.1110
96.199997 0.118 157.0798
97.500000 0.037 157.0433
98.800003 -0.049 157.0129
100.000000 -0.126 156.9943
101.500000 -0.215 156.9690
103.000000 -0.308 156.9595
104.400002 -0.399 156.9621
106.000000 -0.499 157.0487
107.500000 -0.588 157.1797
109.000000 -0.679 157.2763
110.599998 -0.774 157.3804
112.000000 -0.858 157.4930
113.800003 -0.959 157.6531
115.000000 -1.017 157.7609
117.199997 -1.129 157.9330
118.000000 -1.167 157.9716
120.599998 -1.300 158.2208
122.000000 -1.395 158.5233
124.099998 -1.530 158.8758
125.000000 -1.577 159.0054
126.500000 -1.651 159.2640
128.000000 -1.727 159.5525
131.500000 -1.897 160.1052
132.000000 -1.922 160.1984
134.000000 -2.015 160.6608
136.000000 -2.096 161.1603
138.000000 -2.177 161.6369
140.000000 -2.257 162.0643
143.000000 -2.379 162.6075
145.000000 -2.458 163.1210
147.500000 -2.545 163.8367
150.000000 -2.609 164.4472
152.500000 -2.668 165.0258
155.000000 -2.740 165.7383
157.500000 -2.802 166.5394
160.000000 -2.864 167.2325
162.500000 -2.930 167.9737
165.000000 -2.997 168.7262
167.500000 -3.035 169.3195
170.000000 -3.053 169.9140
172.500000 -3.081 170.6064
175.000000 -3.105 171.2904
177.500000 -3.129 171.9275
180.000000 -3.147 172.5425
182.500000 -3.157 173.2007
185.000000 -3.167 173.8289
187.500000 -3.176 174.4058
190.000000 -3.170 175.0507
192.500000 -3.156 175.7328
195.000000 -3.153 176.3233
197.500000 -3.152 176.8482
200.000000 -3.137 177.3407
203.000000 -3.124 177.9128
206.000000 -3.110 178.5078
209.000000 -3.078 179.0823
212.000000 -3.046 179.6368
214.000000 -3.029 179.9867
218.000000 -2.995 -179.3887
220.000000 -2.976 -179.0751
224.000000 -2.930 -178.4172
227.000000 -2.893 -177.9163
230.000000 -2.853 -177.4236
233.000000 -2.816 -177.0125
236.000000 -2.782 -176.6881
240.000000 -2.738 -176.2219
243.000000 -2.698 -175.8431
247.000000 -2.649 -175.3981
250.000000 -2.614 -175.1121
