* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-7 12:41:14
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Truthear ZeroRed Spring Tips
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 4.366 -160.7712
20.600000 4.375 -161.1290
20.900000 4.392 -161.7547
21.200001 4.404 -162.3115
21.400000 4.408 -162.6398
21.799999 4.412 -163.2364
22.000000 4.413 -163.5224
22.400000 4.415 -164.0868
22.700001 4.413 -164.5147
23.000000 4.408 -164.9535
23.299999 4.401 -165.4055
23.600000 4.392 -165.8765
24.000000 4.378 -166.5393
24.299999 4.365 -167.0586
24.700001 4.346 -167.7655
25.000000 4.329 -168.2926
25.400000 4.306 -168.9709
25.799999 4.287 -169.6028
26.200001 4.273 -170.1942
26.500000 4.268 -170.6303
26.900000 4.264 -171.2252
27.200001 4.258 -171.6834
27.600000 4.244 -172.2888
28.000000 4.223 -172.8479
28.500000 4.196 -173.4596
29.000000 4.182 -174.0449
29.500000 4.175 -174.6983
30.000000 4.163 -175.4195
30.400000 4.143 -175.9766
30.700001 4.125 -176.3495
31.100000 4.103 -176.7828
31.500000 4.088 -177.1797
32.000000 4.076 -177.7036
32.500000 4.058 -178.2925
33.000000 4.026 -178.8954
33.500000 3.987 -179.4527
34.000000 3.951 -179.9648
34.500000 3.925 179.5247
35.000000 3.905 178.9941
35.500000 3.888 178.4594
36.000000 3.870 177.9406
36.500000 3.852 177.4375
37.000000 3.830 176.9435
37.500000 3.800 176.4626
38.200001 3.750 175.8213
38.700001 3.712 175.3760
39.500000 3.653 174.6745
40.000000 3.621 174.2581
40.599998 3.589 173.7815
41.200001 3.564 173.3057
41.799999 3.538 172.8258
42.500000 3.500 172.2925
43.099998 3.462 171.8737
43.700001 3.423 171.4828
44.400002 3.380 171.0445
45.000000 3.348 170.6561
45.500000 3.321 170.3036
46.200001 3.277 169.7817
46.799999 3.231 169.3528
47.500000 3.175 168.8985
48.200001 3.122 168.4727
48.700001 3.088 168.1748
49.400002 3.047 167.7527
50.000000 3.015 167.3760
50.799999 2.966 166.8978
51.500000 2.923 166.5552
52.200001 2.885 166.2288
53.000000 2.838 165.7802
53.799999 2.774 165.3182
54.500000 2.716 164.9708
55.200001 2.668 164.6282
56.000000 2.616 164.1926
57.000000 2.546 163.6470
58.000000 2.474 163.1258
59.000000 2.399 162.6313
60.000000 2.326 162.2151
60.799999 2.271 161.9031
61.500000 2.219 161.6196
62.200001 2.160 161.3337
63.000000 2.090 161.0178
64.000000 2.011 160.6395
65.000000 1.948 160.2599
66.000000 1.889 159.8863
67.000000 1.822 159.5640
68.000000 1.745 159.2858
69.000000 1.667 159.0044
70.000000 1.595 158.7039
71.000000 1.531 158.3834
72.000000 1.467 158.0475
73.000000 1.391 157.7480
74.000000 1.309 157.5121
75.000000 1.233 157.2894
76.199997 1.150 156.9968
77.500000 1.063 156.6923
78.800003 0.975 156.4048
80.000000 0.889 156.1269
81.199997 0.805 155.8687
82.500000 0.719 155.6312
83.800003 0.634 155.4519
85.000000 0.554 155.2641
86.199997 0.466 155.0338
87.500000 0.363 154.8097
88.500000 0.286 154.6769
90.000000 0.175 154.4994
91.199997 0.086 154.3744
92.500000 -0.006 154.1998
93.800003 -0.098 153.9770
95.000000 -0.184 153.8314
96.199997 -0.263 153.7943
97.500000 -0.344 153.7744
98.800003 -0.431 153.7224
100.000000 -0.520 153.6962
101.500000 -0.636 153.6949
103.000000 -0.748 153.6412
104.400002 -0.839 153.5792
106.000000 -0.940 153.5457
107.500000 -1.042 153.5253
109.000000 -1.146 153.5782
110.599998 -1.258 153.7211
112.000000 -1.360 153.7947
113.800003 -1.486 153.8724
115.000000 -1.563 153.9525
117.199997 -1.597 154.2804
118.000000 -1.549 154.6689
120.599998 -1.526 155.5071
122.000000 -1.781 155.2141
124.099998 -2.093 154.8726
125.000000 -2.170 154.9070
126.500000 -2.285 155.1656
128.000000 -2.389 155.4536
131.500000 -2.606 155.8993
132.000000 -2.637 155.9445
134.000000 -2.759 156.1425
136.000000 -2.886 156.4467
138.000000 -3.001 157.0978
140.000000 -3.109 157.8807
143.000000 -3.349 158.4160
145.000000 -3.493 158.7756
147.500000 -3.664 159.3221
150.000000 -3.825 160.1048
152.500000 -4.043 161.4918
155.000000 -4.245 163.3328
157.500000 -4.343 165.6122
160.000000 -4.163 167.9301
162.500000 -3.882 168.5834
165.000000 -3.875 166.6064
167.500000 -3.892 169.4088
170.000000 -3.736 173.8230
172.500000 -3.672 173.9966
175.000000 -3.693 173.7849
177.500000 -3.676 173.5316
180.000000 -3.672 173.5090
182.500000 -3.671 173.8452
185.000000 -3.645 174.4015
187.500000 -3.613 175.2383
190.000000 -3.640 175.5586
192.500000 -3.682 175.2213
195.000000 -3.700 175.5928
197.500000 -3.700 176.3698
200.000000 -3.692 176.9149
203.000000 -3.669 177.3278
206.000000 -3.636 177.7837
209.000000 -3.581 178.5162
212.000000 -3.554 179.1707
214.000000 -3.535 179.3365
218.000000 -3.474 179.4324
220.000000 -3.455 179.6309
224.000000 -3.417 -179.9487
227.000000 -3.401 -179.7858
230.000000 -3.396 -179.5417
233.000000 -3.383 -179.2635
236.000000 -3.363 -179.0315
240.000000 -3.348 -178.6121
243.000000 -3.331 -178.2339
247.000000 -3.310 -177.8557
250.000000 -3.301 -177.6202
