* REW测量的测量数据V5.20.13
* 来源: 麦克风 (Realtek High Definition Audio, MICROPHONE (主音), L, volume: no control
* 格式: 512k 对数扫频正弦, 1 扫频 at 0.0 dBFS 没有时间参考
* 日期: 2024-10-7 12:26:59
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: ; 
* 测量: Truthear ZeroRed Wide Tips L
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB) 相位(角度)
20.299999 4.332 -160.2263
20.600000 4.342 -160.5358
20.900000 4.362 -161.0824
21.200001 4.378 -161.5834
21.400000 4.386 -161.8902
21.799999 4.398 -162.4755
22.000000 4.404 -162.7688
22.400000 4.412 -163.3692
22.700001 4.413 -163.8382
23.000000 4.411 -164.3240
23.299999 4.403 -164.8222
23.600000 4.392 -165.3309
24.000000 4.373 -166.0206
24.299999 4.356 -166.5395
24.700001 4.333 -167.2254
25.000000 4.316 -167.7324
25.400000 4.297 -168.3933
25.799999 4.284 -169.0254
26.200001 4.277 -169.6261
26.500000 4.276 -170.0660
26.900000 4.278 -170.6555
27.200001 4.279 -171.1054
27.600000 4.275 -171.7057
28.000000 4.262 -172.2794
28.500000 4.240 -172.9337
29.000000 4.221 -173.5549
29.500000 4.208 -174.2086
30.000000 4.193 -174.9061
30.400000 4.178 -175.4549
30.700001 4.165 -175.8384
31.100000 4.151 -176.3060
31.500000 4.140 -176.7423
32.000000 4.130 -177.2861
32.500000 4.113 -177.8426
33.000000 4.085 -178.3819
33.500000 4.051 -178.8860
34.000000 4.021 -179.3876
34.500000 3.995 -179.9339
35.000000 3.970 179.4730
35.500000 3.941 178.8790
36.000000 3.911 178.3289
36.500000 3.885 177.8301
37.000000 3.863 177.3646
37.500000 3.841 176.9170
38.200001 3.808 176.3077
38.700001 3.783 175.8755
39.500000 3.740 175.1838
40.000000 3.711 174.7695
40.599998 3.678 174.3056
41.200001 3.648 173.8652
41.799999 3.618 173.4238
42.500000 3.581 172.8932
43.099998 3.545 172.4387
43.700001 3.508 172.0082
44.400002 3.471 171.5325
45.000000 3.447 171.1014
45.500000 3.424 170.7046
46.200001 3.378 170.1400
46.799999 3.325 169.7193
47.500000 3.264 169.3079
48.200001 3.214 168.9003
48.700001 3.184 168.5826
49.400002 3.145 168.1146
50.000000 3.115 167.7219
50.799999 3.075 167.2521
51.500000 3.040 166.8854
52.200001 3.003 166.5052
53.000000 2.948 166.0324
53.799999 2.882 165.5711
54.500000 2.825 165.1897
55.200001 2.772 164.8225
56.000000 2.716 164.4309
57.000000 2.652 163.9442
58.000000 2.583 163.4312
59.000000 2.507 162.9531
60.000000 2.437 162.5334
60.799999 2.388 162.2208
61.500000 2.347 161.9243
62.200001 2.298 161.6053
63.000000 2.233 161.2537
64.000000 2.148 160.8526
65.000000 2.070 160.4933
66.000000 2.005 160.1575
67.000000 1.943 159.8002
68.000000 1.875 159.4658
69.000000 1.806 159.1362
70.000000 1.735 158.7752
71.000000 1.661 158.4459
72.000000 1.591 158.1542
73.000000 1.518 157.8771
74.000000 1.445 157.6175
75.000000 1.373 157.3535
76.199997 1.285 157.0527
77.500000 1.194 156.7604
78.800003 1.103 156.4566
80.000000 1.019 156.1855
81.199997 0.937 155.9479
82.500000 0.846 155.7397
83.800003 0.754 155.5826
85.000000 0.673 155.3919
86.199997 0.591 155.1735
87.500000 0.501 154.9542
88.500000 0.426 154.8266
90.000000 0.311 154.6577
91.199997 0.223 154.4829
92.500000 0.129 154.3177
93.800003 0.030 154.1996
95.000000 -0.064 154.1563
96.199997 -0.140 154.1177
97.500000 -0.213 153.9858
98.800003 -0.296 153.8377
100.000000 -0.377 153.7653
101.500000 -0.474 153.7615
103.000000 -0.572 153.7947
104.400002 -0.664 153.7997
106.000000 -0.772 153.7910
107.500000 -0.866 153.8043
109.000000 -0.957 153.8176
110.599998 -1.065 153.8775
112.000000 -1.167 153.9635
113.800003 -1.297 154.0920
115.000000 -1.375 154.1705
117.199997 -1.528 154.5721
118.000000 -1.606 154.8970
120.599998 -1.809 155.7282
122.000000 -1.837 155.3908
124.099998 -1.910 155.2598
125.000000 -1.955 155.3924
126.500000 -2.033 155.5917
128.000000 -2.111 155.7918
131.500000 -2.321 156.4461
132.000000 -2.350 156.5347
134.000000 -2.445 156.8684
136.000000 -2.523 157.1320
138.000000 -2.625 157.3881
140.000000 -2.710 157.8326
143.000000 -2.827 158.6511
145.000000 -2.970 159.1237
147.500000 -3.073 159.8597
150.000000 -3.143 160.5788
152.500000 -3.228 161.2104
155.000000 -3.297 161.9013
157.500000 -3.364 162.5043
160.000000 -3.441 163.0427
162.500000 -3.507 163.7226
165.000000 -3.585 164.4530
167.500000 -3.646 165.2366
170.000000 -3.665 166.0448
172.500000 -3.697 166.6638
175.000000 -3.742 167.3399
177.500000 -3.782 168.0190
180.000000 -3.808 168.6897
182.500000 -3.830 169.3314
185.000000 -3.853 169.9268
187.500000 -3.861 170.5537
190.000000 -3.864 171.2033
192.500000 -3.879 171.8112
195.000000 -3.893 172.4083
197.500000 -3.894 173.0003
200.000000 -3.884 173.5568
203.000000 -3.870 174.1991
206.000000 -3.857 174.8835
209.000000 -3.841 175.5172
212.000000 -3.823 176.0540
214.000000 -3.805 176.3818
218.000000 -3.763 177.1001
220.000000 -3.744 177.4587
224.000000 -3.708 178.0961
227.000000 -3.683 178.6037
230.000000 -3.661 179.1249
233.000000 -3.643 179.5546
236.000000 -3.621 179.9489
240.000000 -3.573 -179.5084
243.000000 -3.534 -179.1513
247.000000 -3.485 -178.7390
250.000000 -3.451 -178.4249
