* REW测量的测量数据V5.20.13
* 来源: E:\BaiduNetdiskDownload\Target\TANCHJIMTARGET.csv
* 格式: Comma/Tab/Space delimited data
* 日期: 2024-10-4 8:54:37
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Measurement imported from E:\BaiduNetdiskDownload\Target\TANCHJIMTARGET.csv Format: Comma/Tab/Space delimited data 122 values loaded, 20 Hz to 21,897 Hz
* 测量: TANCHJIMTARGET
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.000 Hz
*
* 频率(Hz) SPL(dB)
20.000000 25.245
20.299999 25.257
20.600000 25.271
20.900000 25.281
21.200001 25.287
21.400000 25.287
21.799999 25.285
22.000000 25.284
22.400000 25.286
22.700001 25.291
23.000000 25.299
23.299999 25.307
23.600000 25.315
24.000000 25.324
24.299999 25.329
24.700001 25.333
25.000000 25.336
25.400000 25.338
25.799999 25.338
26.200001 25.338
26.500000 25.338
26.900000 25.337
27.200001 25.336
27.600000 25.336
28.000000 25.337
28.500000 25.343
29.000000 25.353
29.500000 25.362
30.000000 25.367
30.400000 25.365
30.700001 25.361
31.100000 25.354
31.500000 25.347
32.000000 25.339
32.500000 25.336
33.000000 25.336
33.500000 25.336
34.000000 25.337
34.500000 25.337
35.000000 25.337
35.500000 25.338
36.000000 25.338
36.500000 25.339
37.000000 25.339
37.500000 25.339
38.200001 25.334
38.700001 25.328
39.500000 25.315
40.000000 25.307
40.599998 25.297
41.200001 25.289
41.799999 25.280
42.500000 25.269
43.099998 25.257
43.700001 25.242
44.400002 25.224
45.000000 25.209
45.500000 25.198
46.200001 25.187
46.799999 25.179
47.500000 25.170
48.200001 25.157
48.700001 25.145
49.400002 25.124
50.000000 25.104
50.799999 25.077
51.500000 25.054
52.200001 25.032
53.000000 25.007
53.799999 24.982
54.500000 24.957
55.200001 24.929
56.000000 24.895
57.000000 24.852
58.000000 24.812
59.000000 24.775
60.000000 24.738
60.799999 24.707
61.500000 24.676
62.200001 24.642
63.000000 24.602
64.000000 24.550
65.000000 24.502
66.000000 24.459
67.000000 24.419
68.000000 24.379
69.000000 24.336
70.000000 24.290
71.000000 24.241
72.000000 24.191
73.000000 24.141
74.000000 24.094
75.000000 24.048
76.199997 23.994
77.500000 23.934
78.800003 23.870
80.000000 23.810
81.199997 23.750
82.500000 23.686
83.800003 23.624
85.000000 23.568
86.199997 23.514
87.500000 23.455
88.500000 23.410
90.000000 23.342
91.199997 23.289
92.500000 23.232
93.800003 23.177
95.000000 23.126
96.199997 23.077
97.500000 23.023
98.800003 22.969
100.000000 22.919
101.500000 22.856
103.000000 22.791
104.400002 22.729
106.000000 22.656
107.500000 22.586
109.000000 22.516
110.599998 22.439
112.000000 22.372
113.800003 22.285
115.000000 22.228
117.199997 22.127
118.000000 22.092
120.599998 21.984
122.000000 21.928
124.099998 21.845
125.000000 21.810
126.500000 21.751
128.000000 21.693
131.500000 21.559
132.000000 21.540
134.000000 21.467
136.000000 21.397
138.000000 21.328
140.000000 21.262
143.000000 21.167
145.000000 21.106
147.500000 21.031
150.000000 20.957
152.500000 20.883
155.000000 20.812
157.500000 20.743
160.000000 20.679
162.500000 20.618
165.000000 20.558
167.500000 20.500
170.000000 20.440
172.500000 20.380
175.000000 20.321
177.500000 20.264
180.000000 20.208
182.500000 20.154
185.000000 20.102
187.500000 20.052
190.000000 20.004
192.500000 19.959
195.000000 19.915
197.500000 19.874
200.000000 19.835
203.000000 19.791
206.000000 19.751
209.000000 19.715
212.000000 19.684
214.000000 19.667
218.000000 19.642
220.000000 19.631
224.000000 19.613
227.000000 19.600
230.000000 19.585
233.000000 19.571
236.000000 19.559
240.000000 19.549
243.000000 19.546
247.000000 19.547
250.000000 19.551
254.000000 19.558
258.000000 19.566
262.000000 19.575
265.000000 19.582
269.000000 19.591
272.000000 19.598
276.000000 19.606
280.000000 19.615
285.000000 19.625
290.000000 19.633
295.000000 19.641
300.000000 19.651
304.000000 19.661
307.000000 19.671
311.000000 19.686
315.000000 19.702
320.000000 19.722
325.000000 19.740
330.000000 19.756
335.000000 19.769
340.000000 19.779
345.000000 19.786
350.000000 19.789
355.000000 19.789
360.000000 19.786
365.000000 19.780
370.000000 19.771
375.000000 19.761
382.000000 19.748
387.000000 19.744
395.000000 19.744
400.000000 19.748
406.000000 19.756
412.000000 19.767
418.000000 19.782
425.000000 19.799
431.000000 19.811
437.000000 19.817
444.000000 19.820
450.000000 19.821
455.000000 19.823
462.000000 19.834
468.000000 19.850
475.000000 19.875
482.000000 19.902
487.000000 19.920
494.000000 19.944
500.000000 19.962
508.000000 19.984
515.000000 20.002
522.000000 20.019
530.000000 20.038
538.000000 20.057
545.000000 20.074
552.000000 20.091
560.000000 20.112
570.000000 20.140
580.000000 20.167
590.000000 20.193
600.000000 20.218
608.000000 20.237
615.000000 20.253
622.000000 20.269
630.000000 20.286
640.000000 20.306
650.000000 20.324
660.000000 20.340
670.000000 20.352
680.000000 20.363
690.000000 20.373
700.000000 20.383
710.000000 20.393
720.000000 20.405
730.000000 20.419
740.000000 20.438
750.000000 20.463
762.000000 20.497
775.000000 20.536
788.000000 20.570
800.000000 20.596
812.000000 20.618
825.000000 20.641
838.000000 20.668
850.000000 20.695
862.000000 20.724
875.000000 20.754
885.000000 20.775
900.000000 20.803
912.000000 20.824
925.000000 20.848
938.000000 20.876
950.000000 20.908
962.000000 20.943
975.000000 20.982
988.000000 21.021
1000.000000 21.055
1015.000000 21.094
1030.000000 21.131
1044.000000 21.167
1060.000000 21.212
1075.000000 21.260
1090.000000 21.311
1106.000000 21.369
1120.000000 21.422
1138.000000 21.493
1150.000000 21.542
1172.000000 21.637
1180.000000 21.674
1206.000000 21.802
1220.000000 21.875
1241.000000 21.988
1250.000000 22.037
1265.000000 22.118
1280.000000 22.198
1315.000000 22.384
1320.000000 22.411
1340.000000 22.520
1360.000000 22.631
1380.000000 22.744
1400.000000 22.859
1430.000000 23.036
1450.000000 23.157
1475.000000 23.309
1500.000000 23.463
1525.000000 23.616
1550.000000 23.768
1575.000000 23.918
1600.000000 24.063
1625.000000 24.202
1650.000000 24.338
